,2023,2025,2030,2035,2040,2045,2050
Albania,0,0,776.6611394,386.7192395,385.1212261,383.5363651,-735305.2479
BiH,9511888.069,7122890.608,6281765.908,3593005.957,1885574.25,1711853.905,606886.2466
Montenegro,1542467.385,1012366.865,818562.9201,837161.9379,783523.4322,711961.9085,662386.4276
N_Macedonia,3756936.874,2707444.406,471761.1679,269584.2869,148530.4474,146616.6981,146139.6692
Serbia,28232076.04,28107320.53,27142603.64,17433209.02,7954806.77,2312952.451,-970963.403
Kosovo,6494156.341,4552627.061,2886222.988,1942358.906,1125519.382,337431.3645,0
