zone1,zone2,value
KAZ_S,KGZ_N,4056.4
KGZ_S,TAJ_N,103.2
KGZ_S,UZB,3954.9
TAJ_N,KGZ_S,103.8
TAJ_S,NEPS_TAJ,1358
TUR,NEPS_TKM,2100
UZB,KAZ_S,3952.4
UZB,NEPS_UZB,1497.8
