z,c
ALGERIA,ALGERIA
BAHRAIN,BAHRAIN
EGYPT,EGYPT
IRAQ,IRAQ
JORDAN,JORDAN
KUWAIT,KUWAIT
LEBANON,LEBANON
LIBYA,LIBYA
MOROCCO,MOROCCO
OMAN,OMAN
PALESTINE,PALESTINE
QATAR,QATAR
KSA,KSA
SUDAN,SUDAN
SYRIA,SYRIA
TUNISIA,TUNISIA
UAE,UAE
YEMEN,YEMEN
GCCIA,GCCIA
