zone,type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,44901.065449999995,45852.3592125,44710.8067,46232.8767125,46613.394212499996,46993.911725,47564.68797499999,47754.946725,48230.5936125,48706.2404875,49467.275499999996,50228.3105,51179.6042625,52130.898024999995,53557.8386625,54984.7793,56506.849312499995,58028.919324999995,59931.50685,61834.0943625,63546.423137499994,65258.751899999996,66971.080675,68683.4094375,70300.608825,71917.808225,73630.1369875,75342.46575,76959.66515,78576.86453749999,80289.1933
Lesotho,Peak,231.25,231.25,232.5,238.75,237.5,233.75,237.5,245.0,243.75,255.0,256.25,256.25,256.25,256.25,258.75,258.75,263.75,268.75,275.0,280.0,286.25,292.5,298.75,305.0,311.25,317.5,323.75,330.0,336.25,342.5,348.75
Eswatini,Peak,373.16176475,387.867647,402.573529375,417.27941175,431.985294125,446.6911765,461.39705887499997,476.10294112500003,490.8088235,505.514705875,520.22058825,534.926470625,549.632353,564.33823525,579.044117625,593.75,608.455882375,623.16176475,637.867647,652.573529375,667.27941175,681.9852941249999,696.6911765,711.397058875,726.102941125,740.8088235,755.5147058750001,770.22058825,784.926470625,799.632353,814.3382352499999
Mozambique,Peak,1018.96945625,1124.323325,1181.3007865,1251.9783175,1370.3064225,1461.51158,1573.37442625,1677.0044075,1782.3505625000003,1861.03345,1941.8165675,2004.22500625,2068.74208625,2134.604075,2203.3402175,2273.51420125,2346.57635,2421.85241125,2499.3386725,2579.0315062500003,2661.78244,2744.53337375,2827.2843074999996,2910.03524125,2992.786175,3075.53710875,3158.2880425000003,3241.03897625,3323.7899112500004,3406.540845,3489.29177875
Zimbabwe,Peak,2238.75,2301.25,2451.25,2552.5,2647.5,2692.5,2860.0,2942.5,3031.25,3117.5,3210.0,3292.74450375,3404.69294875,3493.5216075,3612.77103875,3706.46702,3819.6322975,3903.5936312500003,3991.20545875,4078.81728625,4168.862775,4258.9082637500005,4348.9537525,4438.99924125,4529.04473125,4619.09022,4709.13570875,4799.1811975,4889.2266875000005,4979.2721762500005,5069.317665
Botswana,Peak,722.5,766.25,850.0,928.75,1001.25,1087.5,1176.25,1196.25,1230.0,1271.25,1296.25,1342.9420675000001,1310.0,1357.18735375,1406.07443875,1353.75,1402.5132675,1453.03303125,1433.75,1485.3949375,1466.25,1519.06561625,1573.78369875,1630.47277375,1689.2038400000001,1750.05045,1813.08880875,1878.397865,1946.0594112499998,2016.1581849999998,2088.7819787500002
Namibia,Peak,803.75,807.5,826.25,846.25,870.0,901.25,922.5,943.75,952.5,970.0,983.75,996.25,1006.25,1025.0,1038.75,1052.5,1062.5,1082.5,1097.5,1112.5,1122.5,1143.75,1160.0,1175.0,1195.172836875,1215.6920085,1236.563461,1257.7932425,1279.38750375,1301.352505,1323.6946087499998
Zambia,Peak,2897.5,3047.5,3197.5,3347.5,3497.5,3647.5,3797.5,4385.9375,4974.375,5562.8125,6151.25,6489.125,6827.0,7164.875,7502.75,7840.625,8178.5,8516.375,8854.25,9192.125,9530.0,9830.875,10131.75,10432.625,10733.5,11034.375,11335.25,11636.125,11937.0,12237.875,12538.75
Angola,Peak,2798.8375,2866.605,2935.45110125,3106.32016625,3655.7093975,4499.80971375,4868.18160125,5277.4202125,5433.5243175000005,5628.873085,5780.642545,5931.0520825,6080.6335687499995,6233.073214999999,6383.01301125,6533.577770000001,6684.14252875,6834.7072875,6985.27204625,7135.83680625,7286.401565,7440.14321,7597.128775,7757.426703749999,7921.1068875,8088.240691250001,8258.900986249999,8433.16217875,8611.10024875,8792.7927775,8978.3189825
Tanzania,Peak,0.0,0.0,1764.125,1960.75,2455.8875,2872.8375,3399.4625,3919.9874999999997,4523.1,4896.25,5390.475,5736.012500000001,5955.05,6145.5125,6329.775,6515.325000000001,6692.8125,6879.625,7057.8125,7412.799999999999,7611.4,7809.712500000001,7996.1125,8199.175,8389.712500000001,8599.475,8796.2375,9015.337500000001,9268.1125,0.0,0.0
DRC,Peak,1557.7131625000002,1617.5293487499998,1679.642475,1744.1407462500001,1811.11575125,1880.6625962499998,1952.88004,2027.8706324999998,2105.7408649999998,2186.601315,2270.566805,2357.75657,2448.2944225,2542.3089287499997,2639.93359125,2741.30704125,2846.57323125,2955.88164375,3069.38749875,3187.25197875,3309.642455,3432.0329312500003,3554.42340625,3676.8138825,3799.20435875,3921.5948350000003,4043.9853112499995,4166.37578625,4288.7662625,4411.15673875,4533.547215
Malawi,Peak,425.0,450.0,460.0,500.0,555.0,630.0,721.25,765.0,822.5,898.75,961.25,1035.0,1117.5,1212.5,1302.5,1405.0,1510.0,1625.0,1750.0,1887.5,2036.25,2201.25,2382.5,2502.7777775,2652.944445,2812.1211112499996,2980.8483775000004,3159.69928,3349.2812375,3550.23811125,3763.2523987500003
DRC_South,Peak,563.21738525,590.49205225,606.182838625,620.520362875,674.069192125,691.200446875,717.42455925,736.54161675,769.49552625,791.2041616250001,815.173542875,889.370144,919.3561255,950.1993585,1034.598704875,1069.6400737499998,1162.082501125,1201.5714935,1302.9035,1347.2508925,1393.2635812500002,1439.27627,1485.28895875,1531.30164875,1577.3143375,1623.32702625,1669.339715,1715.3524049999999,1761.3650937500001,1807.3777825,1853.39047125
Mozal,Peak,1253.125,1256.25,1259.375,1262.5,1265.625,1268.75,1271.875,1275.0,1278.125,1281.25,1284.375,1287.5,1290.625,1293.75,1296.875,1300.0,1303.125,1306.25,1309.375,1312.5,1315.625,1318.75,1321.875,1325.0,1328.125,1331.25,1334.375,1337.5,1340.625,1343.75,1346.875
South_Africa,Energy,295000.0,301250.0,293750.0,303750.0,306250.0,308750.0,312500.0,313750.0,316875.0,320000.0,325000.0,330000.0,336250.0,342500.0,351875.0,361250.0,371250.0,381250.0,393750.0,406250.0,417500.0,428750.0,440000.0,451250.0,461875.0,472500.0,483750.0,495000.0,505625.0,516250.0,527500.0
Lesotho,Energy,1063.75,1092.5,1127.5,1171.25,1202.5,1223.75,1263.75,1316.25,1342.5,1408.75,1451.25,1493.75,1538.75,1588.75,1638.75,1688.75,1722.5,1756.25,1791.25,1827.5,1863.75,1900.0,1936.25,1972.5,2008.75,2045.0,2081.25,2117.5,2153.75,2190.0,2226.25
