z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
South_Africa,Peak,33873,34554,35245,35952,36669,37372,38079,38753,39474,40200,40933,41687,42476,43281,44101,44936,45787,46655,47538,48439,49356,50291,51244,52214,53203,54211,55238,56284.33385,57350.48765,58436.83684,59543.76396,60671.65881,61820.91856,62991.94792,64185.15925,65400.97272,66639.81648,67902.12677,69188.3481,70498.93339,71834.34417,73195.05067
Lesotho,Peak,204,214.2,224.4,234.6,244.8,251.94,259.08,265.2,273.36,280.5,287.64,295.8,305.5033944,315.525098,325.8755526,336.5655425,347.6062058,359.0090459,370.7859437,382.9491697,395.5113969,408.4857143,421.8856399,435.7251353,450.0186202,464.7809872,480.0276175,495.7743967,512.0377318,528.8345676,546.1824053,564.0993198,582.603979,601.7156632,621.4542852,641.840411,662.8952814,684.6408336,707.0997249,730.2953554,754.2518931,778.9942988
Eswatini,Peak,244.65,255.5,263.42,271.59,288.69,297.64,306.86,316.37,326.18,336.29,346.72,357.47,368.55,379.97,391.75,403.9,416.42,429.33,442.64,456.36,470.5,485.09,500.13,515.63,531.62,548.1,565.09,595.4822208,613.8758259,632.8375836,652.3850432,672.5362962,693.309993,714.7253599,736.8022174,759.5609977,783.0227647,807.2092325,832.1427862,857.8465021,884.3441696,911.6603126
Zimbabwe_East,Peak,810.04,848.7978946,887.5557896,926.3136841,972.8231577,1011.444117,1051.353047,1091.594666,1134.324414,1178.516807,1224.235279,1271.93844,1324.439951,1379.108554,1436.033701,1495.308534,1557.030041,1621.299213,1688.221208,1757.905527,1830.46619,1906.021922,1984.696351,2066.618206,2151.921531,2240.745902,2333.236656,2429.545129,2529.828906,2634.252072,2742.98549,2856.207072,2974.102076,3096.863404,3224.691923,3357.796791,3496.395798,3640.715724,3790.992711,3947.472646,4110.411568,4280.076082
Zimbabwe_West,Peak,1030.96,1080.288229,1129.616459,1178.944689,1238.138564,1287.292512,1338.085696,1389.302302,1443.685617,1499.930481,1558.117627,1618.830741,1685.650846,1755.229069,1827.679256,1903.119953,1981.674598,2063.471725,2148.645173,2237.334307,2329.684241,2425.846082,2525.977174,2630.241354,2738.809222,2851.858421,2969.573926,3092.148347,3219.782244,3352.684456,3491.072442,3635.172638,3785.220823,3941.462514,4104.153357,4273.559552,4449.958288,4633.638195,4824.899814,5024.056096,5231.432905,5447.369559
Botswana,Peak,675.05,703.9807143,732.9114286,761.8421429,790.7728571,822.7771431,856.0065524,889.5805914,925.1876227,962.0825685,1000.285788,1040.168501,1081.578366,1124.636787,1169.409396,1215.964435,1264.372863,1314.708467,1367.047967,1421.471141,1478.060941,1536.903623,1598.088874,1661.709955,1727.863837,1796.651353,1868.177351,1942.55085,2019.885213,2100.298313,2183.912716,2270.85587,2361.260294,2455.263784,2553.009622,2654.646792,2760.330212,2870.220966,2984.48655,3103.301131,3226.845807,3355.308886
Namibia,Peak,672.0808558,682.263899,692.4469423,702.6299856,712.8130288,721.9583503,731.3487396,739.7916544,749.0095596,758.2500242,767.4352405,776.8774367,787.0322339,797.3197674,807.7417724,818.3000066,828.9962506,839.8323084,850.8100075,861.9311994,873.1977598,884.6115887,896.1746112,907.8887774,919.756063,931.7784694,943.9580243,956.2967818,968.7968229,981.4602557,994.2892161,1007.285868,1020.452403,1033.791041,1047.304033,1060.993657,1074.862222,1088.912068,1103.145563,1117.565108,1132.173136,1146.972109
Zambia,Peak,2285.723187,2369.347206,2462.262783,2555.178359,2648.093936,2727.569207,2808.658129,2888.270009,2973.075413,3059.726732,3148.308108,3240.08975,3343.103895,3449.393231,3559.06189,3672.21731,3788.97035,3909.43539,4033.730448,4161.977295,4294.301572,4430.832915,4571.705082,4717.056084,4867.028318,5021.768711,5181.42886,5346.165181,5516.139064,5691.51703,5872.470894,6059.177935,6251.821066,6450.589018,6655.67652,6867.284494,7085.620249,7310.897685,7543.337504,7783.167424,8030.622402,8285.944867
Angola_North,Peak,2034.94725,2375.80875,2521.65375,3072.27375,3248.1225,3373.88625,3499.72875,3625.65,3751.335,3876.78375,4000.6575,4125.555,4249.35,6293.62125,6467.18625,6639.17625,6809.5125,6980.95125,7152.15375,7323.2775,7494.48,7665.6825,7836.80625,8008.00875,8179.1325,8350.335,8521.45875,8968.133089,9438.221024,9932.949842,10453.61114,11001.56426,11578.23976,12185.1432,12823.85905,13496.05486,14203.48554,14947.99804,15731.53609,16556.14532,17423.97858,18337.30157
Angola_East,Peak,65.118312,76.02588,80.69292,98.31276,103.93992,107.96436,111.99132,116.0208,120.04272,124.05708,128.02104,132.01776,135.9792,201.39588,206.94996,212.45364,217.9044,223.39044,228.86892,234.34488,239.82336,245.30184,250.7778,256.25628,261.73224,267.21072,272.68668,286.9802589,302.0230728,317.8543949,334.5155566,352.0500563,370.5036723,389.9245823,410.3634897,431.8737553,454.5115373,478.3359373,503.4091549,529.7966503,557.5673145,586.7936501
