z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,,,,,,,,,
Angola_North,Energy,12687.4125,13415.85,14186.8125,15001.0875,15863.4,16774.5375,17737.65,17951.85,18167.625,18387.3375,18608.625,18833.0625,18963,19093.725,19226.025,19358.325,19492.2,19626.8625,19762.3125,19898.55,20036.3625,20174.175,20618.01,21071.60,21535.18,22008.95,22493.15,22988.00,23493.73,24010.60,24538.83,25078.68,25630.41,,,,,,,,,
Angola_East,Energy,405.9972,429.3072,453.9780001,480.0348001,507.6288,536.7851999,567.6048001,574.4592,581.3640002,588.3947999,595.476,602.6579999,606.8159999,610.9992,615.2327999,619.4663999,623.7504001,628.0596,632.394,636.7536,641.1636,645.5736,659.78,674.29,689.13,704.29,719.78,735.62,751.80,768.34,785.24,802.52,820.17,,,,,,,,,
Angola_Central,Energy,2054.1525,2172.09,2296.9125,2428.747501,2568.36,2715.877499,2871.810001,2906.49,2941.425001,2976.9975,3012.825,3049.162499,3070.2,3091.365001,3112.784999,3134.205,3155.88,3177.6825,3199.6125,3221.67,3243.9825,3266.295,3338.15,3411.59,3486.65,3563.35,3641.75,3721.87,3803.75,3887.43,3972.95,4060.36,4149.69,,,,,,,,,
Angola_South,Energy,963.4377998,1018.7528,1077.297001,1139.1302,1204.6112,1273.7998,1346.9352,1363.2008,1379.586,1396.270199,1413.074,1430.117,1439.984,1449.9108,1459.9572,1470.0036,1480.1696,1490.3954,1500.681,1511.0264,1521.4914,1531.9564,1565.66,1600.10,1635.31,1671.28,1708.05,1745.63,1784.03,1823.28,1863.39,1904.39,1946.28,,,,,,,,,
Botswana,Energy,4155,4649,5110,5298,5492,5693,5901,6077,6259,6445,6638,6836,7008,7183,7364,7549,7738,7932,8131,8335,8545,8759,9074.324,9400.999664,9739.435652,10090.05534,10453.29733,10829.61603,11219.48221,11623.38357,12041.82538,12475.33109,12924.44301,,,,,,,,,
Eswatini,Energy,1352,1452,1545,1611,1662,1706,1746,1785,1822,1856,1889,1922,1954,1985,2011,2032,2049,2062,2073,2084,2095,2106,2150.226,2195.380746,2241.483742,2288.5549,2336.614553,2385.683459,2435.782811,2486.93425,2539.15987,2592.482227,2646.924354,,,,,,,,,
Lesotho,Energy,1043,1051,1060,1071,1100,1093,1114,1143,1180,1229,1271,1307,1336,1391,1411,1431,1451,1471,1499,1528,1557,1587,1618.74,1651.1148,1684.137096,1717.819838,1752.176235,1787.219759,1822.964155,1859.423438,1896.611906,1934.544145,1973.235027,,,,,,,,,
Malawi,Energy,2437,3324,3915,4095,4528,4828,5202,5570,6000,6489,6979,7458,8009,8634,9264,9967,10702,11578,12458,13405,14423,15519,16946.748,18505.84882,20208.38691,22067.5585,24097.77388,26314.76908,28735.72784,31379.4148,34266.32096,37418.82249,40861.35416,,,,,,,,,
Mozambique_Central,Energy,1883.997609,2008.449465,2263.614908,2476.774588,2641.144965,2965.711233,3191.133465,3361.76557,3465.605904,3735.642953,3834.526083,3934.974648,4045.07671,4146.568895,4250.148324,4359.728575,4479.74504,4620.373031,4778.481678,4977.291563,5096.786218,5071.478399,5267.032185,5467.865924,5674.12217,5885.947339,6103.491785,6326.909933,6556.360369,6792.005969,7034.014,7282.556244,7537.809131,,,,,,,,,
Mozambique_South,Energy,4167.484092,4442.776976,5007.213957,5478.732376,5842.32675,6560.281357,7058.92507,7436.370659,7666.069962,8263.403577,8482.137336,8704.333898,8947.884416,9172.389513,9401.511682,9643.907932,9909.389539,10220.46473,10570.20789,11009.98394,11274.31128,11218.32929,11650.90271,12095.15561,12551.40335,13019.96977,13501.18748,13995.39807,14502.95235,15024.2106,15559.54281,16109.329,16673.95942,,,,,,,,,
Mozambique_North,Energy,1169.518299,1246.773559,1405.171135,1537.493036,1639.528285,1841.00741,1980.941465,2086.863771,2151.324134,2318.95347,2380.33658,2442.691455,2511.038874,2574.041592,2638.339994,2706.363493,2780.86542,2868.162244,2966.310436,3089.724498,3163.902504,3148.192315,3269.585107,3394.255506,3522.292004,3653.785488,3788.829296,3927.519288,4069.953908,4216.234264,4366.464189,4520.750321,4679.202179,,,,,,,,,
Namibia,Energy,4291,4849,5417,5608,5749,5895,6041,6147,6496,6608,6721,6835,6953,7070,7191,7313,7439,7567,7698,7830,7965,8102,8353.162,8612.110022,8879.085433,9154.337081,9438.121531,9730.703298,10032.3551,10343.35811,10664.00221,10994.58628,11335.41845,,,,,,,,,
South_Africa,Energy,232423,233712,235000,239630,244070,249260,257570,265650,272080,279410,287650,294540,301910,310550,319760,328760,337170,346580,355250,365330,373230,381110,390256.64,399622.7994,409213.7465,419034.8765,429091.7135,439389.9146,449935.2726,460733.7191,471791.3284,483114.3203,494709.0639,,,,,,,,,
Tanzania,Energy,11593,14524,18252,21396,25050,27263,30227,32260,33503,34564,35590,36620,37598,38632,39611,41681,42782,43879,44901,46024,47068,48229,51605.03,55217.3821,59082.59885,63218.38077,67643.66742,72378.72414,77445.23483,82866.40127,88667.04936,94873.74281,101514.9048,,,,,,,,,
Zambia,Energy,13925,17034,20287,23662,27598,32190,37545,38706,39903,41137,42410,43721,45074,46468,47905,49387,50914,52330,53786,55283,56821,58401,62547.471,66988.34144,71744.51368,76838.37415,82293.89872,88136.76553,94394.47588,101096.4837,108274.334,115961.8117,124195.1004,,,,,,,,,
Zimbabwe_East,Energy,4972.88,6025.36,6956.400001,7821.44,8607.72,9377.72,10093.6,10746.12,11401.28,11754.16,12118.48,12494.68,12883.64,13285.8,13702.04,14132.8,14578.52,15040.52,15519.24,16013.36,16522.88,17048.68001,18071.6008,19155.89685,20305.25066,21523.5657,22814.97963,24183.87842,25634.91112,27173.00579,28803.38615,30531.5893,32363.48467,,,,,,,,,
Zimbabwe_West,Energy,6329.12,7668.64,8853.599999,9954.56,10955.28,11935.28,12846.4,13676.88,14510.72,14959.84,15423.52,15902.32,16397.36,16909.2,17438.96,17987.2,18554.48,19142.48,19751.76,20380.64,21029.12,21698.31999,23000.2192,24380.23235,25843.04629,27393.62907,29037.24682,30779.48162,32626.25052,34583.82556,36658.85508,38858.3864,41189.88957,,,,,,,,,
DRC,Energy,24306.83,25504.50626,26761.1959,28079.80672,29463.38976,30915.14642,32438.43583,34036.78265,35713.8852,37473.62402,39320.07087,41257.49814,43290.38872,45423.44642,47661.60677,50010.04854,52474.20564,55059.77974,57772.75345,60619.40417,63606.31859,66740.40796,70028.92407,73479.47602,77100.04784,80899.01697,84885.17361,89067.7411,93456.39724,98061.29668,102893.0944,107962.9705,113282.6558,,,,,,,,,
DRC_South,Energy,5552.706622,5835.03,6131.707907,6443.47019,6771.083801,7115.354691,7477.129787,7857.299078,8256.797804,8676.608755,9117.764692,9581.350885,10068.50779,10580.43383,11118.38838,11683.69485,12277.74392,12901.99699,13557.98975,14247.336,14971.73156,15732.95849,16532.88946,17373.49234,18256.83508,19185.09074,20160.54289,21185.59121,22262.75737,23394.69127,24584.17753,25834.14237,27147.66078,,,,,,,,,
