zone,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Romania,Q1,d1,60.9800,93.0000,70.3600,140.1900,150.9000,170.5400,195.4800,190.3100,161.5700,153.3900,157.1900,157.0300,155.6200,162.5200,171.8700,189.9800,222.2600,245.6000,229.0000,196.8000,188.1800,153.3900,153.3900,152.9500
Romania,Q1,d2,85.2600,77.9700,74.4200,89.8800,114.3100,188.0300,184.5400,174.8700,180.0900,183.8300,173.5000,169.4100,172.0000,216.4300,301.9500,362.3100,329.4800,317.0000,255.2800,255.8000,190.0600,179.9900,137.9000,139.8300
Romania,Q1,d3,6.0700,0.5600,0.5600,3.0000,33.4500,141.4800,155.9600,151.3900,133.8800,50.0000,9.7200,20.0000,28.7600,85.9000,125.0000,160.5500,165.3500,158.9000,155.8000,133.8900,131.6800,17.5700,50.1700,22.6700
Romania,Q1,d4,87.4800,83.9900,84.9000,93.6400,115.0000,142.9900,139.6000,124.7500,20.0000,9.7500,9.7500,9.7500,9.7500,9.7500,9.7500,9.7500,69.0400,130.9400,131.4700,116.7300,106.8100,94.0100,88.7600,89.4600
Romania,Q1,d5,105.1200,105.4400,105.6900,114.5200,116.9100,147.3500,180.8100,197.7200,171.9900,168.2200,147.3200,144.5900,147.3100,152.6400,166.5800,188.6800,228.4400,205.5600,215.0500,176.4800,147.3400,122.8000,100.2500,99.7700
Romania,Q1,d6,128.1800,114.6100,112.4800,125.5100,138.3100,159.8000,185.0000,217.0900,115.5400,170.0200,160.8400,95.3900,104.0700,101.6500,148.1900,153.3600,160.9100,184.6500,179.7800,152.7100,135.5600,123.0600,111.4500,122.7300
Romania,Q1,d7,118.0900,110.0000,109.3900,115.8000,129.9500,147.7600,181.0000,179.9200,148.0500,133.0400,81.0800,99.4100,90.5400,113.5500,130.9900,135.2700,148.7500,166.1800,185.3100,150.8100,143.5700,121.5200,114.5100,115.6400
Romania,Q2,d1,58.5100,60.4600,58.5100,60.4600,58.7200,70.0800,75.5500,66.0900,52.5300,52.9600,48.1700,27.7500,14.9500,16.3100,31.6900,41.7400,100.4100,130.0000,131.1900,120.1400,112.4900,109.1600,97.3200,99.1100
Romania,Q2,d2,90.3500,91.6600,92.8100,95.8500,110.9200,104.9500,12.8200,9.7200,9.7200,9.7200,9.7200,9.7200,9.7200,15.3400,84.4400,99.3100,115.3000,125.9100,132.9200,124.3400,116.7100,105.4800,115.5900,108.5600
Romania,Q2,d3,86.9800,86.2500,88.0100,97.7300,100.4300,103.1700,128.0000,103.3200,87.6600,85.9100,90.7800,80.9600,86.6400,101.7400,105.6700,107.9200,117.4400,141.5100,151.2000,140.3400,119.2600,108.4300,107.1200,102.7700
Romania,Q2,d4,101.4200,102.9400,102.0800,117.7100,141.5600,167.8100,148.4700,124.3300,117.7000,113.3700,109.3000,106.0600,99.8800,108.1600,108.3700,111.7300,120.8400,139.8400,148.0200,135.3500,119.0800,101.7900,78.9600,73.1000
Romania,Q2,d5,119.8300,117.9900,118.2400,117.8600,120.0000,118.9000,122.9800,112.2100,100.0000,87.0000,81.9600,60.0100,55.0000,56.0000,74.0000,86.3500,115.2000,129.9700,133.4600,126.3900,115.0000,106.9400,98.2100,81.8500
Romania,Q2,d6,70.0700,70.2200,73.0300,85.9100,107.1400,112.5100,99.9500,86.2800,75.0000,70.0800,69.2700,69.5700,70.6700,73.8300,78.3000,89.4600,99.7400,130.3500,149.7700,126.3200,101.0000,88.9400,78.6900,70.9000
