zone,internal_zone,exporter,year,ef_tco2_per_mwh,ets_eur2024_per_t,C_eur2024_per_mwh,C_usd2024_per_mwh
Bulgaria,Trakia,Türkiye,2024,0.7180,64.8000,0.0000,0.0000
Bulgaria,Trakia,Türkiye,2025,0.7180,70.4000,0.0000,0.0000
Bulgaria,Trakia,Türkiye,2026,0.7180,76.0000,54.5680,59.0644
Bulgaria,Trakia,Türkiye,2027,0.7180,87.5948,62.8931,68.0755
Bulgaria,Trakia,Türkiye,2028,0.7180,99.1896,71.2181,77.0865
Bulgaria,Trakia,Türkiye,2029,0.7180,110.7844,79.5432,86.0976
Bulgaria,Trakia,Türkiye,2030,0.7180,122.3792,87.8683,95.1086
Bulgaria,Trakia,Türkiye,2031,0.7180,126.0052,90.4718,97.9266
Bulgaria,Trakia,Türkiye,2032,0.7180,129.6313,93.0753,100.7447
Bulgaria,Trakia,Türkiye,2033,0.7180,133.2573,95.6788,103.5627
Bulgaria,Trakia,Türkiye,2034,0.7180,136.8834,98.2823,106.3807
Bulgaria,Trakia,Türkiye,2035,0.7180,140.5095,100.8858,109.1988
Bulgaria,Trakia,Türkiye,2036,0.7180,144.1355,103.4893,112.0168
Bulgaria,Trakia,Türkiye,2037,0.7180,147.7616,106.0928,114.8348
Bulgaria,Trakia,Türkiye,2038,0.7180,151.3876,108.6963,117.6529
Bulgaria,Trakia,Türkiye,2039,0.7180,155.0137,111.2998,120.4709
Bulgaria,Trakia,Türkiye,2040,0.7180,158.6397,113.9033,123.2889
Bulgaria,Trakia,Türkiye,2041,0.7180,160.9060,115.5305,125.0502
Bulgaria,Trakia,Türkiye,2042,0.7180,163.1723,117.1577,126.8115
Bulgaria,Trakia,Türkiye,2043,0.7180,165.4385,118.7849,128.5728
Bulgaria,Trakia,Türkiye,2044,0.7180,167.7048,120.4121,130.3340
Bulgaria,Trakia,Türkiye,2045,0.7180,169.9711,122.0393,132.0953
Bulgaria,Trakia,Türkiye,2046,0.7180,172.2374,123.6664,133.8566
Bulgaria,Trakia,Türkiye,2047,0.7180,174.5037,125.2936,135.6178
Bulgaria,Trakia,Türkiye,2048,0.7180,176.7700,126.9208,137.3791
Bulgaria,Trakia,Türkiye,2049,0.7180,179.0362,128.5480,139.1404
Bulgaria,Trakia,Türkiye,2050,0.7180,181.3025,130.1752,140.9016
Bulgaria,Trakia,Türkiye,2051,0.7180,181.3025,130.1752,140.9016
Bulgaria,Trakia,Türkiye,2052,0.7180,181.3025,130.1752,140.9016
Bulgaria,Trakia,Türkiye,2053,0.7180,181.3025,130.1752,140.9016
