zone,year,mean,p10,p50,p90,min,max,n_negative,n_zero
Romania,2023,103.736,30.788,102.730,161.440,-23.180,436.890,32,52
Romania,2024,103.538,33.939,90.805,168.137,-106.360,1021.610,85,95
Bulgaria,2023,103.844,32.966,102.750,160.991,-1.100,400.000,11,55
Bulgaria,2024,102.570,33.483,90.890,165.765,-45.000,950.010,55,83
Greece,2023,119.093,68.529,112.470,178.904,0.000,384.820,0,24
Greece,2024,100.881,46.546,93.600,153.687,-1.020,942.000,11,18
