scenario,zone,year,tyndp_code,value,source
DE,Romania,2035,RO00,70.5112,MMStandardOutputFile_DE2035_Plexos_CY2009_v11_SoS.xlsb
DE,Bulgaria,2035,BG00,69.9004,MMStandardOutputFile_DE2035_Plexos_CY2009_v11_SoS.xlsb
DE,Greece,2035,GR00,50.4599,MMStandardOutputFile_DE2035_Plexos_CY2009_v11_SoS.xlsb
DE,Romania,2040,RO00,57.4416,MMStandardOutputFile_DE2040_Plexos_CY2009_v11_SoS.xlsb
DE,Bulgaria,2040,BG00,56.0295,MMStandardOutputFile_DE2040_Plexos_CY2009_v11_SoS.xlsb
DE,Greece,2040,GR00,49.7208,MMStandardOutputFile_DE2040_Plexos_CY2009_v11_SoS.xlsb
DE,Romania,2050,RO00,52.7671,MMStandardOutputFile_DE2050_Plexos_CY2009_v11_SoS.xlsb
DE,Bulgaria,2050,BG00,50.0973,MMStandardOutputFile_DE2050_Plexos_CY2009_v11_SoS.xlsb
DE,Greece,2050,GR00,38.7655,MMStandardOutputFile_DE2050_Plexos_CY2009_v11_SoS.xlsb
GA,Romania,2035,RO00,54.0267,MMStandardOutputFile_GA2035_Plexos_CY2009_v11_SoS.xlsb
GA,Bulgaria,2035,BG00,52.7490,MMStandardOutputFile_GA2035_Plexos_CY2009_v11_SoS.xlsb
GA,Greece,2035,GR00,42.4937,MMStandardOutputFile_GA2035_Plexos_CY2009_v11_SoS.xlsb
GA,Romania,2040,RO00,40.0889,MMStandardOutputFile_GA2040_Plexos_CY2009_v11_SoS.xlsb
GA,Bulgaria,2040,BG00,38.8570,MMStandardOutputFile_GA2040_Plexos_CY2009_v11_SoS.xlsb
GA,Greece,2040,GR00,36.9489,MMStandardOutputFile_GA2040_Plexos_CY2009_v11_SoS.xlsb
GA,Romania,2050,RO00,41.2547,MMStandardOutputFile_GA2050_Plexos_CY2009_v11_SoS.xlsb
GA,Bulgaria,2050,BG00,40.5120,MMStandardOutputFile_GA2050_Plexos_CY2009_v11_SoS.xlsb
GA,Greece,2050,GR00,38.9939,MMStandardOutputFile_GA2050_Plexos_CY2009_v11_SoS.xlsb
NT,Romania,2030,RO00,81.1727,MMStandardOutputFile_NT2030_Plexos_CY2009_2.5_v40.xlsx
NT,Bulgaria,2030,BG00,83.5342,MMStandardOutputFile_NT2030_Plexos_CY2009_2.5_v40.xlsx
NT,Greece,2030,GR00,83.1057,MMStandardOutputFile_NT2030_Plexos_CY2009_2.5_v40.xlsx
NT,Romania,2040,RO00,82.3705,MMStandardOutputFile_NT2040_Plexos_CY2009_2.5_v40.xlsx
NT,Bulgaria,2040,BG00,84.7568,MMStandardOutputFile_NT2040_Plexos_CY2009_2.5_v40.xlsx
NT,Greece,2040,GR00,87.8504,MMStandardOutputFile_NT2040_Plexos_CY2009_2.5_v40.xlsx
