zone,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Romania,Q1,d1,0.532148,0.811574,0.614004,1.223382,1.316844,1.488234,1.705876,1.660759,1.409957,1.338573,1.371734,1.370338,1.358033,1.418247,1.499841,1.657879,1.939574,2.143253,1.998391,1.717395,1.642172,1.338573,1.338573,1.334733
Romania,Q1,d2,0.744030,0.680413,0.649434,0.784347,0.997538,1.640863,1.610407,1.526020,1.571573,1.604211,1.514065,1.478373,1.500975,1.888698,2.634997,3.161734,2.875240,2.766332,2.227726,2.232264,1.658578,1.570701,1.203398,1.220240
Romania,Q1,d3,0.052970,0.004887,0.004887,0.026180,0.291905,1.234639,1.361000,1.321120,1.168317,0.436330,0.084823,0.174532,0.250977,0.749615,1.090825,1.401056,1.442943,1.386657,1.359604,1.168404,1.149119,0.153326,0.437814,0.197832
Romania,Q1,d4,0.763403,0.732947,0.740888,0.817159,1.003559,1.247816,1.218233,1.088643,0.174532,0.085084,0.085084,0.085084,0.085084,0.085084,0.085084,0.085084,0.602484,1.142661,1.147286,1.018656,0.932088,0.820388,0.774573,0.780682
Romania,Q1,d5,0.917340,0.920133,0.922314,0.999370,1.020227,1.285864,1.577856,1.725423,1.500888,1.467989,1.285603,1.261779,1.285515,1.332028,1.453677,1.646535,1.993504,1.793840,1.876655,1.540070,1.285777,1.071626,0.874842,0.870653
Romania,Q1,d6,1.118576,1.000156,0.981568,1.095276,1.206976,1.394511,1.614421,1.894458,1.008271,1.483696,1.403586,0.832430,0.908177,0.887059,1.293195,1.338311,1.404197,1.611367,1.568868,1.332639,1.182978,1.073895,0.972580,1.071016
Romania,Q1,d7,1.030524,0.959926,0.954603,1.010540,1.134022,1.289442,1.579515,1.570090,1.291973,1.160987,0.707553,0.867511,0.790106,0.990905,1.143097,1.180447,1.298082,1.450186,1.617126,1.316059,1.252878,1.060456,0.999283,1.009144
Romania,Q2,d1,0.510593,0.527610,0.510593,0.527610,0.512426,0.611560,0.659295,0.576741,0.458408,0.462161,0.420360,0.242163,0.130463,0.142331,0.276546,0.364248,0.876238,1.134458,1.144843,1.048414,0.981655,0.952596,0.849273,0.864893
Romania,Q2,d2,0.788448,0.799880,0.809916,0.836445,0.967954,0.915857,0.111875,0.084823,0.084823,0.084823,0.084823,0.084823,0.084823,0.133866,0.736874,0.866639,1.006177,1.098766,1.159940,1.085065,1.018481,0.920482,1.008708,0.947360
Romania,Q2,d3,0.759040,0.752669,0.768028,0.852851,0.876412,0.900323,1.117005,0.901632,0.764974,0.749702,0.792201,0.706506,0.756073,0.887844,0.922140,0.941775,1.024852,1.234901,1.319462,1.224691,1.040734,0.946225,0.934793,0.896833
Romania,Q2,d4,0.885052,0.898316,0.890811,1.027208,1.235337,1.464411,1.295638,1.084978,1.027121,0.989335,0.953817,0.925543,0.871613,0.943869,0.945702,0.975023,1.054522,1.220328,1.291711,1.181145,1.039163,0.888281,0.689052,0.637914
