zone,scenario,year,L_eur2024,L_usd2024
Romania,CENTRAL,2024,103.538,112.070
Romania,CENTRAL,2025,100.882,109.194
Romania,CENTRAL,2026,98.225,106.319
Romania,CENTRAL,2027,95.569,103.444
Romania,CENTRAL,2028,92.913,100.569
Romania,CENTRAL,2029,90.256,97.694
Romania,CENTRAL,2030,87.600,94.818
Romania,CENTRAL,2031,87.729,94.958
Romania,CENTRAL,2032,87.859,95.098
Romania,CENTRAL,2033,87.988,95.238
Romania,CENTRAL,2034,88.117,95.378
Romania,CENTRAL,2035,88.246,95.518
Romania,CENTRAL,2036,88.376,95.658
Romania,CENTRAL,2037,88.505,95.798
Romania,CENTRAL,2038,88.634,95.938
Romania,CENTRAL,2039,88.763,96.078
Romania,CENTRAL,2040,88.893,96.217
Romania,CENTRAL,2041,88.893,96.217
Romania,CENTRAL,2042,88.893,96.217
Romania,CENTRAL,2043,88.893,96.217
Romania,CENTRAL,2044,88.893,96.217
Romania,CENTRAL,2045,88.893,96.217
Romania,CENTRAL,2046,88.893,96.217
Romania,CENTRAL,2047,88.893,96.217
Romania,CENTRAL,2048,88.893,96.217
Romania,CENTRAL,2049,88.893,96.217
Romania,CENTRAL,2050,88.893,96.217
Romania,CENTRAL,2051,88.893,96.217
Romania,CENTRAL,2052,88.893,96.217
Romania,CENTRAL,2053,88.893,96.217
Romania,LOW,2024,103.538,112.070
Romania,LOW,2025,101.043,109.369
Romania,LOW,2026,98.548,106.669
Romania,LOW,2027,96.053,103.968
Romania,LOW,2028,93.559,101.268
Romania,LOW,2029,91.064,98.567
Romania,LOW,2030,88.569,95.867
Romania,LOW,2031,86.074,93.166
Romania,LOW,2032,83.579,90.466
Romania,LOW,2033,81.084,87.765
Romania,LOW,2034,78.589,85.065
Romania,LOW,2035,76.094,82.365
Romania,LOW,2036,73.274,79.311
Romania,LOW,2037,70.453,76.258
Romania,LOW,2038,67.632,73.205
Romania,LOW,2039,64.811,70.151
Romania,LOW,2040,61.990,67.098
Romania,LOW,2041,61.485,66.552
Romania,LOW,2042,60.981,66.006
Romania,LOW,2043,60.477,65.460
Romania,LOW,2044,59.972,64.914
Romania,LOW,2045,59.468,64.368
Romania,LOW,2046,58.963,63.822
Romania,LOW,2047,58.459,63.276
Romania,LOW,2048,57.954,62.730
Romania,LOW,2049,57.450,62.184
Romania,LOW,2050,56.945,61.638
Romania,LOW,2051,56.945,61.638
Romania,LOW,2052,56.945,61.638
Romania,LOW,2053,56.945,61.638
Romania,VERY_LOW,2024,103.538,112.070
Romania,VERY_LOW,2025,99.426,107.619
Romania,VERY_LOW,2026,95.314,103.168
Romania,VERY_LOW,2027,91.202,98.717
Romania,VERY_LOW,2028,87.089,94.266
Romania,VERY_LOW,2029,82.977,89.815
Romania,VERY_LOW,2030,78.865,85.364
Romania,VERY_LOW,2031,74.753,80.913
Romania,VERY_LOW,2032,70.641,76.462
Romania,VERY_LOW,2033,66.529,72.011
Romania,VERY_LOW,2034,62.417,67.560
Romania,VERY_LOW,2035,58.305,63.109
Romania,VERY_LOW,2036,55.296,59.853
Romania,VERY_LOW,2037,52.288,56.597
