zone,scenario,year,q,d,exporter,direction,variant,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,n_floored,raw_mean_usd
Bulgaria,CENTRAL,2024,Q1,d1,Türkiye,export,CBAM,54.9758,84.9798,63.7651,129.1985,139.2342,157.6376,181.0074,176.1629,149.2324,141.5674,145.1283,144.9782,143.6570,150.1227,158.8839,175.8536,206.1013,227.9717,212.4168,182.2442,174.1670,141.5674,141.5674,141.1552,0,150.9823
Bulgaria,CENTRAL,2024,Q1,d2,Türkiye,export,CBAM,77.7271,70.8961,67.5695,82.0562,104.9480,174.0265,170.7562,161.6950,166.5863,170.0909,160.4113,156.5788,159.0057,200.6384,280.7738,337.3335,306.5704,294.8762,237.0423,237.5295,175.9286,166.4927,127.0527,128.8612,0,175.6436
Bulgaria,CENTRAL,2024,Q1,d3,Türkiye,export,CBAM,3.5230,0.0100,0.0100,0.6463,29.1791,130.4073,143.9756,139.6934,123.2859,44.6871,6.9432,16.5760,24.7844,78.3268,114.9649,148.2767,152.7744,146.7306,143.8257,123.2952,121.2243,14.2990,44.8463,19.0778,2,73.6693
Bulgaria,CENTRAL,2024,Q1,d4,Türkiye,export,CBAM,79.8073,76.5370,77.3897,85.5795,105.5946,131.8223,128.6457,114.7307,16.5760,6.9713,6.9713,6.9713,6.9713,6.9713,6.9713,6.9713,62.5283,120.5310,121.0276,107.2157,97.9203,85.9261,81.0067,81.6626,0,67.6375
Bulgaria,CENTRAL,2024,Q1,d5,Türkiye,export,CBAM,96.3366,96.6365,96.8707,105.1448,107.3843,135.9078,167.2610,183.1063,158.9964,155.4637,135.8796,133.3215,135.8702,140.8646,153.9270,174.6355,211.8922,190.4527,199.3453,163.2037,135.8984,112.9035,91.7732,91.3235,0,140.6000
Bulgaria,CENTRAL,2024,Q1,d6,Türkiye,export,CBAM,117.9447,105.2291,103.2332,115.4429,127.4369,147.5739,171.1873,201.2568,106.1006,157.1504,148.5483,87.2192,95.3528,93.0852,136.6948,141.5393,148.6140,170.8592,166.2959,140.9303,124.8601,113.1471,102.2681,112.8378,0,130.6170
Bulgaria,CENTRAL,2024,Q1,d7,Türkiye,export,CBAM,108.4900,100.9094,100.3378,106.3442,119.6033,136.2919,167.4390,166.4271,136.5636,122.4987,73.8102,90.9862,82.6746,104.2359,120.5778,124.5883,137.2196,153.5522,171.4777,139.1499,132.3658,111.7041,105.1354,106.1943,0,121.6074
Bulgaria,CENTRAL,2024,Q2,d1,Türkiye,export,CBAM,52.6613,54.4885,52.6613,54.4885,52.8581,63.5029,68.6285,59.7640,47.0578,47.4607,42.9723,23.8380,11.8440,13.1182,27.5300,36.9472,91.9231,119.6501,120.7652,110.4109,103.2426,100.1223,89.0277,90.7050,0,63.9862
Bulgaria,CENTRAL,2024,Q2,d2,Türkiye,export,CBAM,82.4966,83.7241,84.8017,87.6503,101.7715,96.1773,9.8480,6.9432,6.9432,6.9432,6.9432,6.9432,6.9432,12.2094,76.9587,90.8924,105.8757,115.8176,122.3863,114.3465,107.1969,96.6740,106.1474,99.5600,0,68.1747
Bulgaria,CENTRAL,2024,Q2,d3,Türkiye,export,CBAM,79.3388,78.6547,80.3039,89.4119,91.9420,94.5094,94.7062,94.6500,79.9759,78.3361,82.8995,73.6978,79.0202,93.1694,96.8520,98.9603,107.8810,130.4354,139.5153,129.3392,109.5864,99.4382,98.2107,94.1346,0,95.6237
