,Romania,Bulgaria,Greece,HU
2015,46.952,,65.466,51.187
2016,41.740,,53.895,44.567
2017,59.514,57.147,67.735,62.365
2018,56.490,64.754,73.526,62.094
2019,60.590,57.635,76.768,60.573
2020,47.387,47.302,54.109,46.806
2021,130.195,127.147,136.220,133.181
2022,286.295,272.832,302.068,293.161
2023,106.196,106.306,121.916,109.347
2024,103.538,101.837,100.881,100.830
