Fuel,Index
Coal,1
Gas,2
Hydro,3
Solar,4
Wind,5
Import,6
HFO,7
CustomFuel,8
Solar,9
Battery,10
Diesel,11
GasCCS,12
CoalCCS,13
Hydrogen,14
Gas,15
Coal,16
Coal,17
Biomass,18
WindOff,19
Battery,20
