Fuel,value
DomCoal,0.09717
Gas,0.05306
Water,0
PV,0
Wind,0
Import,0
FuelOil,0.0751
Uranium,0
CSP,0
Battery,0
Diesel,0.07325
GasCCS,0.002653
CoalCCS,0
Hydrogen,0
LNG,0.05306
ImpCoal,0.09717
Lignite,0.09717
Biomass,0
WindOff,0
PHS,0
