g,z,tech,f,Linked plants,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,HeatRate,RampUpRate,RampDnRate,ResLimShare
WestAna_BESS_Cand2027-2h,WestAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
EastMed_BESS_Cand2027-2h,EastMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
EastAna_BESS_Cand2027-2h,EastAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
SouthEast_BESS_Cand2027-2h,SouthEast,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
NorthWest_BESS_Cand2027-2h,NorthWest,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
CenterAna_BESS_Cand2027-2h,CenterAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
CenterBlack_BESS_Cand2027-2h,CenterBlack,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
Trakia_BESS_Cand2027-2h,Trakia,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
WestMed_BESS_Cand2027-4h,WestMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
WestAna_BESS_Cand2027-4h,WestAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
EastMed_BESS_Cand2027-4h,EastMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
EastAna_BESS_Cand2027-4h,EastAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
SouthEast_BESS_Cand2027-4h,SouthEast,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
NorthWest_BESS_Cand2027-4h,NorthWest,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
CenterAna_BESS_Cand2027-4h,CenterAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
CenterBlack_BESS_Cand2027-4h,CenterBlack,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
Trakia_BESS_Cand2027-4h,Trakia,STORAGE,Battery,,3,2027,2060,20,100000,,10000,400000,0.85,1.3,25000,,2,250,,1,1,1
WestMed_BESS_Cand2027-6h,WestMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
WestAna_BESS_Cand2027-6h,WestAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
EastMed_BESS_Cand2027-6h,EastMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
EastAna_BESS_Cand2027-6h,EastAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
SouthEast_BESS_Cand2027-6h,SouthEast,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
NorthWest_BESS_Cand2027-6h,NorthWest,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
CenterAna_BESS_Cand2027-6h,CenterAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
CenterBlack_BESS_Cand2027-6h,CenterBlack,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
Trakia_BESS_Cand2027-6h,Trakia,STORAGE,Battery,,3,2027,2060,20,100000,,10000,600000,0.85,1.7,40000,,2,250,,1,1,1
WestMed_BESS_Cand2027-8h,WestMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
WestAna_BESS_Cand2027-8h,WestAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
EastMed_BESS_Cand2027-8h,EastMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
EastAna_BESS_Cand2027-8h,EastAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
SouthEast_BESS_Cand2027-8h,SouthEast,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
NorthWest_BESS_Cand2027-8h,NorthWest,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
CenterAna_BESS_Cand2027-8h,CenterAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
CenterBlack_BESS_Cand2027-8h,CenterBlack,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
Trakia_BESS_Cand2027-8h,Trakia,STORAGE,Battery,,3,2027,2060,20,100000,,10000,800000,0.85,2.1,50000,,2,250,,1,1,1
