g,z,tech,f,Linked plants,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,HeatRate,RampUpRate,RampDnRate,ResLimShare
Gokcekaya_PHP,CenterAna,STORAGE,Hydro,,3,2032,2082,50,1400,,700,11200,0.8,2.125,10000,0.5,4,,,1,1,0.8
PHP_Generic_CenterBlack,CenterBlack,STORAGE,Hydro,,3,2035,2085,50,1000,,500,8000,0.8,2.125,10000,0.5,4,,,1,1,0.8
PHP_Generic_CenterAna,CenterAna,STORAGE,Hydro,,3,2035,2085,50,1000,,500,8000,0.8,2.125,10000,0.5,4,,,1,1,0.8
PHP_Generic_WestMed,WestMed,STORAGE,Hydro,,3,2035,2085,50,1000,,500,8000,0.8,2.125,10000,0.5,4,,,1,1,0.8
WestMed_BESS_Com2025-1h,WestMed,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2025-1h,WestAna,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2025-1h,EastMed,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2025-1h,EastAna,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2025-1h,SouthEast,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2025-1h,NorthWest,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2025-1h,CenterAna,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2025-1h,CenterBlack,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2025-1h,Trakia,STORAGE,Battery,,2,2025,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2026-1h,WestMed,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2026-1h,WestAna,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2026-1h,EastMed,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2026-1h,EastAna,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2026-1h,SouthEast,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2026-1h,NorthWest,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2026-1h,CenterAna,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2026-1h,CenterBlack,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2026-1h,Trakia,STORAGE,Battery,,2,2026,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2027-1h,WestMed,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2027-1h,WestAna,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2027-1h,EastMed,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2027-1h,EastAna,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2027-1h,SouthEast,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2027-1h,NorthWest,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2027-1h,CenterAna,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2027-1h,CenterBlack,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2027-1h,Trakia,STORAGE,Battery,,2,2027,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2028-1h,WestMed,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2028-1h,WestAna,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2028-1h,EastMed,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2028-1h,EastAna,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2028-1h,SouthEast,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2028-1h,NorthWest,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2028-1h,CenterAna,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2028-1h,CenterBlack,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2028-1h,Trakia,STORAGE,Battery,,2,2028,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2029-1h,WestMed,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2029-1h,WestAna,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2029-1h,EastMed,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2029-1h,EastAna,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2029-1h,SouthEast,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2029-1h,NorthWest,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2029-1h,CenterAna,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2029-1h,CenterBlack,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2029-1h,Trakia,STORAGE,Battery,,2,2029,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2030-1h,WestMed,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2030-1h,WestAna,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2030-1h,EastMed,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2030-1h,EastAna,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2030-1h,SouthEast,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2030-1h,NorthWest,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2030-1h,CenterAna,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2030-1h,CenterBlack,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2030-1h,Trakia,STORAGE,Battery,,2,2030,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2031-1h,WestMed,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2031-1h,WestAna,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2031-1h,EastMed,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2031-1h,EastAna,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2031-1h,SouthEast,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2031-1h,NorthWest,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2031-1h,CenterAna,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2031-1h,CenterBlack,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2031-1h,Trakia,STORAGE,Battery,,2,2031,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2032-1h,WestMed,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2032-1h,WestAna,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2032-1h,EastMed,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2032-1h,EastAna,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2032-1h,SouthEast,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2032-1h,NorthWest,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2032-1h,CenterAna,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2032-1h,CenterBlack,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2032-1h,Trakia,STORAGE,Battery,,2,2032,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2033-1h,WestMed,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2033-1h,WestAna,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2033-1h,EastMed,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2033-1h,EastAna,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2033-1h,SouthEast,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2033-1h,NorthWest,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2033-1h,CenterAna,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2033-1h,CenterBlack,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2033-1h,Trakia,STORAGE,Battery,,2,2033,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2034-1h,WestMed,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2034-1h,WestAna,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2034-1h,EastMed,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2034-1h,EastAna,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2034-1h,SouthEast,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2034-1h,NorthWest,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2034-1h,CenterAna,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2034-1h,CenterBlack,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2034-1h,Trakia,STORAGE,Battery,,2,2034,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Com2035-1h,WestMed,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Com2035-1h,WestAna,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Com2035-1h,EastMed,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Com2035-1h,EastAna,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Com2035-1h,SouthEast,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Com2035-1h,NorthWest,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Com2035-1h,CenterAna,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Com2035-1h,CenterBlack,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
Trakia_BESS_Com2035-1h,Trakia,STORAGE,Battery,,2,2035,2060,20,,,,,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Cand2027-1h,WestMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
WestAna_BESS_Cand2027-1h,WestAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
EastMed_BESS_Cand2027-1h,EastMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
EastAna_BESS_Cand2027-1h,EastAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
SouthEast_BESS_Cand2027-1h,SouthEast,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
NorthWest_BESS_Cand2027-1h,NorthWest,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
CenterAna_BESS_Cand2027-1h,CenterAna,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
CenterBlack_BESS_Cand2027-1h,CenterBlack,STORAGE,Battery,,3,2027,2060,20,100000,,10000,100000,0.85,0.5,10000,,2,250,,1,1,1
WestMed_BESS_Cand2027-2h,WestMed,STORAGE,Battery,,3,2027,2060,20,100000,,10000,200000,0.85,0.8,15000,,2,250,,1,1,1
