zone,tech,fuel,Q1,Q2
WestMed,Storage,Battery,1,1
WestAna,Storage,Battery,1,1
EastMed,Storage,Battery,1,1
EastAna,Storage,Battery,1,1
SouthEast,Storage,Battery,1,1
NorthWest,Storage,Battery,1,1
CenterAna,Storage,Battery,1,1
CenterBlack,Storage,Battery,1,1
Trakia,Storage,Battery,1,1
Inter_Trakia,Storage,Battery,1,1
Inter_EastAna,Storage,Battery,1,1
Inter_SouthEast,Storage,Battery,1,1
WestMed,BiomassPlant,Biomass,0.85,0.85
WestAna,BiomassPlant,Biomass,0.85,0.85
EastMed,BiomassPlant,Biomass,0.85,0.85
EastAna,BiomassPlant,Biomass,0.85,0.85
SouthEast,BiomassPlant,Biomass,0.85,0.85
NorthWest,BiomassPlant,Biomass,0.85,0.85
CenterAna,BiomassPlant,Biomass,0.85,0.85
CenterBlack,BiomassPlant,Biomass,0.85,0.85
Trakia,BiomassPlant,Biomass,0.85,0.85
Inter_Trakia,BiomassPlant,Biomass,0.85,0.85
Inter_EastAna,BiomassPlant,Biomass,0.85,0.85
Inter_SouthEast,BiomassPlant,Biomass,0.85,0.85
WestMed,ST,Coal,0.65,0.65
WestAna,ST,Coal,0.65,0.65
EastMed,ST,Coal,0.65,0.65
EastAna,ST,Coal,0.65,0.65
SouthEast,ST,Coal,0.65,0.65
NorthWest,ST,Coal,0.65,0.65
CenterAna,ST,Coal,0.65,0.65
CenterBlack,ST,Coal,0.65,0.65
Trakia,ST,Coal,0.65,0.65
Inter_Trakia,ST,Coal,0.65,0.65
Inter_EastAna,ST,Coal,0.65,0.65
Inter_SouthEast,ST,Coal,0.65,0.65
WestMed,CSPPlant,CSP,1,1
WestAna,CSPPlant,CSP,1,1
EastMed,CSPPlant,CSP,1,1
EastAna,CSPPlant,CSP,1,1
SouthEast,CSPPlant,CSP,1,1
NorthWest,CSPPlant,CSP,1,1
CenterAna,CSPPlant,CSP,1,1
CenterBlack,CSPPlant,CSP,1,1
Trakia,CSPPlant,CSP,1,1
Inter_Trakia,CSPPlant,CSP,1,1
Inter_EastAna,CSPPlant,CSP,1,1
Inter_SouthEast,CSPPlant,CSP,1,1
