uni_0,uni_1,value
ImportedCoal,ImportedCoal,1.0
Gas,Gas,2.0
Hydro,Hydro,3.0
Hydro,PHP,19.0
Solar,PV,4.0
Solar,CSP,9.0
Wind,OnshoreWind,5.0
Wind,OffshoreWind,18.0
Import,Import,6.0
HFO,FuelOil,7.0
CustomFuel,Nuclear,8.0
Battery,Battery,10.0
Diesel,Diesel,11.0
GasCCS,GasCCS,12.0
CoalCCS,CoalCCS,13.0
Hydrogen,Hydrogen,14.0
DomesticCoal,DomesticCoal,15.0
Geothermal,Geothermal,16.0
Biomass,Biomass,17.0
