uni_0,uni_1,uni_2,value
Turkiye,Gas,2024,5000.0
Turkiye,Gas,2025,5000.0
Turkiye,Gas,2026,5000.0
Turkiye,Gas,2027,5000.0
Turkiye,Gas,2028,5000.0
Turkiye,Gas,2029,5000.0
Turkiye,Gas,2030,5000.0
Turkiye,Gas,2031,5000.0
Turkiye,Gas,2032,5000.0
Turkiye,Gas,2033,5000.0
Turkiye,Gas,2034,5000.0
Turkiye,Gas,2035,5000.0
Turkiye,Gas,2036,5000.0
Turkiye,Gas,2037,5000.0
Turkiye,Gas,2038,5000.0
Turkiye,Gas,2039,5000.0
Turkiye,Gas,2040,5000.0
Turkiye,Gas,2041,5000.0
Turkiye,Gas,2042,5000.0
Turkiye,Gas,2043,5000.0
Turkiye,Gas,2044,5000.0
Turkiye,Gas,2045,5000.0
Turkiye,Gas,2046,5000.0
Turkiye,Gas,2047,5000.0
Turkiye,Gas,2048,5000.0
Turkiye,Gas,2049,5000.0
Turkiye,Gas,2050,5000.0
Turkiye,Gas,2051,5000.0
Turkiye,Gas,2052,5000.0
Turkiye,Gas,2053,5000.0
Turkiye,PV,2024,10000.0
Turkiye,PV,2025,10000.0
Turkiye,PV,2026,10000.0
Turkiye,PV,2027,10000.0
Turkiye,PV,2028,10000.0
Turkiye,PV,2029,10000.0
Turkiye,PV,2030,10000.0
Turkiye,PV,2031,10000.0
Turkiye,PV,2032,10000.0
Turkiye,PV,2033,10000.0
Turkiye,PV,2034,10000.0
Turkiye,PV,2035,10000.0
Turkiye,PV,2036,10000.0
Turkiye,PV,2037,10000.0
Turkiye,PV,2038,10000.0
Turkiye,PV,2039,10000.0
Turkiye,PV,2040,10000.0
Turkiye,PV,2041,10000.0
Turkiye,PV,2042,10000.0
Turkiye,PV,2043,10000.0
Turkiye,PV,2044,10000.0
Turkiye,PV,2045,10000.0
Turkiye,PV,2046,10000.0
Turkiye,PV,2047,10000.0
Turkiye,PV,2048,10000.0
Turkiye,PV,2049,10000.0
Turkiye,PV,2050,10000.0
Turkiye,PV,2051,10000.0
Turkiye,PV,2052,10000.0
Turkiye,PV,2053,10000.0
Turkiye,OnshoreWind,2024,5000.0
Turkiye,OnshoreWind,2025,5000.0
Turkiye,OnshoreWind,2026,5000.0
Turkiye,OnshoreWind,2027,5000.0
Turkiye,OnshoreWind,2028,5000.0
Turkiye,OnshoreWind,2029,5000.0
Turkiye,OnshoreWind,2030,5000.0
Turkiye,OnshoreWind,2031,5000.0
Turkiye,OnshoreWind,2032,5000.0
Turkiye,OnshoreWind,2033,5000.0
Turkiye,OnshoreWind,2034,5000.0
Turkiye,OnshoreWind,2035,5000.0
Turkiye,OnshoreWind,2036,5000.0
Turkiye,OnshoreWind,2037,5000.0
Turkiye,OnshoreWind,2038,5000.0
Turkiye,OnshoreWind,2039,5000.0
Turkiye,OnshoreWind,2040,5000.0
Turkiye,OnshoreWind,2041,5000.0
Turkiye,OnshoreWind,2042,5000.0
Turkiye,OnshoreWind,2043,5000.0
Turkiye,OnshoreWind,2044,5000.0
Turkiye,OnshoreWind,2045,5000.0
Turkiye,OnshoreWind,2046,5000.0
Turkiye,OnshoreWind,2047,5000.0
Turkiye,OnshoreWind,2048,5000.0
Turkiye,OnshoreWind,2049,5000.0
Turkiye,OnshoreWind,2050,5000.0
Turkiye,OnshoreWind,2051,5000.0
Turkiye,OnshoreWind,2052,5000.0
Turkiye,OnshoreWind,2053,5000.0
Turkiye,OffshoreWind,2024,2500.0
Turkiye,OffshoreWind,2025,2500.0
Turkiye,OffshoreWind,2026,2500.0
Turkiye,OffshoreWind,2027,2500.0
Turkiye,OffshoreWind,2028,2500.0
Turkiye,OffshoreWind,2029,2500.0
Turkiye,OffshoreWind,2030,2500.0
Turkiye,OffshoreWind,2031,2500.0
Turkiye,OffshoreWind,2032,2500.0
Turkiye,OffshoreWind,2033,2500.0
Turkiye,OffshoreWind,2034,2500.0
Turkiye,OffshoreWind,2035,2500.0
Turkiye,OffshoreWind,2036,2500.0
Turkiye,OffshoreWind,2037,2500.0
Turkiye,OffshoreWind,2038,2500.0
Turkiye,OffshoreWind,2039,2500.0
Turkiye,OffshoreWind,2040,2500.0
Turkiye,OffshoreWind,2041,2500.0
Turkiye,OffshoreWind,2042,2500.0
Turkiye,OffshoreWind,2043,2500.0
Turkiye,OffshoreWind,2044,2500.0
Turkiye,OffshoreWind,2045,2500.0
Turkiye,OffshoreWind,2046,2500.0
Turkiye,OffshoreWind,2047,2500.0
Turkiye,OffshoreWind,2048,2500.0
Turkiye,OffshoreWind,2049,2500.0
Turkiye,OffshoreWind,2050,2500.0
Turkiye,OffshoreWind,2051,2500.0
Turkiye,OffshoreWind,2052,2500.0
Turkiye,OffshoreWind,2053,2500.0
