zone,tech,season,daytype,uni_4,value
WestMed,Hydro,Q1,d2,t17,0.4690688792590886
WestMed,Hydro,Q1,d2,t18,0.4709436549555678
WestMed,Hydro,Q1,d2,t19,0.4698187895376803
WestMed,Hydro,Q1,d2,t20,0.4615965589831217
WestMed,Hydro,Q1,d2,t21,0.4606859536448318
WestMed,Hydro,Q1,d2,t22,0.4564810995827285
WestMed,Hydro,Q1,d2,t23,0.4185838480038995
WestMed,Hydro,Q1,d2,t24,0.3417983919781026
WestMed,Hydro,Q1,d3,t01,0.2698873527631515
WestMed,Hydro,Q1,d3,t02,0.2690838774646605
WestMed,Hydro,Q1,d3,t03,0.263459550375223
WestMed,Hydro,Q1,d3,t04,0.2617722522483917
WestMed,Hydro,Q1,d3,t05,0.2644772857533116
WestMed,Hydro,Q1,d3,t06,0.2521573311764485
WestMed,Hydro,Q1,d3,t07,0.246077701417866
WestMed,Hydro,Q1,d3,t08,0.1641500034817263
WestMed,Hydro,Q1,d3,t09,0.1757200477799977
WestMed,Hydro,Q1,d3,t10,0.1803802045112459
WestMed,Hydro,Q1,d3,t11,0.1788000364242135
WestMed,Hydro,Q1,d3,t12,0.2593618263529185
WestMed,Hydro,Q1,d3,t13,0.2689499649149119
WestMed,Hydro,Q1,d3,t14,0.2737708167058584
WestMed,Hydro,Q1,d3,t15,0.2638612880244685
WestMed,Hydro,Q1,d3,t16,0.2680661420865718
WestMed,Hydro,Q1,d3,t17,0.2516484634874041
WestMed,Hydro,Q1,d3,t18,0.3157925748169415
WestMed,Hydro,Q1,d3,t19,0.3103825078071016
WestMed,Hydro,Q1,d3,t20,0.2366502579155708
WestMed,Hydro,Q1,d3,t21,0.2526394163555431
WestMed,Hydro,Q1,d3,t22,0.2575673981862884
WestMed,Hydro,Q1,d3,t23,0.2664056264696902
WestMed,Hydro,Q1,d3,t24,0.2729941239173171
WestMed,Hydro,Q1,d4,t01,0.4038266850216135
WestMed,Hydro,Q1,d4,t02,0.4054068531086459
WestMed,Hydro,Q1,d4,t03,0.4057014607180926
WestMed,Hydro,Q1,d4,t04,0.4165483772477221
WestMed,Hydro,Q1,d4,t05,0.4297789371628752
WestMed,Hydro,Q1,d4,t06,0.4370637798691942
WestMed,Hydro,Q1,d4,t07,0.436635259709999
WestMed,Hydro,Q1,d4,t08,0.438884990545774
WestMed,Hydro,Q1,d4,t09,0.4496515595455543
WestMed,Hydro,Q1,d4,t10,0.4525708531300719
WestMed,Hydro,Q1,d4,t11,0.4557579718140865
WestMed,Hydro,Q1,d4,t12,0.4562668395031309
WestMed,Hydro,Q1,d4,t13,0.4262436458495144
WestMed,Hydro,Q1,d4,t14,0.421154968959071
WestMed,Hydro,Q1,d4,t15,0.4396081183144159
WestMed,Hydro,Q1,d4,t16,0.4444825351252618
WestMed,Hydro,Q1,d4,t17,0.4512317276325868
WestMed,Hydro,Q1,d4,t18,0.4481517389883711
WestMed,Hydro,Q1,d4,t19,0.4432773221775252
WestMed,Hydro,Q1,d4,t20,0.4468126134908859
WestMed,Hydro,Q1,d4,t21,0.4658014130452249
WestMed,Hydro,Q1,d4,t22,0.4697920070277306
WestMed,Hydro,Q1,d4,t23,0.4817637889752476
WestMed,Hydro,Q1,d4,t24,0.4615162114532725
WestMed,Hydro,Q1,d5,t01,0.3059901761753504
WestMed,Hydro,Q1,d5,t02,0.3063651313146463
WestMed,Hydro,Q1,d5,t03,0.2239017831795124
WestMed,Hydro,Q1,d5,t04,0.1956998002024757
WestMed,Hydro,Q1,d5,t05,0.2070020194012501
WestMed,Hydro,Q1,d5,t06,0.2051540262147207
WestMed,Hydro,Q1,d5,t07,0.2034131630679901
WestMed,Hydro,Q1,d5,t08,0.2661913663900926
WestMed,Hydro,Q1,d5,t09,0.2922775310811027
WestMed,Hydro,Q1,d5,t10,0.2965627326730552
WestMed,Hydro,Q1,d5,t11,0.2958663874143629
WestMed,Hydro,Q1,d5,t12,0.2888225872975912
WestMed,Hydro,Q1,d5,t13,0.2871620716807096
WestMed,Hydro,Q1,d5,t14,0.2011098672123157
WestMed,Hydro,Q1,d5,t15,0.2735297741163111
WestMed,Hydro,Q1,d5,t16,0.2912865782129638
WestMed,Hydro,Q1,d5,t17,0.2267407292341809
WestMed,Hydro,Q1,d5,t18,0.2166169404731933
WestMed,Hydro,Q1,d5,t19,0.220607534455699
WestMed,Hydro,Q1,d5,t20,0.2085286224683832
WestMed,Hydro,Q1,d5,t21,0.2864121614021179
WestMed,Hydro,Q1,d5,t22,0.2853140784941801
WestMed,Hydro,Q1,d5,t23,0.2847248632752867
WestMed,Hydro,Q1,d5,t24,0.2857961636732748
WestMed,Hydro,Q1,d6,t01,0.3268001864062692
WestMed,Hydro,Q1,d6,t02,0.334379636722035
WestMed,Hydro,Q1,d6,t03,0.3140784941801606
WestMed,Hydro,Q1,d6,t04,0.2612366020493977
WestMed,Hydro,Q1,d6,t05,0.2534964566739336
WestMed,Hydro,Q1,d6,t06,0.2539249768331289
WestMed,Hydro,Q1,d6,t07,0.2535232391838833
WestMed,Hydro,Q1,d6,t08,0.2502289904600699
WestMed,Hydro,Q1,d6,t09,0.2686553573054652
WestMed,Hydro,Q1,d6,t10,0.3177209155333201
WestMed,Hydro,Q1,d6,t11,0.3630369223682167
WestMed,Hydro,Q1,d6,t12,0.3844361478180289
WestMed,Hydro,Q1,d6,t13,0.2734226440765123
WestMed,Hydro,Q1,d6,t14,0.2459170063581678
WestMed,Hydro,Q1,d6,t15,0.2409890245274226
WestMed,Hydro,Q1,d6,t16,0.2444975333308336
WestMed,Hydro,Q1,d6,t17,0.2708515231213408
WestMed,Hydro,Q1,d6,t18,0.3211222942969323
WestMed,Hydro,Q1,d6,t19,0.3247914981600415
WestMed,Hydro,Q1,d6,t20,0.3231577650531097
WestMed,Hydro,Q1,d6,t21,0.3265859263266716
WestMed,Hydro,Q1,d6,t22,0.2590672187434717
WestMed,Hydro,Q1,d6,t23,0.2495862102212771
WestMed,Hydro,Q1,d6,t24,0.2513538558779575
WestMed,Hydro,Q2,d1,t01,0.1124329767688508
WestMed,Hydro,Q2,d1,t02,0.107022909759011
WestMed,Hydro,Q2,d1,t03,0.1076389074878541
WestMed,Hydro,Q2,d1,t04,0.0715360840756552
WestMed,Hydro,Q2,d1,t05,0.1154058353732678
WestMed,Hydro,Q2,d1,t06,0.1140131448558833
WestMed,Hydro,Q2,d1,t07,0.1173609585995961
WestMed,Hydro,Q2,d1,t08,0.121780072741297
WestMed,Hydro,Q2,d1,t09,0.1308861261241958
WestMed,Hydro,Q2,d1,t10,0.1276990074401812
WestMed,Hydro,Q2,d1,t11,0.1241637161268205
WestMed,Hydro,Q2,d1,t12,0.1269758796715392
WestMed,Hydro,Q2,d1,t13,0.1141470574056318
WestMed,Hydro,Q2,d1,t14,0.1124597592788005
WestMed,Hydro,Q2,d1,t15,0.1216461601915485
WestMed,Hydro,Q2,d1,t16,0.122503200509939
WestMed,Hydro,Q2,d1,t17,0.1265741420222938
WestMed,Hydro,Q2,d1,t18,0.1208962499129568
WestMed,Hydro,Q2,d1,t19,0.1102635934629249
WestMed,Hydro,Q2,d1,t20,0.1096475957340818
WestMed,Hydro,Q2,d1,t21,0.1159147030623121
WestMed,Hydro,Q2,d1,t22,0.1166913958508535
WestMed,Hydro,Q2,d1,t23,0.1264402294725452
WestMed,Hydro,Q2,d1,t24,0.1297344781963586
WestMed,Hydro,Q2,d2,t01,0.151294398705869
WestMed,Hydro,Q2,d2,t02,0.1458307666761298
WestMed,Hydro,Q2,d2,t03,0.1460985917756268
WestMed,Hydro,Q2,d2,t04,0.1366443657633819
WestMed,Hydro,Q2,d2,t05,0.149767795638736
WestMed,Hydro,Q2,d2,t06,0.1579096786634456
WestMed,Hydro,Q2,d2,t07,0.1567312482256587
WestMed,Hydro,Q2,d2,t08,0.1583917638425402
WestMed,Hydro,Q2,d2,t09,0.1572668984246528
WestMed,Hydro,Q2,d2,t10,0.166962167026445
WestMed,Hydro,Q2,d2,t11,0.1509730085864727
WestMed,Hydro,Q2,d2,t12,0.1493124929695911
WestMed,Hydro,Q2,d2,t13,0.1424026054025678
WestMed,Hydro,Q2,d2,t14,0.1459378967159286
WestMed,Hydro,Q2,d2,t15,0.1326537717808762
WestMed,Hydro,Q2,d2,t16,0.1360283680345387
WestMed,Hydro,Q2,d2,t17,0.1429382556015619
WestMed,Hydro,Q2,d2,t18,0.1357605429350417
WestMed,Hydro,Q2,d2,t19,0.1334304645694176
WestMed,Hydro,Q2,d2,t20,0.1469556320940173
WestMed,Hydro,Q2,d2,t21,0.1650606088200162
WestMed,Hydro,Q2,d2,t22,0.1674978172254391
WestMed,Hydro,Q2,d2,t23,0.1726936241556814
WestMed,Hydro,Q2,d2,t24,0.1529013493028513
WestMed,Hydro,Q2,d3,t01,0.1047999614331856
WestMed,Hydro,Q2,d3,t02,0.1052820466122803
WestMed,Hydro,Q2,d3,t03,0.1039697036247449
WestMed,Hydro,Q2,d3,t04,0.1052016990824312
WestMed,Hydro,Q2,d3,t05,0.108094210156999
WestMed,Hydro,Q2,d3,t06,0.111790196530058
