uni_0,uni_1,uni_2,value
WestMed,PV,2024,1648.1837987269962
WestMed,PV,2025,1648.1837987269962
WestMed,PV,2026,1648.1837987269962
WestMed,PV,2027,1648.1837987269962
WestMed,PV,2028,1648.1837987269962
WestMed,PV,2029,1648.1837987269962
WestMed,PV,2030,1648.1837987269962
WestMed,PV,2031,1648.1837987269962
WestMed,PV,2032,1648.1837987269962
WestMed,PV,2033,1648.1837987269962
WestMed,PV,2034,1648.1837987269962
WestMed,PV,2035,1648.1837987269962
WestMed,PV,2036,1648.1837987269962
WestMed,PV,2037,1648.1837987269962
WestMed,PV,2038,1648.1837987269962
WestMed,PV,2039,1648.1837987269962
WestMed,PV,2040,1648.1837987269962
WestMed,PV,2041,1648.1837987269962
WestMed,PV,2042,1648.1837987269962
WestMed,PV,2043,1648.1837987269962
WestMed,PV,2044,1648.1837987269962
WestMed,PV,2045,1648.1837987269962
WestMed,PV,2046,1648.1837987269962
WestMed,PV,2047,1648.1837987269962
WestMed,PV,2048,1648.1837987269962
WestMed,PV,2049,1648.1837987269962
WestMed,PV,2050,1648.1837987269962
WestMed,PV,2051,1648.1837987269962
WestMed,PV,2052,1648.1837987269962
WestMed,PV,2053,1648.1837987269962
WestAna,PV,2024,1328.793654412303
WestAna,PV,2025,1328.793654412303
WestAna,PV,2026,1328.793654412303
WestAna,PV,2027,1328.793654412303
WestAna,PV,2028,1328.793654412303
WestAna,PV,2029,1328.793654412303
WestAna,PV,2030,1328.793654412303
WestAna,PV,2031,1328.793654412303
WestAna,PV,2032,1328.793654412303
WestAna,PV,2033,1328.793654412303
WestAna,PV,2034,1328.793654412303
WestAna,PV,2035,1328.793654412303
WestAna,PV,2036,1328.793654412303
WestAna,PV,2037,1328.793654412303
WestAna,PV,2038,1328.793654412303
WestAna,PV,2039,1328.793654412303
WestAna,PV,2040,1328.793654412303
WestAna,PV,2041,1328.793654412303
WestAna,PV,2042,1328.793654412303
WestAna,PV,2043,1328.793654412303
WestAna,PV,2044,1328.793654412303
WestAna,PV,2045,1328.793654412303
WestAna,PV,2046,1328.793654412303
WestAna,PV,2047,1328.793654412303
WestAna,PV,2048,1328.793654412303
WestAna,PV,2049,1328.793654412303
WestAna,PV,2050,1328.793654412303
WestAna,PV,2051,1328.793654412303
WestAna,PV,2052,1328.793654412303
WestAna,PV,2053,1328.793654412303
EastMed,PV,2024,879.469030843422
EastMed,PV,2025,879.469030843422
EastMed,PV,2026,879.469030843422
EastMed,PV,2027,879.469030843422
EastMed,PV,2028,879.469030843422
EastMed,PV,2029,879.469030843422
EastMed,PV,2030,879.469030843422
EastMed,PV,2031,879.469030843422
EastMed,PV,2032,879.469030843422
EastMed,PV,2033,879.469030843422
EastMed,PV,2034,879.469030843422
EastMed,PV,2035,879.469030843422
EastMed,PV,2036,879.469030843422
EastMed,PV,2037,879.469030843422
EastMed,PV,2038,879.469030843422
EastMed,PV,2039,879.469030843422
EastMed,PV,2040,879.469030843422
EastMed,PV,2041,879.469030843422
EastMed,PV,2042,879.469030843422
EastMed,PV,2043,879.469030843422
EastMed,PV,2044,879.469030843422
EastMed,PV,2045,879.469030843422
EastMed,PV,2046,879.469030843422
EastMed,PV,2047,879.469030843422
EastMed,PV,2048,879.469030843422
EastMed,PV,2049,879.469030843422
EastMed,PV,2050,879.469030843422
EastMed,PV,2051,879.469030843422
EastMed,PV,2052,879.469030843422
EastMed,PV,2053,879.469030843422
EastAna,PV,2024,484.21303202778
EastAna,PV,2025,484.21303202778
EastAna,PV,2026,484.21303202778
EastAna,PV,2027,484.21303202778
EastAna,PV,2028,484.21303202778
EastAna,PV,2029,484.21303202778
EastAna,PV,2030,484.21303202778
EastAna,PV,2031,484.21303202778
EastAna,PV,2032,484.21303202778
EastAna,PV,2033,484.21303202778
EastAna,PV,2034,484.21303202778
EastAna,PV,2035,484.21303202778
EastAna,PV,2036,484.21303202778
EastAna,PV,2037,484.21303202778
EastAna,PV,2038,484.21303202778
EastAna,PV,2039,484.21303202778
EastAna,PV,2040,484.21303202778
EastAna,PV,2041,484.21303202778
EastAna,PV,2042,484.21303202778
EastAna,PV,2043,484.21303202778
EastAna,PV,2044,484.21303202778
EastAna,PV,2045,484.21303202778
EastAna,PV,2046,484.21303202778
EastAna,PV,2047,484.21303202778
EastAna,PV,2048,484.21303202778
EastAna,PV,2049,484.21303202778
EastAna,PV,2050,484.21303202778
EastAna,PV,2051,484.21303202778
EastAna,PV,2052,484.21303202778
EastAna,PV,2053,484.21303202778
SouthEast,PV,2024,2216.7103473385005
SouthEast,PV,2025,2216.7103473385005
SouthEast,PV,2026,2216.7103473385005
SouthEast,PV,2027,2216.7103473385005
SouthEast,PV,2028,2216.7103473385005
SouthEast,PV,2029,2216.7103473385005
SouthEast,PV,2030,2216.7103473385005
SouthEast,PV,2031,2216.7103473385005
SouthEast,PV,2032,2216.7103473385005
SouthEast,PV,2033,2216.7103473385005
SouthEast,PV,2034,2216.7103473385005
SouthEast,PV,2035,2216.7103473385005
SouthEast,PV,2036,2216.7103473385005
SouthEast,PV,2037,2216.7103473385005
SouthEast,PV,2038,2216.7103473385005
SouthEast,PV,2039,2216.7103473385005
SouthEast,PV,2040,2216.7103473385005
SouthEast,PV,2041,2216.7103473385005
SouthEast,PV,2042,2216.7103473385005
SouthEast,PV,2043,2216.7103473385005
SouthEast,PV,2044,2216.7103473385005
SouthEast,PV,2045,2216.7103473385005
SouthEast,PV,2046,2216.7103473385005
SouthEast,PV,2047,2216.7103473385005
SouthEast,PV,2048,2216.7103473385005
SouthEast,PV,2049,2216.7103473385005
SouthEast,PV,2050,2216.7103473385005
SouthEast,PV,2051,2216.7103473385005
SouthEast,PV,2052,2216.7103473385005
SouthEast,PV,2053,2216.7103473385005
NorthWest,PV,2024,978.5033503541158
NorthWest,PV,2025,978.5033503541158
NorthWest,PV,2026,978.5033503541158
NorthWest,PV,2027,978.5033503541158
NorthWest,PV,2028,978.5033503541158
NorthWest,PV,2029,978.5033503541158
NorthWest,PV,2030,978.5033503541158
NorthWest,PV,2031,978.5033503541158
NorthWest,PV,2032,978.5033503541158
NorthWest,PV,2033,978.5033503541158
NorthWest,PV,2034,978.5033503541158
NorthWest,PV,2035,978.5033503541158
NorthWest,PV,2036,978.5033503541158
NorthWest,PV,2037,978.5033503541158
NorthWest,PV,2038,978.5033503541158
NorthWest,PV,2039,978.5033503541158
