uni,value
ImportedCoal,0.0967609200253218
Gas,0.0584511500316522
HFO,0.0812407680945347
Diesel,0.0762819160160371
GasCCS,0.00595
CoalCCS,0.0101
DomesticCoal,0.1105612998522895
