paramNames,LowStorageCost,DemandHigh,HigherFuelPrice,HPO_IPP
pFuelPrice,,,data/pFuelPrice_HigherHFOPrice.csv,
ftfindex,,,,
pAvailability,,,,
pProbaScenarios,,,,
pAvailabilityH2,,,,
pCapexTrajectory,,,,
pCapexTrajectoryH2,,,,
pCarbonPrice,,,,
pCSPData,,,,
pDemandData,,,,
pDemandForecast,,data/pDemandForecast_high.csv,,
pDemandProfile,,,,
peak,,,,
pEmissionsTotal,,,,
pEmissionsZone,,,,
pEnergyEfficiencyFactor,,,,
pExternalH2,,,,
pFuelData,,,,
pFuelPrice,,,,
pFuelTypeCarbonContent,,,,
pGenDataExcel,,,,data/pGenData_IPP.csv
pH2DataExcel,,,,
pHours,,,,
pLossFactor,,,,
pMaxFuellimit,,,,
pMaxPriceImportShare,,,,
pNewTransmission,,,,
pReserveMargin,,,,
pReserveReqLoc,,,,
pReserveReqSys,,,,
pScalars,,,,
pStorDataExcel,data/pStorData_LowStorageCost.csv,,,
pTechDataExcel,,,,
pTradePrice,,,,
pTransferLimit,,,,
pVREgenProfile,,,,
pVREProfile,,,,
pZoneIndex,,,,
relevant,,,,
reserve,,,,
sTopology,,,,
y,,,,
zcmapExcel,,,,
zext,,,,
