z,tech,fuel,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
South_Africa,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Angola,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Botswana,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
DRC,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
DRC_South,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Eswatini,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Lesotho,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Malawi,ST ,Coal,,0.33,0.33,0,0.05,60000,3,0,2,30
Mozambique,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Namibia,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Tanzania,ST ,Coal,,0.04,0.04,0,0.05,66000,3.5,0,2,50
Zambia,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Zimbabwe,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Mozambique_South,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Mozambique_Central,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Mozambique_North,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Angola_South,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Angola_North,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Angola_Central,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
Angola_East,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,2,30
South_Africa,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Angola,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Botswana,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
DRC,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
DRC_South,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Eswatini,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Lesotho,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Malawi,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Mozambique,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Namibia,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Tanzania,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Zambia,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Zimbabwe,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Mozambique_South,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Mozambique_Central,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Mozambique_North,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Angola_South,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Angola_North,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Angola_Central,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
Angola_East,ICE,Diesel,,0.15,0.15,0,0.2,46550,5.58,0,0.8,30
South_Africa,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,0.8,30
Angola,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,0.8,30
Botswana,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,0.8,30
DRC,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,0.8,30
DRC_South,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,0.8,30
