q,d,Angola,Mozambique,Namibia,South_Africa,Tanzania
Q1,d1,0.099916667,0.028333333,0.789416667,0.859166667,0.021125
Q1,d2,0.00675,0.24475,0.449291667,0.093041667,0.730708333
Q1,d3,0.042875,0.592833333,0.366416667,0.244208333,0.391416667
Q1,d4,0.053458333,0.948791667,0.365333333,0.913791667,0.352625
Q2,d1,0.016333333,0.25825,0.703708333,0.526125,0.669708333
Q2,d2,0.04625,0.036791667,0.402958333,0.037708333,0.348583333
Q2,d3,0.145541667,0.325125,0.027666667,0.206416667,0.425083333
Q2,d4,0.043291667,0.075583333,0.793208333,0.588583333,0.449791667
Q3,d1,0.163291667,0.290125,0.360208333,0.562958333,0.818208333
Q3,d2,0.200833333,0.035083333,0.391791667,0.2855,0.498625
Q3,d3,0.092291667,0.237041667,0.062208333,0.129125,0.678166667
Q3,d4,0.036416667,0.778833333,0.894083333,0.560291667,0.277125
Q4,d1,0.097458333,0.89725,0.485625,0.33475,0.20725
Q4,d2,0.039041667,0.22625,0.502458333,0.059541667,0.262125
Q4,d3,0.095041667,0.180458333,0.202083333,0.141125,0.747166667
Q4,d4,0.001833333,0.264416667,0.650625,0.552291667,0.102375
