zone,tech,fuel,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
Zimbabwe,ST,Coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ST,Coal_Hara,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ST,Coal_Zhon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ST,Coal_Hwan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ST,Coal_Munya,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,CCGT,Gas_Moz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,OCGT,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ICE,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,CCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,OCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,OCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,CCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ICE,Diesel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,Nuclear,Uranium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ST,Biomass,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ST,Geothermal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ROR,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,Storage,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,ReservoirHydro,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,PV,Solar,1,0.945,0.891,0.836,0.782,0.727,0.672,0.617,0.609,0.6,0.592,0.583,0.575,0.566,0.558,0.55,0.542,0.534,0.525,0.517,0.508,0.5,0.492,0.483,0.475,0.466,0.458,0.449,0.449,0.449,0.449,0.449,0.449
Zimbabwe,OnshoreWind,Wind,1,0.947,0.895,0.842,0.789,0.737,0.684,0.632,0.624,0.618,0.611,0.603,0.596,0.588,0.582,0.575,0.567,0.56,0.553,0.546,0.539,0.532,0.524,0.517,0.511,0.503,0.496,0.488,0.488,0.488,0.488,0.488,0.488
Zimbabwe,OffshoreWind,Wind,1,0.953,0.905,0.857,0.809,0.762,0.714,0.667,0.657,0.648,0.637,0.628,0.618,0.609,0.6,0.59,0.58,0.57,0.561,0.551,0.542,0.532,0.522,0.513,0.503,0.494,0.484,0.475,0.475,0.475,0.475,0.475,0.475
Zimbabwe,Storage,Battery,1,0.906,0.811,0.758,0.705,0.654,0.601,0.549,0.542,0.535,0.528,0.521,0.514,0.507,0.501,0.494,0.486,0.48,0.473,0.467,0.459,0.452,0.446,0.439,0.432,0.425,0.418,0.412,0.412,0.412,0.412,0.412,0.412
Zimbabwe,CSPPlant,CSP,1,0.944,0.887,0.831,0.775,0.719,0.663,0.653,0.643,0.633,0.622,0.612,0.602,0.592,0.582,0.571,0.562,0.551,0.542,0.531,0.522,0.511,0.501,0.491,0.48,0.471,0.46,0.379,0.379,0.379,0.379,0.379,0.379
