zone,tech,fuel,Q1,Q2,Q3,Q4,,,,,,,,,
South_Africa,ST,Coal,0.65,0.65,0.65,0.65,,,,,Angola,CCGT,Gas,AngolaCCGTGas,0.85
South_Africa,OCGT,Gas,0.85,0.85,0.85,0.85,,,,,Angola,CSPPlant,CSP,AngolaCSPPlantCSP,1
South_Africa,CCGT,Gas,0.85,0.85,0.85,0.85,,,,,Angola,ICE,Diesel,AngolaICEDiesel,0.85
South_Africa,ICE,Diesel,0.85,0.85,0.85,0.85,,,,,Angola,OCGT,Gas,AngolaOCGTGas,0.85
South_Africa,ICE,HFO,0.85,0.85,0.85,0.85,,,,,Angola,OffshoreWind,Wind,AngolaOffshoreWindWind,1
South_Africa,OCGT,HFO,0.85,0.85,0.85,0.85,,,,,Angola,OnshoreWind,Wind,AngolaOnshoreWindWind,1
South_Africa,ST,Uranium,0.9,0.9,0.9,0.9,,,,,Angola,PV,Solar,AngolaPVSolar,1
South_Africa,ST,Biomass,0.85,0.85,0.85,0.85,,,,,Angola,ReservoirHydro,Water,AngolaReservoirHydroWater,0.85
South_Africa,CCGT,LNG,0.85,0.85,0.85,0.85,,,,,Angola,ST,Biomass,AngolaSTBiomass,0.85
South_Africa,OCGT,LNG,0.85,0.85,0.85,0.85,,,,,Angola,Storage,Battery,AngolaStorageBattery,1
South_Africa,PV,Solar,1,1,1,1,,,,,Botswana,CSPPlant,CSP,BotswanaCSPPlantCSP,1
South_Africa,CSPPlant,CSP,1,1,1,1,,,,,Botswana,ICE,HFO,BotswanaICEHFO,0.85
South_Africa,OnshoreWind,Wind,1,1,1,1,,,,,Botswana,OCGT,HFO,BotswanaOCGTHFO,0.85
South_Africa,OffshoreWind,Wind,1,1,1,1,,,,,Botswana,OnshoreWind,Wind,BotswanaOnshoreWindWind,1
South_Africa,ST,Geothermal,0.85,0.85,0.85,0.85,,,,,Botswana,PV,Solar,BotswanaPVSolar,1
South_Africa,Storage,Battery,1,1,1,1,,,,,Botswana,ST,Coal,BotswanaSTCoal,0.65
South_Africa,Storage,Water,0.85,0.85,0.85,0.85,,,,,Botswana,Storage,Battery,BotswanaStorageBattery,1
South_Africa,ReservoirHydro,Water,0.85,0.85,0.85,0.85,,,,,DRC,ICE,HFO,DRCICEHFO,0.85
Angola,ST,Coal,0.65,0.65,0.65,0.65,,,,,DRC,OnshoreWind,Wind,DRCOnshoreWindWind,1
Angola,OCGT,Gas,0.85,0.85,0.85,0.85,,,,,DRC,PV,Solar,DRCPVSolar,1
Angola,CCGT,Gas,0.85,0.85,0.85,0.85,,,,,DRC,ReservoirHydro,Water,DRCReservoirHydroWater,0.85
Angola,ICE,Diesel,0.85,0.85,0.85,0.85,,,,,DRC,Storage,Battery,DRCStorageBattery,1
Angola,ICE,HFO,0.85,0.85,0.85,0.85,,,,,DRC_South,OnshoreWind,Wind,DRC_SouthOnshoreWindWind,1
Angola,OCGT,HFO,0.85,0.85,0.85,0.85,,,,,DRC_South,PV,Solar,DRC_SouthPVSolar,1
Angola,ST,Uranium,0.9,0.9,0.9,0.9,,,,,DRC_South,ReservoirHydro,Water,DRC_SouthReservoirHydroWater,0.85
Angola,ST,Biomass,0.85,0.85,0.85,0.85,,,,,DRC_South,Storage,Battery,DRC_SouthStorageBattery,1
Angola,CCGT,LNG,0.85,0.85,0.85,0.85,,,,,Eswatini,CCGT,LNG,EswatiniCCGTLNG,0.85
Angola,OCGT,LNG,0.85,0.85,0.85,0.85,,,,,Eswatini,CSPPlant,CSP,EswatiniCSPPlantCSP,1
Angola,PV,Solar,1,1,1,1,,,,,Eswatini,ICE,HFO,EswatiniICEHFO,0.85
Angola,CSPPlant,CSP,1,1,1,1,,,,,Eswatini,OCGT,LNG,EswatiniOCGTLNG,0.85
Angola,OnshoreWind,Wind,1,1,1,1,,,,,Eswatini,OnshoreWind,Wind,EswatiniOnshoreWindWind,1
Angola,OffshoreWind,Wind,1,1,1,1,,,,,Eswatini,PV,Solar,EswatiniPVSolar,1
Angola,ST,Geothermal,0.85,0.85,0.85,0.85,,,,,Eswatini,ReservoirHydro,Water,EswatiniReservoirHydroWater,0.85
Angola,Storage,Battery,1,1,1,1,,,,,Eswatini,ST,Biomass,EswatiniSTBiomass,0.85
Angola,Storage,Water,0.85,0.85,0.85,0.85,,,,,Eswatini,ST,Coal,EswatiniSTCoal,0.65
Angola,ReservoirHydro,Water,0.85,0.85,0.85,0.85,,,,,Eswatini,Storage,Battery,EswatiniStorageBattery,1
Botswana,ST,Coal,0.65,0.65,0.65,0.65,,,,,Lesotho,CCGT,LNG,LesothoCCGTLNG,0.85
Botswana,OCGT,Gas,0.85,0.85,0.85,0.85,,,,,Lesotho,CSPPlant,CSP,LesothoCSPPlantCSP,1
Botswana,CCGT,Gas,0.85,0.85,0.85,0.85,,,,,Lesotho,ICE,HFO,LesothoICEHFO,0.85
Botswana,ICE,Diesel,0.85,0.85,0.85,0.85,,,,,Lesotho,OCGT,LNG,LesothoOCGTLNG,0.85
Botswana,ICE,HFO,0.85,0.85,0.85,0.85,,,,,Lesotho,OnshoreWind,Wind,LesothoOnshoreWindWind,1
Botswana,OCGT,HFO,0.85,0.85,0.85,0.85,,,,,Lesotho,PV,Solar,LesothoPVSolar,1
Botswana,ST,Uranium,0.9,0.9,0.9,0.9,,,,,Lesotho,ReservoirHydro,Water,LesothoReservoirHydroWater,0.85
Botswana,ST,Biomass,0.85,0.85,0.85,0.85,,,,,Lesotho,ST,Coal,LesothoSTCoal,0.65
Botswana,CCGT,LNG,0.85,0.85,0.85,0.85,,,,,Lesotho,Storage,Battery,LesothoStorageBattery,1
Botswana,OCGT,LNG,0.85,0.85,0.85,0.85,,,,,Lesotho,Storage,Water,LesothoStorageWater,0.85
Botswana,PV,Solar,1,1,1,1,,,,,Malawi,ICE,Diesel,MalawiICEDiesel,0.85
Botswana,CSPPlant,CSP,1,1,1,1,,,,,Malawi,OCGT,Gas,MalawiOCGTGas,0.85
Botswana,OnshoreWind,Wind,1,1,1,1,,,,,Malawi,OnshoreWind,Wind,MalawiOnshoreWindWind,1
Botswana,OffshoreWind,Wind,1,1,1,1,,,,,Malawi,PV,Solar,MalawiPVSolar,1
Botswana,ST,Geothermal,0.85,0.85,0.85,0.85,,,,,Malawi,ReservoirHydro,Water,MalawiReservoirHydroWater,0.85
Botswana,Storage,Battery,1,1,1,1,,,,,Malawi,ST,Biomass,MalawiSTBiomass,0.85
Botswana,Storage,Water,0.85,0.85,0.85,0.85,,,,,Malawi,ST,Coal,MalawiSTCoal,0.65
Botswana,ReservoirHydro,Water,0.85,0.85,0.85,0.85,,,,,Malawi,ST,Geothermal,MalawiSTGeothermal,0.85
DRC,ST,Coal,0.65,0.65,0.65,0.65,,,,,Malawi,Storage,Battery,MalawiStorageBattery,1
DRC,OCGT,Gas,0.85,0.85,0.85,0.85,,,,,Mozambique,CCGT,Gas,MozambiqueCCGTGas,0.85
DRC,CCGT,Gas,0.85,0.85,0.85,0.85,,,,,Mozambique,CCGT,LNG,MozambiqueCCGTLNG,0.85
DRC,ICE,Diesel,0.85,0.85,0.85,0.85,,,,,Mozambique,ICE,HFO,MozambiqueICEHFO,0.85
DRC,ICE,HFO,0.85,0.85,0.85,0.85,,,,,Mozambique,OCGT,Gas,MozambiqueOCGTGas,0.85
DRC,OCGT,HFO,0.85,0.85,0.85,0.85,,,,,Mozambique,OCGT,HFO,MozambiqueOCGTHFO,0.85
DRC,ST,Uranium,0.9,0.9,0.9,0.9,,,,,Mozambique,OffshoreWind,Wind,MozambiqueOffshoreWindWind,1
DRC,ST,Biomass,0.85,0.85,0.85,0.85,,,,,Mozambique,OnshoreWind,Wind,MozambiqueOnshoreWindWind,1
DRC,CCGT,LNG,0.85,0.85,0.85,0.85,,,,,Mozambique,PV,Solar,MozambiquePVSolar,1
DRC,OCGT,LNG,0.85,0.85,0.85,0.85,,,,,Mozambique,ReservoirHydro,Water,MozambiqueReservoirHydroWater,0.85
DRC,PV,Solar,1,1,1,1,,,,,Mozambique,ST,Biomass,MozambiqueSTBiomass,0.85
DRC,CSPPlant,CSP,1,1,1,1,,,,,Mozambique,Storage,Battery,MozambiqueStorageBattery,1
DRC,OnshoreWind,Wind,1,1,1,1,,,,,Namibia,CCGT,LNG,NamibiaCCGTLNG,0.85
DRC,OffshoreWind,Wind,1,1,1,1,,,,,Namibia,ICE,HFO,NamibiaICEHFO,0.85
DRC,ST,Geothermal,0.85,0.85,0.85,0.85,,,,,Namibia,OCGT,LNG,NamibiaOCGTLNG,0.85
DRC,Storage,Battery,1,1,1,1,,,,,Namibia,OffshoreWind,Wind,NamibiaOffshoreWindWind,1
DRC,Storage,Water,0.85,0.85,0.85,0.85,,,,,Namibia,OnshoreWind,Wind,NamibiaOnshoreWindWind,1
DRC,ReservoirHydro,Water,0.85,0.85,0.85,0.85,,,,,Namibia,PV,Solar,NamibiaPVSolar,1
DRC,ROR,Water,1,1,1,1,,,,,Namibia,ReservoirHydro,Water,NamibiaReservoirHydroWater,0.85
DRC_South,ST,Coal,0.65,0.65,0.65,0.65,,,,,Namibia,ST,Biomass,NamibiaSTBiomass,0.85
DRC_South,OCGT,Gas,0.85,0.85,0.85,0.85,,,,,Namibia,ST,Coal,NamibiaSTCoal,0.65
DRC_South,CCGT,Gas,0.85,0.85,0.85,0.85,,,,,Namibia,Storage,Battery,NamibiaStorageBattery,1
DRC_South,ICE,Diesel,0.85,0.85,0.85,0.85,,,,,South_Africa,CCGT,Gas,South_AfricaCCGTGas,0.85
DRC_South,ICE,HFO,0.85,0.85,0.85,0.85,,,,,South_Africa,CCGT,LNG,South_AfricaCCGTLNG,0.85
DRC_South,OCGT,HFO,0.85,0.85,0.85,0.85,,,,,South_Africa,CSPPlant,CSP,South_AfricaCSPPlantCSP,1
DRC_South,ST,Uranium,0.9,0.9,0.9,0.9,,,,,South_Africa,ICE,HFO,South_AfricaICEHFO,0.85
DRC_South,ST,Biomass,0.85,0.85,0.85,0.85,,,,,South_Africa,OCGT,Gas,South_AfricaOCGTGas,0.85
DRC_South,CCGT,LNG,0.85,0.85,0.85,0.85,,,,,South_Africa,OCGT,HFO,South_AfricaOCGTHFO,0.85
DRC_South,OCGT,LNG,0.85,0.85,0.85,0.85,,,,,South_Africa,OffshoreWind,Wind,South_AfricaOffshoreWindWind,1
DRC_South,PV,Solar,1,1,1,1,,,,,South_Africa,OnshoreWind,Wind,South_AfricaOnshoreWindWind,1
DRC_South,CSPPlant,CSP,1,1,1,1,,,,,South_Africa,PV,Solar,South_AfricaPVSolar,1
DRC_South,OnshoreWind,Wind,1,1,1,1,,,,,South_Africa,ReservoirHydro,Water,South_AfricaReservoirHydroWater,0.85
DRC_South,OffshoreWind,Wind,1,1,1,1,,,,,South_Africa,ST,Biomass,South_AfricaSTBiomass,0.85
DRC_South,ST,Geothermal,0.85,0.85,0.85,0.85,,,,,South_Africa,ST,Coal,South_AfricaSTCoal,0.65
DRC_South,Storage,Battery,1,1,1,1,,,,,South_Africa,ST,Uranium,South_AfricaSTUranium,0.9
DRC_South,Storage,Water,1,1,1,1,,,,,South_Africa,Storage,Battery,South_AfricaStorageBattery,1
DRC_South,ReservoirHydro,Water,0.85,0.85,0.85,0.85,,,,,South_Africa,Storage,Water,South_AfricaStorageWater,0.85
DRC_South,ROR,Water,0.85,0.85,0.85,0.85,,,,,Tanzania,CCGT,Gas,TanzaniaCCGTGas,0.85
Eswatini,ST,Coal,0.65,0.65,0.65,0.65,,,,,Tanzania,ICE,Diesel,TanzaniaICEDiesel,0.85
Eswatini,OCGT,Gas,0.85,0.85,0.85,0.85,,,,,Tanzania,ICE,Gas,TanzaniaICEGas,0.85
