g,z,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90,1,,13.3,0.33,0.33,,,,,,0,,,0,,0,0.1,0,90
AH_Cambambe_C1_HY_AGO_NO,Angola,ReservoirHydro,Water,1962,2060,3550,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
CT_Biocom_TH_AGO_NO,Angola,ST,Biomass,2009,2051,20,1,,10.8998955,0.9,0.9,,0.8,,,,0,,,0,,0,0,0,20
CT_COMBI_Diesel_TH_AGO_NO,Angola,ICE,HFO,1979,2050,334,1,,13.62,1,1,0,0.4,,,0,0,30,0,0,,0,0,0,0
CT_Soyo_TH_AGO_NO,Angola,CCGT,Gas,2017,2073,750,1,0.2,9,0.1,0.1,,0.2,,,0,,,0,0,12,9.7,0.05,0,0
AH_Gove_HY_AGO_CE,Angola,ReservoirHydro,Water,2012,2092,92,1,,,,,,0.225,,,0,0,50,0,0,,0,0,0,0
Anixas_TH_NAM,Namibia,ICE,Diesel,2011,2051,22,1,,6.87,,,,,,,,0,,,0,,0,0,0,0
AnixasII_TH_NAM,Namibia,ICE,Diesel,2024,2064,50,1,,10.42,,,,,,,,,,50,0,,0,0.06,0,0
Acacia_TH_ZAF,South_Africa,OCGT,Diesel,1976,2026,171,1,,11.26101378,0.3,0.3,,,,,,0,,,0,,0,0,0,0
Ankerlig(Atlantis)_TH_ZAF,South_Africa,OCGT,Diesel,2007,2057,1327,1,,9.39286647,0.3,0.3,,,,,,0,,,0,,0,0,0,0
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2033,2352,1,0.3,13.3,0.33,0.33,,,,,,0,,,0,,0,0.05,0,372
CahoraBassa1_HY_MOZ,Mozambique,ReservoirHydro,Water,1979,2060,2075,1,,,,,,0.4,,,0,0,50,,0,,0,0,0,0
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,70,3,,10,0.9,0.9,,,,,,1.5,,60,0,,0,0,0,0
Baynes(Angola)_HY_AGO_SO,Angola,ReservoirHydro,Water,2034,2112,430,3,,,,,,0.278070484,,,,3.115813953,50,430,0,,0,0,0,0
Baynes(Namibia)_HY_NAM,Namibia,ReservoirHydro,Water,2034,2112,430,3,,,,,,0.278070484,,,,3.115813953,50,430,0,,0,0,0,0
Busanga_HY_DRCSouth,DRC_South,ReservoirHydro,Water,2022,2060,240,1,,,,,,0.193435172,,,0,0,50,0,0,,0,0,0,0
COMBI_Diesel_OFF_AGO_CE,Angola,ICE,Diesel,2017,2049,96,1,,10.42,1,1,0,0.4,,,0,0,30,0,0,,0,0,0,0
Bailundo_PV_AGO_CE,Angola,PV,Solar,2025,2050,228,1,,,,,,,,,,0.8,,,,,,,1,
CaculoCabaca_HY_AGO_NO,Angola,ReservoirHydro,Water,2027,2107,2172,2,,,,,,0.278070484,,,,3.115813953,50,2172,0,,0,0,0,0
BatokaGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2035,2115,1200,3,,,,,,0.278070484,,,,3.12,50,1200,0,,0,0,0,0
Existing_PV_ZIM,Zimbabwe,PV,Solar,2022,2060,171,1,,,,,,,,,,0,,,0,,0,0,1,0
ChishimbaFalls_HY_ZMB,Zambia,ROR,Water,2004,2060,21,1,,,,,,0.107375,,,0,0,50,,0,,0,0,0,0
ChishimbaFallsExt_HY_ZMB,Zambia,ROR,Water,2026,2106,9,2,,,,,,0.107375,,,0,2.8,,9,,,,,,
CTMJICA1_TH_MOZ,Mozambique,OCGT,Gas,2018,2068,125.5,1,,10.425987,0.3,0.3,,,,,,0,,0,0,7,11.125987,0.5,0,
Biomass_Candidate_TZA,Tanzania,ST,Biomass,2025,2060,32,3,,10,0.9,0.9,,,,,0,1.5,,32,,,,,,
Existing_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,95,1,,,,,,0.406440138,,,0,0,50,,0,,0,0,0,0
Luapula_HY_ZMB,Zambia,ROR,Water,2033,2110,400,3,,,,,,0.278070484,,,,3.12,50,300,0,,0,0,0,0
Luapula_PV_ZMB,Zambia,PV,Solar,2026,2056,50,2,,,,,,,,,,0.8,,50,,,,,1,
AH_Matala_HY_AGO_SO,Angola_South,ROR,Water,1959,2060,41,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
