g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
DrakensbergPH_HY_ZAF,South_Africa,Storage,Water,,1,1985,2045,,1000,,,7000,,0.98,3.3,50000,0.5,,0,,,,,1,1,,0.5,,,,,,,
Golomoti_BESS,Malawi,Storage,Battery,,1,2022,2042,,5,,,10,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
SA_PumpedStorage_ZAF,South_Africa,Storage,Water,,3,2037,2117,,1332,,1332,9324,,0.98,3.3,50000,0.5,,0,,,,,,,,,,,,,,,
Ingula_HY_ZAF,South_Africa,Storage,Water,,1,2017,2077,,1332,,,9324,,0.98,3.3,50000,0.5,,0,,,,,1,1,,0.5,,,,,,,
SA_BESS_2026_Eskom,South_Africa,Storage,Battery,,2,2026,2056,,144,,144,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
SA_BESS_2027_Eskom,South_Africa,Storage,Battery,,2,2027,2057,,150,,150,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_2029_ZAF,South_Africa,Storage,Battery,,2,2029,2049,,2615,,2615,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_2028_ZAF,South_Africa,Storage,Battery,,2,2028,2048,,615,,615,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
SA_New_BESS2031__ZAF,South_Africa,Storage,Battery,,3,2031,2035,,1000,,200,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
SA_New_BESS2035__ZAF,South_Africa,Storage,Battery,,3,2036,2066,,3500,,5000,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
Komati_BESS,South_Africa,Storage,Battery,,2,2025,2045,,160,,160,480,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
Li-ion_storage_A_MWI,Malawi,Storage,Battery,,2,2025,2045,,30,,30,80,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
Li-ion_storage_C_MWI,Malawi,Storage,Battery,,3,2030,2050,,100,,100,200,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
Lithops_BESS_NAM,Namibia,Storage,Battery,,2,2026,2046,,45,,45,90,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
