g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
Azerbaijan_Balakhani_BiomassPlant,Azerbaijan,BiomassPlant,Biomass,1,2012,2042,37.0,,,,,,,,,,,
Azerbaijan_Baku_CCGT,Azerbaijan,CCGT,Gas,1,2001,2031,53.5,,,,,,,,,,,
Azerbaijan_Baku_CCGT_1,Azerbaijan,CCGT,Gas,1,2001,2031,53.5,,,,,,,,,,,
Azerbaijan_Shimal_CCGT,Azerbaijan,CCGT,Gas,1,2019,2049,400.0,,,,,,,,,,,
Azerbaijan_Shimal_CCGT_1,Azerbaijan,CCGT,Gas,1,2002,2032,400.0,,,,,,,,,,,
Azerbaijan_Sumgayit_CCGT,Azerbaijan,CCGT,Gas,1,2009,2039,525.0,,,,,,,,,,,
Azerbaijan_Janub_CCGT,Azerbaijan,CCGT,Gas,1,2013,2043,390.0,,,,,,,,,,,
Azerbaijan_Janub_CCGT_1,Azerbaijan,CCGT,Gas,1,2013,2043,390.0,,,,,,,,,,,
Azerbaijan_Shaki_CCGT,Azerbaijan,CCGT,Gas,1,2007,2037,87.0,,,,,,,,,,,
Azerbaijan_Shahdagh_CCGT,Azerbaijan,CCGT,Gas,1,2009,2039,104.4,,,,,,,,,,,
Azerbaijan_Sangachal_CCGT,Azerbaijan,CCGT,Gas,1,2008,2038,307.8,,,,,,,,,,,
Azerbaijan_Nakhchivan_CCGT,Azerbaijan,CCGT,Gas,1,2007,2037,87.0,,,,,,,,,,,
Azerbaijan_Mingecevir_CCGT,Azerbaijan,CCGT,Gas,2,2025,2055,320.0,,,,,,,1.0,,,,
Azerbaijan_Mingecevir_CCGT_1,Azerbaijan,CCGT,Gas,2,2025,2055,320.0,,,,,,,1.0,,,,
Azerbaijan_Mingecevir_CCGT_2,Azerbaijan,CCGT,Gas,2,2025,2055,320.0,,,,,,,1.0,,,,
Azerbaijan_Mingecevir_CCGT_3,Azerbaijan,CCGT,Gas,2,2025,2055,320.0,,,,,,,1.0,,,,
Azerbaijan_Khachmaz_CCGT,Azerbaijan,CCGT,Gas,1,2006,2036,87.0,,,,,,,,,,,
Azerbaijan_Gobu_CCGT,Azerbaijan,CCGT,Gas,1,2022,2052,384.3,,,,,,,,,,,
Azerbaijan_Baku_CCGT_2,Azerbaijan,CCGT,Gas,1,2007,2037,104.4,,,,,,,,,,,
Azerbaijan_Astara_CCGT,Azerbaijan,CCGT,Gas,1,2006,2036,87.0,,,,,,,,,,,
Azerbaijan_Mingechevir_ReservoirHydro,Azerbaijan,ReservoirHydro,Water,1,1954,,424.0,,,,,,,,,,,
Azerbaijan_Shamkir_ReservoirHydro,Azerbaijan,ReservoirHydro,Water,1,1983,,380.0,,,,,,,,,,,
Azerbaijan_Yenikend_ReservoirHydro,Azerbaijan,ReservoirHydro,Water,1,2000,,150.0,,,,,,,,,,,
Azerbaijan_Khudafarin_Khoda_Afa_ReservoirHydro,Azerbaijan,ReservoirHydro,Water,1,2024,,102.0,,,,,,,,,,,
Azerbaijan_Gyz_Galasy_ReservoirHydro,Azerbaijan,ReservoirHydro,Water,1,2024,,80.0,,,,,,,,,,,
Azerbaijan_Garadagh_Solar_PV_Pl_PV,Azerbaijan,PV,Solar,1,2023,2048,230.0,,,,,,,,,,,
Azerbaijan_Nakhchivan_Solar_PV,Azerbaijan,PV,Solar,1,2015,2040,20.0,,,,,,,,,,,
Azerbaijan_Shafag_Solar_Plant_PV,Azerbaijan,PV,Solar,3,2026,2051,240.0,48.0,,,,,,0.8,,,,
Azerbaijan_Yeni_Yashma_OnshoreWind,Azerbaijan,OnshoreWind,Wind,1,2018,2043,50.0,,,,,,,,,,,
Azerbaijan_Yashma_CCGT,Azerbaijan,CCGT,Gas,3,2030,2060,500.0,100.0,,,,,,1.0,,,,
Azerbaijan_Bilasuvar_PV,Azerbaijan,PV,Solar,3,2030,2055,445.0,89.0,,,,,,0.8,,,,
Azerbaijan_Neftchala_PV,Azerbaijan,PV,Solar,3,2030,2055,315.0,63.0,,,,,,0.8,,,,
Azerbaijan_Absheron-Garadagh_OnshoreWind,Azerbaijan,OnshoreWind,Wind,3,2030,2055,240.0,48.0,,,,,,1.3,,,,
Azerbaijan_Gobustan_PV,Azerbaijan,PV,Solar,3,2030,2055,100.0,20.0,,,,,,0.8,,,,
Azerbaijan_Jabrayil_PV,Azerbaijan,PV,Solar,3,2030,2055,100.0,20.0,,,,,,0.8,,,,
Azerbaijan_Khizi-Absheron_OnshoreWind,Azerbaijan,OnshoreWind,Wind,3,2025,2050,162.5,32.5,,,,,,1.3,,,,
Azerbaijan_Khizi-Absheron_OnshoreWind_1,Azerbaijan,OnshoreWind,Wind,3,2025,2050,78.0,15.6,,,,,,1.3,,,,
Azerbaijan_Sarsang_ReservoirHydro,Azerbaijan,ReservoirHydro,Water,1,1976,,50.0,,,,,,,,,,,
Azerbaijan_AGG_SmallPV,Azerbaijan,PV,Solar,1,,,40.5,,,,,,,,,,,
