Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
BangladeshE,Q1,d1,0.81,0.78,0.75,0.73,0.71,0.7,0.69,0.71,0.73,0.76,0.78,0.81,0.82,0.82,0.83,0.82,0.8,0.81,0.91,0.92,0.93,0.9,0.87,0.86
BangladeshE,Q1,d2,0.42,0.39,0.38,0.37,0.37,0.4,0.41,0.44,0.44,0.43,0.43,0.44,0.46,0.43,0.4,0.39,0.41,0.46,0.57,0.56,0.57,0.53,0.49,0.45
BangladeshE,Q1,d3,0.55,0.52,0.5,0.49,0.48,0.5,0.52,0.55,0.58,0.59,0.59,0.61,0.63,0.61,0.6,0.59,0.58,0.63,0.72,0.71,0.7,0.66,0.62,0.58
BangladeshE,Q2,d1,0.96,0.93,0.93,0.91,0.88,0.8,0.78,0.78,0.8,0.83,0.84,0.87,0.89,0.92,0.93,0.91,0.89,0.87,0.98,1,1,1,1,0.98
BangladeshE,Q2,d2,0.48,0.49,0.48,0.44,0.39,0.36,0.35,0.4,0.47,0.49,0.49,0.51,0.55,0.55,0.53,0.5,0.49,0.45,0.38,0.31,0.31,0.3,0.4,0.46
BangladeshE,Q2,d3,0.8,0.77,0.76,0.73,0.7,0.65,0.64,0.64,0.66,0.69,0.71,0.73,0.75,0.76,0.77,0.75,0.73,0.71,0.83,0.86,0.87,0.86,0.84,0.83
BangladeshE,Q3,d1,0.93,0.9,0.87,0.87,0.85,0.79,0.75,0.74,0.78,0.82,0.83,0.85,0.86,0.86,0.89,0.87,0.85,0.89,0.97,0.98,0.98,0.97,0.97,0.97
BangladeshE,Q3,d2,0.63,0.61,0.59,0.57,0.55,0.52,0.5,0.5,0.48,0.48,0.48,0.49,0.5,0.51,0.49,0.49,0.48,0.49,0.61,0.66,0.67,0.62,0.66,0.66
BangladeshE,Q3,d3,0.83,0.8,0.78,0.76,0.75,0.69,0.67,0.66,0.68,0.7,0.72,0.74,0.76,0.75,0.77,0.75,0.72,0.71,0.85,0.88,0.89,0.88,0.88,0.86
BangladeshE,Q4,d1,0.92,0.9,0.87,0.85,0.83,0.79,0.76,0.76,0.8,0.83,0.86,0.87,0.88,0.87,0.9,0.89,0.85,0.93,0.97,0.97,0.98,0.97,0.96,0.96
BangladeshE,Q4,d2,0.43,0.41,0.39,0.38,0.37,0.39,0.4,0.43,0.44,0.43,0.44,0.47,0.49,0.43,0.42,0.41,0.43,0.55,0.56,0.57,0.56,0.53,0.49,0.46
BangladeshE,Q4,d3,0.6,0.57,0.55,0.54,0.53,0.52,0.53,0.55,0.57,0.58,0.6,0.63,0.65,0.62,0.62,0.61,0.61,0.72,0.74,0.73,0.71,0.69,0.66,0.63
BangladeshW,Q1,d1,0.81,0.78,0.75,0.73,0.71,0.7,0.69,0.71,0.73,0.76,0.78,0.81,0.82,0.82,0.83,0.82,0.8,0.81,0.91,0.92,0.93,0.9,0.87,0.86
BangladeshW,Q1,d2,0.42,0.39,0.38,0.37,0.37,0.4,0.41,0.44,0.44,0.43,0.43,0.44,0.46,0.43,0.4,0.39,0.41,0.46,0.57,0.56,0.57,0.53,0.49,0.45
BangladeshW,Q1,d3,0.55,0.52,0.5,0.49,0.48,0.5,0.52,0.55,0.58,0.59,0.59,0.61,0.63,0.61,0.6,0.59,0.58,0.63,0.72,0.71,0.7,0.66,0.62,0.58
BangladeshW,Q2,d1,0.96,0.93,0.93,0.91,0.88,0.8,0.78,0.78,0.8,0.83,0.84,0.87,0.89,0.92,0.93,0.91,0.89,0.87,0.98,1,1,1,1,0.98
BangladeshW,Q2,d2,0.48,0.49,0.48,0.44,0.39,0.36,0.35,0.4,0.47,0.49,0.49,0.51,0.55,0.55,0.53,0.5,0.49,0.45,0.38,0.31,0.31,0.3,0.4,0.46
BangladeshW,Q2,d3,0.8,0.77,0.76,0.73,0.7,0.65,0.64,0.64,0.66,0.69,0.71,0.73,0.75,0.76,0.77,0.75,0.73,0.71,0.83,0.86,0.87,0.86,0.84,0.83
BangladeshW,Q3,d1,0.93,0.9,0.87,0.87,0.85,0.79,0.75,0.74,0.78,0.82,0.83,0.85,0.86,0.86,0.89,0.87,0.85,0.89,0.97,0.98,0.98,0.97,0.97,0.97
BangladeshW,Q3,d2,0.63,0.61,0.59,0.57,0.55,0.52,0.5,0.5,0.48,0.48,0.48,0.49,0.5,0.51,0.49,0.49,0.48,0.49,0.61,0.66,0.67,0.62,0.66,0.66
BangladeshW,Q3,d3,0.83,0.8,0.78,0.76,0.75,0.69,0.67,0.66,0.68,0.7,0.72,0.74,0.76,0.75,0.77,0.75,0.72,0.71,0.85,0.88,0.89,0.88,0.88,0.86
BangladeshW,Q4,d1,0.92,0.9,0.87,0.85,0.83,0.79,0.76,0.76,0.8,0.83,0.86,0.87,0.88,0.87,0.9,0.89,0.85,0.93,0.97,0.97,0.98,0.97,0.96,0.96
BangladeshW,Q4,d2,0.43,0.41,0.39,0.38,0.37,0.39,0.4,0.43,0.44,0.43,0.44,0.47,0.49,0.43,0.42,0.41,0.43,0.55,0.56,0.57,0.56,0.53,0.49,0.46
BangladeshW,Q4,d3,0.6,0.57,0.55,0.54,0.53,0.52,0.53,0.55,0.57,0.58,0.6,0.63,0.65,0.62,0.62,0.61,0.61,0.72,0.74,0.73,0.71,0.69,0.66,0.63
