z;pe;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
BangladeshE;Energy;62 744;68 206;73 874;80 868;88 139;94 373;102 112;108 743;117 681;125 939;133 423;141 512
BangladeshW;Energy;26 793;29 020;31 574;34 725;38 035;40 848;44 614;48 011;52 225;55 588;59 114;62 595
BangladeshE;Peak;11 622;12 634;13 683;14 740;15 810;16 928;18 039;19 210;20 460;21 896;23 197;24 603
BangladeshW;Peak;4 963;5 375;5 848;6 329;6 823;7 327;7 881;8 481;9 080;9 664;10 277;10 883
