Fuel,Index
Coal,1
Gas,2
Water,3
Solar,4
Wind,5
Import,6
HFO,7
LFO,8
Uranium,9
CSP,10
Battery,11
Diesel,12
Biomass,13
Geothermal,14
LNG,15
Coal_Bula,16
Coal_Hara,17
Coal_Hwan,18
Coal_Munya,19
Coal_Zhon,20
Gas_Moz,21
Export,22
Import_SAR,23
Import_MOZ_EDM,24
Import_MOZ_HCB,25
Import_ZAM,26
Import_SAPP,27
Import_BWA,28
