Fuel,value
Coal,0.1031
Gas,0.0592
Water,0
Solar,0
Wind,0
Import,0
HFO,0.0819
LFO,0.0819
Uranium,0
CSP,0
Battery,0
Diesel,0.0784
Biomass,0
Geothermal,0
LNG,0.0592
Coal_Bula,0.1031
Coal_Hara,0.1031
Coal_Hwan,0.1031
Coal_Munya,0.1031
Coal_Zhon,0.1031
Gas_Moz,0.0592
