gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Central diesel plants,Angola,,Oil/Primary,,,22,Existing ,,,,,,,,,,,,,,,,,,,
Eastern diesel plants,Angola,,Oil/Primary,,,22,Existing,,,,,,,,,,,,,,,,,,,
Southern diesel plants,Angola,,Oil/Primary,,,108,Existing,,,,,,,,,,,,,,,,,,,
Northern diesel plants,Angola,,Oil/Primary,,,350,Existing,,,,,,,,,,,,,,,,,,,
E_Benguela_(Eng),Angola,,HFO/Primary,,,20,Existing,,,,,,,,,,,,,,,,,,,
P_Angola_OCGT_NG,Angola,,Gas/Primary,,,2100,Candidate,,,,,,,,,,,,,,,,,,,
E_CIF_(G),Angola,,Gas/Primary,,,120,Existing,,,,,,,,,,,,,,,,,,,
P_Angola_CCGT_NG,Angola,,Gas/Primary,,,750,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Soyo_I_(G),Angola,,Gas/Primary,,,,Existing,,,,,,,,,,,,,,,,,,,
Luachimo,Angola,,Hydro/Primary,,,6.3,Existing,,,,,,,,,,,,,,,,,,,
P_Angola_Vuka_Hydrpower,Angola,,Hydro/Primary,,,121,Commited,,,,,,,,,,,,,,,,,,,
P_Angola_Lomaum_2_(H),Angola,,Hydro/Primary,,,160,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Jamba_Ya_Oma_(H),Angola,,Hydro/Primary,,,75,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Jamba_Ya_Mina_(H),Angola,,Hydro/Primary,,,180,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Calengue_(Catumbela)_(H)/P_Angola_Cutato_1-3,Angola,,Hydro/Primary,,,200,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Baynes_(H),Angola,,Hydro/Primary,,,300,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Cafula_(Keve)_(H),Angola,,Hydro/Primary,,,400,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Tumuludo_Casador_(H),Angola,,Hydro/Primary,,,450,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Zenzo_I_(H),Angola,,Hydro/Primary,,,450,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Quilengue_(Keve)_(H),Angola,,Hydro/Primary,,,217,Candidate,,,,,,,,,,,,,,,,,,,
P_Angola_Camambe_II_(H),Angola,,Hydro/Primary,,,700,Existing,,,,,,,,,,,,,,,,,,,
P_Angola_Lauca_(H)/P_Angola_Lauca_Ecologica_(H),Angola,,Hydro/Primary,,,2071,Existing,,,,,,,,,,,,,,,,,,,
P_Angola_Cacula_Cabasa_(H),Angola,,Hydro/Primary,,,2100,Committed,,,,,,,,,,,,,,,,,,,
E_Chicapa_(H)/E_Biopio_(H),Angola,,Hydro/Primary,,,30.4,Existing,,,,,,,,,,,,,,,,,,,
E_Mabubas_(H),Angola,,Hydro/Primary,,,25.6,Existing,,,,,,,,,,,,,,,,,,,
E_Matala_(H),Angola,,Hydro/Primary,,,40.8,Existing,,,,,,,,,,,,,,,,,,,
E_Lomaum_(H),Angola,,Hydro/Primary,,,50,Existing,,,,,,,,,,,,,,,,,,,
E_Gove_(H),Angola,,Hydro/Primary,,,60,Existing,,,,,,,,,,,,,,,,,,,
E_Cambambe_I_(H),Angola,,Hydro/Primary,,,180,Existing,,,,,,,,,,,,,,,,,,,
E_Capanda_(H),Angola,,Hydro/Primary,,,500,Existing,,,,,,,,,,,,,,,,,,,
Namibe,Angola,,Wind/Primary,,,100,Candidate,,,,,,,,,,,,,,,,,,,
kiwaba,Angola,,Wind/Primary,,,104,Candidate,,,,,,,,,,,,,,,,,,,
Offshore Wind Zone 002,Angola,,Wind/Primary,,,7509.44,,,,,,,,,,,,,,,,,,,,
Offshore Wind Zone 001,Angola,,Wind/Primary,,,5052.07,,,,,,,,,,,,,,,,,,,,
Wind Zone 005,Angola,,Wind/Primary,,,36931.72,,,,,,,,,,,,,,,,,,,,
Wind Zone 004,Angola,,Wind/Primary,,,1080.75,,,,,,,,,,,,,,,,,,,,
Wind Zone 003,Angola,,Wind/Primary,,,8332.11,,,,,,,,,,,,,,,,,,,,
Wind Zone 002,Angola,,Wind/Primary,,,1231.73,,,,,,,,,,,,,,,,,,,,
Wind Zone 001,Angola,,Wind/Primary,,,13858.67,,,,,,,,,,,,,,,,,,,,
Catete,Angola,,Solar/Primary,,,8,Candidate,,,,,,,,,,,,,,,,,,,
Lauca,Angola,,Solar/Primary,,,100,Candidate,,,,,,,,,,,,,,,,,,,
Cuango,Angola,,Solar/Primary,,,11.5,Committed,,,,,,,,,,,,,,,,,,,
Cambulo,Angola,,Solar/Primary,,,36.8,Committed,,,,,,,,,,,,,,,,,,,
Cafunfo,Angola,,Solar/Primary,,,41.4,Committed,,,,,,,,,,,,,,,,,,,
Cunene,Angola,,Solar/Primary,,,8,Committed,,,,,,,,,,,,,,,,,,,
Lucapa,Angola,,Solar/Primary,,,8,Committed,,,,,,,,,,,,,,,,,,,
Bailundo,Angola,,Solar/Primary,,,6.3,Committed,,,,,,,,,,,,,,,,,,,
Kuito,Angola,,Solar/Primary,,,11.5,Committed,,,,,,,,,,,,,,,,,,,
Saurimo,Angola,,Solar/Primary,,,20.7,Committed,,,,,,,,,,,,,,,,,,,
luena,Angola,,Solar/Primary,,,20.7,Committed,,,,,,,,,,,,,,,,,,,
baia_farta,Angola,,Solar/Primary,,,79.5,Committed,,,,,,,,,,,,,,,,,,,
Biopo,Angola,,Solar/Primary,,,145,Committed,,,,,,,,,,,,,,,12,,,,
Lubango,Angola,,Solar/Primary,,,35,Committed,,,,,,,,,,,,,,,,,,,
Caraculo,Angola,,Solar/Primary,,,25,Candidate,,,,,,,,,,,,,,,,,,,
Quilemba,Angola,,Solar/Primary,,,35,Candidate,,,,,,,,,,,,,,,,,,,
Solar PV Zone 005,Angola,,Solar/Primary,,,50498.79,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 004,Angola,,Solar/Primary,,,37826.49,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 003,Angola,,Solar/Primary,,,57202.12,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 002,Angola,,Solar/Primary,,,6788.49,,,,,,,,,,,,,,,,7,,,,
Solar PV Zone 001,Angola,,Solar/Primary,,,53936.4,,,,,,,,,,,,,,,,7,,,,
Solar CSP 6hrStor Zone 002,Angola,,,,,36073.34,,,,,,,,,,,,,,,,,,,,
Solar CSP 6hrStor Zone 001,Angola,,,,,75684.33,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 002,Angola,,,,,21468.85,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 001,Angola,,,,,34409.98,,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,Angola,,,,,,,,,,,,,,,,,,,,,,,,,
Gaz_oils,Burundi,,Diesel/Primary,,,30,Existing,,,,,,,,,,,,,,,7,,,,
Burundi_exi_the,Burundi,,Diesel/Primary,,,5,Existing,,,,,,,,,,,,,,,7,,,,
Solar CSP 6hrStor Zone 001,Burundi,,,,,83.25,,,,,,,,,,,,,,,,12,,,,
Solar CSP 12hrStor Zone 001,Burundi,,,,,41.63,,,,,,,,,,,,,,,,7,,,,
Solar_Project,Burundi,,Solar/Primary,,,7.5,Existing,,,,,,,,,,,,,,,7,,,,
BU_PV,Burundi,,Solar/Primary,,,,,,,,,,,,,,,,,,,7,,,,
Solar PV Zone 005,Burundi,,Solar/Primary,,,737.26,,,,,,,,,,,,,,,,7,,,,
Solar PV Zone 004,Burundi,,Solar/Primary,,,472.68,,,,,,,,,,,,,,,,7,,,,
Solar PV Zone 003,Burundi,,Solar/Primary,,,606.46,,,,,,,,,,,,,,,,7,,,,
Solar PV Zone 002,Burundi,,Solar/Primary,,,758.07,,,,,,,,,,,,,,,,7,,,,
Solar PV Zone 001,Burundi,,Solar/Primary,,,752.13,,,,,,,,,,,,,,,,7,,,,
Nyamyotsi,Burundi,,Hydro/Primary,,,0.3,Existing,,,,,,,,,,,,,,,7,,,,
Buhiga,Burundi,,Hydro/Primary,,,0.47,Existing,,,,,,,,,,,,,,,,,,,
Marangara,Burundi,,Hydro/Primary,,,0.28,Existing,,,,,,,,,,,,,,,,,,,
Kayenzi,Burundi,,Hydro/Primary,,,0.8,Existing,,,,,,,,,,,,,,,,,,,
Gikonge,Burundi,,Hydro/Primary,,,1,Existing,,,,,,,,,,,,,,,,,,,
Ruvyironza,Burundi,,Hydro/Primary,,,1.5,Existing,,,,,,,,,,,,,,,,,,,
Nyemanga,Burundi,,Hydro/Primary,,,2.8,Existing,,,,,,,,,,,,,,,,,,,
Mini_hydro,Burundi,,Hydro/Primary,,,11,Candidate,,,,,,,,,,,,,,,,,,,
