gen,zone,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost
AH_Cambambe_C1,Angola,ReservoirHydro,Water,1,1962,2060,260,,,,,,,,,,,,,,,
AH_Cambambe_C2,Angola,ReservoirHydro,Water,1,2016,2060,700,,,,,,,,,,,,,,,
AH_Capanda,Angola,ReservoirHydro,Water,1,2004,2060,520,,,,,,,,,,,,,,,
AH_Lauca,Angola,ReservoirHydro,Water,1,2017,2060,2070,,,,,,,,,,,,,,,
Ah_Lauca_ECO,Angola,ReservoirHydro,Water,1,2023,2060,0,,,,,,,,,,,,,,,
AH_Matala,Angola,ReservoirHydro,Water,1,1959,2060,41,,,,,,,,,,,,,,,
Baynes_HY_AGO,Angola,ReservoirHydro,Water,2,2032,2072,430,,,,,,,,,,,,,,,
CaculoCabaca_HY_AGO,Angola,ReservoirHydro,Water,2,2027,2067,2172,,,,,,,,,,,,,,,
CF_Bafia_Farta,Angola,PV,Solar,1,2022,2073,76,,,,,,,,,,,,,,,
CF_Biopio,Angola,PV,Solar,1,2022,2073,145,,,,,,,,,,,,,,,
CIF_TH_AGO,Angola,OCGT,Gas,1,2000,2019,50,,,,,,,,,,,,,,,
21_PV_AGO,Angola,PV,Solar,2,2024,2060,172,,,,,,,,,,,,,,,
22_PV_AGO,Angola,PV,Solar,2,2025,2060,44,,,,,,,,,,,,,,,
23_PV_AGO,Angola,PV,Solar,2,2026,2060,658,,,,,,,,,,,,,,,
CT_Biocom,Angola,ST,Biomass,1,2009,2051,20,,,,,,,,,,,,,,,
CT_Malembo,Angola,OCGT,Gas,1,2012,2055,105,,,,,,,,,,,,,,,
CT_OffGrid_Diesel,Angola,ICE,Diesel,1,2013,2063,372,,,,,,,,,,,,,,,
CT_OnGrid_Diesel,Angola,ICE,Diesel,1,2000,2050,344,,,,,,,,,,,,,,,
CT_PV_Diesel_Hybrid,Angola,PV,Solar,1,2017,2051,30,,,,,,,,,,,,,,,
CT_Soyo,Angola,CCGT,Gas,1,2017,2073,750,,,,,,,,,,,,,,,
1SmallHydro2000_HY_AGO,Angola,ReservoirHydro,Water,1,2000,2060,16,,,,,,,,,,,,,,,
1SmallHydro2012_HY_AGO,Angola,ReservoirHydro,Water,1,2012,2060,136,,,,,,,,,,,,,,,
Kiwaba_Nzogi,Angola,OnshoreWind,Wind,3,2026,2056,104,,,,,,,,,,,,,,,
LobitoI_TH_AGO,Angola,CCGT,Gas,3,2030,2082,750,,,,,,,,,,,,,,,
LuandaOCGT_TH_AGO,Angola,OCGT,Gas,1,1980,2019,125,,,,,,,,,,,,,,,
MCT_Morro_Bento,Angola,ICE,Diesel,1,2012,2062,25,,,,,,,,,,,,,,,
Namibe_TH_AGO,Angola,CCGT,Gas,3,2030,2082,750,,,,,,,,,,,,,,,
Candidate_BESS_AGO,Angola,Storage,Battery,3,2030,2055,200000,,,,,,,,,,,,,,,
Candidate_CSP_AGO,Angola,CSPPlant,CSP,3,2030,2050,100000,,,,,,,,,,,,,,,
Candidate_OffshoreWind_AGO,Angola,OffshoreWind,Wind,3,2030,2060,12000,,,,,,,,,,,,,,,
Candidate_OnshoreWind_AGO,Angola,OnshoreWind,Wind,3,2028,2060,60000,,,,,,,,,,,,,,,
Candidate_PV_2026_AGO,Angola,PV,Solar,3,2026,2060,1000,,,,,,,,,,,,,,,
Candidate_PV_2030_AGO,Angola,PV,Solar,3,2030,2060,200000,,,,,,,,,,,,,,,
PV_Caraculo_OffGrid,Angola,PV,Solar,1,2022,2073,25,,,,,,,,,,,,,,,
Quilengues_HY_AGO,Angola,ReservoirHydro,Water,3,2040,2060,210,,,,,,,,,,,,,,,
RochaPinto_TH_AGO,Angola,OCGT,Gas,1,2000,2019,40,,,,,,,,,,,,,,,
Vuka_HY_AGO,Angola,ReservoirHydro,Water,3,2032,2060,121,,,,,,,,,,,,,,,
Zenzo_HY_AGO,Angola,ReservoirHydro,Water,3,2035,2075,570,,,,,,,,,,,,,,,
CTH_10,Burundi,ICE,Diesel,1,2022,2055,10,,,,,,,,,,,,,,,
CTH_30,Burundi,ICE,Diesel,1,2022,2055,20,,,,,,,,,,,,,,,
CTH_5,Burundi,ICE,Diesel,1,2022,2055,4,,,,,,,,,,,,,,,
Mubuga,Burundi,PV,Solar,1,2022,2055,8,,,,,,,,,,,,,,,
Buhiga,Burundi,ROR,Water,1,2022,2055,0.5,,,,,,,,,,,,,,,
Gikonge,Burundi,ROR,Water,1,2022,2055,1,,,,,,,,,,,,,,,
Kayenzi,Burundi,ROR,Water,1,2022,2055,8,,,,,,,,,,,,,,,
Marangara,Burundi,ROR,Water,1,2022,2055,0.2,,,,,,,,,,,,,,,
Mugere,Burundi,ROR,Water,1,2022,2055,8,,,,,,,,,,,,,,,
Nyemanga,Burundi,ROR,Water,1,2022,2055,3,,,,,,,,,,,,,,,
Rusumo_Falls,Burundi,ReservoirHydro,Water,2,2024,2055,27,,,,,,,,,,,,,,,
Ruvyironza,Burundi,ReservoirHydro,Water,1,2022,2055,1,,,,,,,,,,,,,,,
RUZB_007,Burundi,ReservoirHydro,Water,1,2022,2055,15,,,,,,,,,,,,,,,
Ruzizi_I,Burundi,ROR,Water,1,2022,2055,4,,,,,,,,,,,,,,,
Ruzizi_II,Burundi,ROR,Water,1,2022,2055,12,,,,,,,,,,,,,,,
Rwegura,Burundi,ReservoirHydro,Water,1,2022,2055,18,,,,,,,,,,,,,,,
