gen,zone,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost
1smallhydrodro2012_hydro_angola,Angola,ReservoirHydro,Water,1,2012,2050,136,,,,,,,,,,,,,,,
Akieni,Gabon,ROR,Water,3,2030,2050,120.75,,,,120.75,,,,,,,,,,,
Akoga,EquatorialGuinea,OCGT,Gas,3,2030,2050,38,,,,38,,,,,,,,,,,
Angouma,Gabon,ROR,Water,3,2030,2050,133.3,,,,133.3,,,,,,,,,,,
Baidou,CAF,ROR,Water,2,2030,2050,4.5,,,,4.5,,,,,,,,,,,
Bata,EquatorialGuinea,OCGT,HFO,1,2025,2050,24.8,,,,,,,,,,,,,,,
Baynes,Angola,ReservoirHydro,Water,2,2032,2050,430,,,,430,,,,,,,,,,,
Bayomen,Cameroon,ROR,Water,2,2030,2050,470,,,,470,,,,,,,,,,,
Bikongo,Congo,ReservoirHydro,Water,3,2026,2050,100,,,,100,,,,,,,,,,,
Bini A Warak,Cameroon,ReservoirHydro,Water,3,2030,2050,75,,,,75,,,,,,,,,,,
Boali,CAF,ROR,Water,1,2025,2050,19.8,,,,,,,,,,,,,,,
Boali 1 Rebuild,CAF,ROR,Water,1,2025,2050,8.75,,,,,,,,,,,,,,,
Boaliiii,CAF,ROR,Water,3,2030,2050,10,,,,10,,,,,,,,,,,
Booue,Gabon,ROR,Water,3,2027,2050,375,,,,375,,,,,,,,,,,
Boundji,Gabon,ROR,Water,3,2027,2050,72,,,,72,,,,,,,,,,,
Busanga,DRC_South,ReservoirHydro,Water,1,2022,2050,240,,,,,,,,,,,,,,,
Cacula Cabasa,Angola,ReservoirHydro,Water,2,2027,2050,2172,,,,2172,,,,,,,,,,,
Cambambe 1,Angola,ReservoirHydro,Water,1,1962,2050,260,,,,,,,,,,,,,,,
Cambambe 2,Angola,ReservoirHydro,Water,1,2016,2050,700,,,,,,,,,,,,,,,
Candidate_bess_angola,Angola,Storage,Battery,3,2030,2050,200000,,,,200000,,,,,,,,,,,
Candidate_BESS_Burundi,Burundi,Storage,Battery,3,2030,2050,3000,,,,3000,,,,,,,,,,,
Candidate_BESS_CAF,CAF,Storage,Battery,3,2030,2050,100000,,,,100000,,,,,,,,,,,
Candidate_bess_cameroon,Cameroon,Storage,Battery,3,2030,2050,70000,,,,70000,,,,,,,,,,,
Candidate_bess_congo,Congo,Storage,Battery,3,2030,2050,50000,,,,50000,,,,,,,,,,,
Candidate_bess_drc,DRC,Storage,Battery,3,2027,2050,400000,,,,400000,,,,,,,,,,,
Candidate_bess_drcsouth,DRC_South,Storage,Battery,3,2027,2050,400000,,,,400000,,,,,,,,,,,
Candidate_bess_equatorialguinea,EquatorialGuinea,Storage,Battery,3,2030,2050,4000,,,,4000,,,,,,,,,,,
Candidate_BESS_Gabon,Gabon,Storage,Battery,3,2030,2050,40000,,,,40000,,,,,,,,,,,
Candidate_CCGT_Gas_Angola,Angola,CCGT,Gas,3,2030,2050,1500,,,,1500,,,,,,,,,,,
Candidate_CSP_Angola,Angola,CSPPlant,CSP,3,2030,2050,100000,,,,100000,,,,,,,,,,,
Candidate_CSP_Burundi,Burundi,CSPPlant,CSP,3,2030,2050,80,,,,80,,,,,,,,,,,
Candidate_CSP_CAF,CAF,CSPPlant,CSP,3,2030,2050,50000,,,,50000,,,,,,,,,,,
Candidate_csp_cameroon,Cameroon,CSPPlant,CSP,3,2030,2050,40000,,,,40000,,,,,,,,,,,
Candidate_OCGT_Diesel_Cameroon_2030,Cameroon,OCGT,Diesel,3,2030,2050,72.6,,,,72.6,,,,,,,,,,,
Candidate_OCGT_Diesel_Gabon_2027,Gabon,OCGT,Diesel,3,2027,2046,50145,,,,50145,,,,,,,,,,,
Candidate_OCGT_Gas_Cameroon_2030,Cameroon,OCGT,Gas,3,2030,2050,1464,,,,1464,,,,,,,,,,,
Candidate_OCGT_Gas_Gabon_2027,Gabon,OCGT,Gas,3,2027,2050,120152,,,,120152,,,,,,,,,,,
Candidate_OCGT_Gas_Gabon_2030,Gabon,OCGT,Gas,3,2030,2050,26,,,,26,,,,,,,,,,,
Candidate_OCGT_Gas_Gabon_2033,Gabon,OCGT,Gas,3,2033,2050,59,,,,59,,,,,,,,,,,
Candidate_OCGT_Gas_Gabon_2036,Gabon,OCGT,Gas,3,2036,2050,29.5,,,,29.5,,,,,,,,,,,
Candidate_OCGT_Gas_Gabon_2051,Gabon,OCGT,Gas,3,2051,2050,80000,,,,80000,,,,,,,,,,,
Candidate_OffshoreWind_Angola,Angola,OffshoreWind,Wind,3,2030,2050,12000,,,,1000,,,,,,,,,,,
Candidate_OnshoreWind_Angola,Angola,OnshoreWind,Wind,3,2028,2050,60000,,,,1000,,,,,,,,,,,
Candidate_onshorewind_drc,DRC,OnshoreWind,Wind,3,2026,2050,1800,,,,1000,,,,,,,,,,,
Candidate_onshorewind_drcsouth,DRC_South,OnshoreWind,Wind,3,2026,2050,1800,,,,1000,,,,,,,,,,,
Candidate_PV_2026_Angola,Angola,PV,Solar,3,2026,2050,1000,,,,1000,,,,,,,,,,,
Candidate_PV_2030_Angola,Angola,PV,Solar,3,2030,2050,200000,,,,1000,,,,,,,,,,,
Candidate_PV_Burundi,Burundi,PV,Solar,3,2030,2050,3000,,,,1000,,,,,,,,,,,
Candidate_pv_congo,Congo,PV,Solar,3,2030,2050,50000,,,,1000,,,,,,,,,,,
Candidate_pv_drc,DRC,PV,Solar,3,2026,2050,400000,,,,1000,,,,,,,,,,,
Candidate_pv_drcsouth,DRC_South,PV,Solar,3,2026,2050,400000,,,,1000,,,,,,,,,,,
Candidate_pv_equatorialguinea,EquatorialGuinea,PV,Solar,3,2030,2050,4000,,,,1000,,,,,,,,,,,
Candidate_PV_Gabon,Gabon,PV,Solar,3,2030,2050,40000,,,,1000,,,,,,,,,,,
Candidate_PV_Solar_CAF_2030,CAF,PV,Solar,3,2030,2050,100052,,,,1000,,,,,,,,,,,
Candidate_PV_Solar_Cameroon_2030,Cameroon,PV,Solar,3,2030,2050,70413,,,,1000,,,,,,,,,,,
Candidate_Wind_CAF,CAF,OnshoreWind,Wind,3,2030,2050,700,,,,1000,,,,,,,,,,,
Candidate_wind_cameroon,Cameroon,OnshoreWind,Wind,3,2030,2050,20000,,,,1000,,,,,,,,,,,
Candidate_wind_congo,Congo,OnshoreWind,Wind,3,2030,2050,20,,,,1000,,,,,,,,,,,
Capanda,Angola,ReservoirHydro,Water,1,2004,2050,520,,,,,,,,,,,,,,,
Cec_mateve,Congo,OCGT,Gas,1,2010,2040,484,,,,,,,,,,,,,,,
Cec_mateve_new,Congo,CCGT,Gas,2,2026,2050,500,,,,500,,,,,,,,,,,
Chollet (Cameroon),Cameroon,ROR,Water,3,2030,2050,300,,,,300,,,,,,,,,,,
Chollet (Congo),Congo,ReservoirHydro,Water,3,2028,2050,300,,,,300,,,,,,,,,,,
Chutes de Nki,Cameroon,ROR,Water,3,2030,2050,403,,,,403,,,,,,,,,,,
Colomines,Cameroon,ROR,Water,3,2030,2050,12,,,,12,,,,,,,,,,,
Dama,Burundi,ROR,Water,3,2027,2050,5,,,,5,,,,,,,,,,,
Dechets_municipaux,Burundi,BiomassPlant,Biomass,3,2028,2050,15,,,,15,,,,,,,,,,,
Dibwangui,Gabon,ROR,Water,3,2030,2050,14.5,,,,14.5,,,,,,,,,,,
Dimoli,CAF,ROR,Water,2,2030,2050,200,,,,200,,,,,,,,,,,
Djeno,Congo,OCGT,Gas,1,2010,2041,50,,,,,,,,,,,,,,,
Djibloho,EquatorialGuinea,ReservoirHydro,Water,1,2025,2050,120,,,,,,,,,,,,,,,
Djoue Rebuild,Congo,ReservoirHydro,Water,3,2051,2050,25,,,,25,,,,,,,,,,,
Edea,Cameroon,ROR,Water,3,2030,2050,474,,,,474,,,,,,,,,,,
Existing_OCGT_Diesel_Angola_2050,Angola,OCGT,Diesel,1,2013,2050,741,,,,,,,,,,,,,,,
Existing_OCGT_Diesel_Burundi_2050,Burundi,OCGT,Diesel,1,2022,2050,34,,,,,,,,,,,,,,,
Existing_OCGT_Diesel_CAF_2050,CAF,OCGT,Diesel,1,2025,2050,39.74,,,,,,,,,,,,,,,
Existing_OCGT_Diesel_Cameroon_2050,Cameroon,OCGT,Diesel,1,2025,2050,140.36,,,,,,,,,,,,,,,
Existing_OCGT_Diesel_EquatorialGuinea_2050,EquatorialGuinea,OCGT,Diesel,1,2025,2050,201.14,,,,,,,,,,,,,,,
Existing_OCGT_Diesel_Gabon_2029,Gabon,OCGT,Diesel,1,2023,2029,57.15,,,,,,,,,,,,,,,
Existing_OCGT_Gas_Cameroon_2050,Cameroon,OCGT,Gas,1,2025,2050,266.7,,,,,,,,,,,,,,,
Existing_OCGT_Gas_Gabon_2026,Gabon,OCGT,Gas,1,2007,2026,152,,,,,,,,,,,,,,,
Existing_OCGT_Gas_Gabon_2029,Gabon,OCGT,Gas,1,2010,2029,30.83,,,,,,,,,,,,,,,
Existing_OCGT_Gas_Gabon_2032,Gabon,OCGT,Gas,1,2013,2032,59,,,,,,,,,,,,,,,
Existing_OCGT_Gas_Gabon_2035,Gabon,OCGT,Gas,1,2016,2035,29.5,,,,,,,,,,,,,,,
Existing_OCGT_HFO_Cameroon_2050,Cameroon,OCGT,HFO,1,2025,2050,186,,,,,,,,,,,,,,,
Existing_OCGT_HFO_DRC_2050,DRC,OCGT,HFO,1,2000,2050,150.8,,,,,,,,,,,,,,,
Existing_PV_Solar_Angola_2050,Angola,PV,Solar,1,2022,2050,276,,,,,,,,,,,,,,,
Existing_PV_Solar_Cameroon_2050,Cameroon,PV,Solar,1,2025,2050,70,,,,,,,,,,,,,,,
Faga,Gabon,ROR,Water,3,2027,2050,39,,,,39,,,,,,,,,,,
FE-2 (Kinguele Aval),Gabon,ROR,Water,2,2025,2050,34.3,,,,34.3,,,,,,,,,,,
Forzi_akwaya,Cameroon,BiomassPlant,Biomass,1,2025,2050,50,,,,,,,,,,,,,,,
Gas_ccgt_generic,Congo,CCGT,Gas,2,2028,2050,100,,,,100,,,,,,,,,,,
Gas_ocgt_generic,Congo,OCGT,Gas,2,2028,2050,100,,,,100,,,,,,,,,,,
Genericdieselcan_drc,DRC,OCGT,HFO,3,2024,2050,500,,,,500,,,,,,,,,,,
Gikuka,Burundi,ReservoirHydro,Water,3,2030,2050,3,,,,3,,,,,,,,,,,
Grand Eweng/Ngodi,Cameroon,ROR,Water,3,2030,2050,1080,,,,1080,,,,,,,,,,,
Grand Poubara,Gabon,ReservoirHydro,Water,1,2009,2049,161,,,,,,,,,,,,,,,
Grand Poubara,Gabon,ROR,Water,3,2050,2050,161,,,,161,,,,,,,,,,,
Hydro-Mekin,Cameroon,ROR,Water,3,2030,2050,15,,,,15,,,,,,,,,,,
Hydrodroaggregated2,Congo,ReservoirHydro,Water,3,2026,2050,201,,,,201,,,,,,,,,,,
