zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2051,28.170,44.099,32.837,67.574,72.902,82.672,95.079,92.507,78.210,74.141,76.031,75.952,75.250,78.683,83.334,92.343,108.401,120.012,111.754,95.736,91.448,74.141,74.141,73.922
Bulgaria,Q1,d1,2052,28.170,44.099,32.837,67.574,72.902,82.672,95.079,92.507,78.210,74.141,76.031,75.952,75.250,78.683,83.334,92.343,108.401,120.012,111.754,95.736,91.448,74.141,74.141,73.922
Bulgaria,Q1,d1,2053,28.170,44.099,32.837,67.574,72.902,82.672,95.079,92.507,78.210,74.141,76.031,75.952,75.250,78.683,83.334,92.343,108.401,120.012,111.754,95.736,91.448,74.141,74.141,73.922
Bulgaria,Q1,d2,2024,77.727,70.896,67.570,82.056,104.948,174.026,170.756,161.695,166.586,170.091,160.411,156.579,159.006,200.638,280.774,337.334,306.570,294.876,237.042,237.530,175.929,166.493,127.053,128.861
Bulgaria,Q1,d2,2025,75.844,69.174,65.926,80.071,102.424,169.874,166.681,157.833,162.609,166.031,156.580,152.838,155.207,195.859,274.106,329.332,299.295,287.876,231.405,231.881,171.732,162.518,124.007,125.773
Bulgaria,Q1,d2,2026,73.961,67.452,64.283,78.087,99.899,165.722,162.606,153.972,158.632,161.972,152.748,149.097,151.409,191.079,267.438,321.332,292.019,280.875,225.767,226.232,167.534,158.543,120.962,122.685
Bulgaria,Q1,d2,2027,72.079,65.731,62.639,76.102,97.375,161.570,158.530,150.110,154.655,157.912,148.917,145.355,147.611,186.300,260.770,313.330,284.743,273.875,220.130,220.583,163.337,154.568,117.917,119.597
Bulgaria,Q1,d2,2028,70.196,64.009,60.996,74.117,94.851,157.417,154.455,146.248,150.678,153.853,145.085,141.614,143.812,181.520,254.102,305.330,277.466,266.875,214.493,214.934,159.140,150.594,114.872,116.510
Bulgaria,Q1,d2,2029,68.312,62.286,59.352,72.131,92.325,153.263,150.378,142.385,146.700,149.791,141.252,137.872,140.012,176.739,247.431,297.325,270.188,259.871,208.853,209.283,154.941,146.617,111.825,113.420
Bulgaria,Q1,d2,2030,66.429,60.564,57.708,70.146,89.801,149.111,146.303,138.523,142.723,145.732,137.421,134.131,136.214,171.959,240.763,289.324,262.911,252.871,203.215,203.634,150.744,142.642,108.780,110.332
