z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Angola,Energy,16110.71032,16637.87143,17137.94521,17697.40276,18132.88367,18664.21207,19205.95866,19740.41252,20310.28826,20895.79131,21494.83803,22118.88844,22757.77774,23415.12093,24091.45103,24787.31648,25503.28154,26239.92677,26997.8495,27777.66433,28580.00358,29405.51787,30254.87659,31128.76846,32027.90212,32953.00665,33904.83221
Botswana,Energy,4154.781697,4361.781697,4574.781697,4793.781697,5019.781697,5252.781697,5493.781697,5594.781697,5696.781697,5799.781697,5904.781697,6009.781697,6205.519916,6407.633317,6616.32954,6831.822985,7054.335038,7284.094296,7521.336798,7766.306274,8019.25439,8280.441011,8550.134464,8828.611817,9116.159159,9413.071901,9719.655073
South Africa,Energy,210648,219536.959,228781.5152,238395.6931,248394.0607,258791.7494,269604.4753,280848.5618,292540.9616,304699.2812,317341.805,330487.5206,344286.352,358661.3254,373636.4965,389236.9252,405488.718,422419.0712,440056.3168,458429.9695,477570.7765,497510.7688,518283.3148,539923.176,562466.5654,585951.208,610416.4039
Tanzania,Energy,11592.56034,13743.56034,16076.56034,18829.56034,22669.56034,27180.56034,32470.56034,35997.56034,39828.56034,43980.56034,48467.56034,53301.56034,61038.51928,69898.53227,80044.61561,91663.44816,104968.806,120205.4958,137653.859,157634.9299,180516.3422,206719.0935,236725.2908,271087.0213,310436.5101,355497.7525,407099.835
Zambia,Energy,13924.62571,15057.83145,16222.58688,17418.7721,18646.23669,19904.78999,21194.20586,22514.29726,23864.79871,25245.41628,26655.82546,28095.67441,29903.85405,31828.4044,33876.81483,36057.05674,38377.61452,40847.51861,43476.38063,46274.43078,49252.55767,52422.35067,55796.145,59387.06977,63209.09905,67277.10625,71606.922
Zimbabwe,Energy,11302.30181,11922.30181,12553.30181,13195.30181,13848.30181,14512.30181,15185.30181,15870.30181,16564.30181,17267.30181,17980.30181,18702.30181,19563.59016,20464.54302,21406.98704,22392.83299,23424.07964,24502.81782,25631.23461,26811.61786,28046.36074,29337.96666,30689.0543,32102.36295,33580.75804,35127.23697,36744.93517
Namibia,Energy,4290.801597,4560.801597,4843.801597,5140.801597,5450.801597,5775.801597,6116.801597,6384.801597,6658.801597,6904.801597,7203.801597,7482.801597,7862.606395,8261.688958,8681.027766,9121.650968,9584.638896,10071.12672,10582.30722,11119.43372,11683.82317,12276.85935,12899.99629,13554.76181,14242.76129,14965.68158,15725.29515
Mozambique,Energy,7201.633733,7849.126382,8520.504015,9216.64771,9938.471048,10686.92131,11462.98072,12089.69072,12581.10072,13110.39072,13610.34072,14152.41072,15011.75038,15923.26946,16890.13631,17915.71169,19003.56038,20157.46365,21381.43235,22679.72089,24056.842,25517.58241,27067.01953,28710.53904,30453.85367,32303.02302,34264.47462
Mozal,Energy,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322
Malawi,Energy,2437.048989,3090.048989,3815.048989,4617.048989,5507.048989,6492.048989,7584.048989,8644.048989,9804.048989,11074.04899,12464.04899,13985.04899,16264.24301,18914.88554,21997.51286,25582.52711,29751.8041,34600.56324,40239.5422,46797.52596,54424.28806,63294.01117,73609.26515,85605.63338,99557.09313,115782.2728,134651.7286
Lesotho,Energy,1043,1101,1162,1227,1295,1367,1443,1507,1575,1646,1719,1796,1886.071852,1980.660931,2079.99378,2184.308308,2293.854352,2408.89428,2529.703617,2656.571707,2789.802405,2929.714805,3076.644002,3230.941899,3392.978047,3563.140528,3741.836891
Eswatini,Energy,1352,1404,1457,1511,1567,1625,1684,1699,1715,1730,1745,1761,1801.351978,1842.628591,1884.851026,1928.040957,1972.220552,2017.412488,2063.639964,2110.926707,2159.29699,2208.775641,2259.388058,2311.16022,2364.118702,2418.290687,2473.703982
DRC_South,Energy,11315,12283.24876,13330.30846,14450.54975,15660.8607,16966.87065,18368.5796,19792.80597,21177.62687,22517.41294,23722.09453,24971.81095,26807.95695,28779.11248,30895.20461,33166.89034,35605.61028,38223.64624,41034.18312,44051.37525,47290.41775,50767.62298,54500.50277,58507.85654,62809.86601,67428.19686,72386.10779
DRC,Energy,6849.151164,7123.117211,7408.041899,7704.363575,8012.538118,8333.039643,8666.361228,9013.015678,9373.536305,9748.477757,10138.41687,10543.95354,10965.71168,11404.34015,11860.51375,12334.9343,12828.33168,13341.46494,13875.12354,14430.12848,15007.33362,15607.62696,16231.93204,16881.20932,17556.4577,18258.716,18989.06464
Angola,Peak,2424.03,2545.03,2674.03,2811.03,2958.03,3114.03,3281.03,3459.03,3648.03,3850.03,4066.03,4296.03,4526.940073,4770.26148,5026.661325,5296.84257,5581.54596,5881.552055,6197.68337,6530.806631,6881.835147,7251.73132,7641.50928,8052.237665,8485.042554,8941.110551,9421.692039
Botswana,Peak,675.05,712.05,751.05,791.05,834.05,878.05,923.05,971.05,1021.05,1073.05,1127.05,1183.05,1244.664666,1309.488298,1377.688022,1449.43967,1524.92823,1604.348326,1687.904715,1775.812821,1868.299287,1965.60256,2067.973503,2175.676049,2288.987873,2408.201112,2533.623121
South Africa,Peak,33873,35771.64441,37756.20034,39831.44064,42000.22903,44267.33837,46638.4961,49115.61136,51706.32073,54414.4425,57245.7041,60204.8784,63422.15014,66811.34877,70381.66184,74142.76788,78104.86262,82278.68663,86675.55447,91307.3853,96186.73525,101326.8314,106741.6078,112445.7428,118454.6996,124784.7673,131453.1058
Tanzania,Peak,1890.203,2541.203,3453.203,4482.203,5574.203,6724.203,8133.203,9796.203,11894.203,14476.203,17492.203,20042.203,24639.73691,30291.91127,37240.65285,45783.38462,56285.7562,69197.29456,85070.64482,104585.2248,128576.306,158070.7646,194331.035,238909.1446,293713.1446,361088.779,443919.8883
Zambia,Peak,2285.723187,2482.723187,2689.723187,2907.723187,3136.723187,3377.723187,3629.723187,3895.723187,4174.723187,4467.723187,4775.723187,5098.723187,5479.169654,5888.003525,6327.342955,6799.464148,7306.813148,7852.018515,8437.904941,9067.507883,9744.089296,10471.15453,11252.47048,12092.08512,12994.34847,13963.93512,15005.86848
Zimbabwe,Peak,1841,2000,2169,2348,2540,2744,2961,3192,3438,3700,3979,4276,4613.584365,4977.820555,5370.812695,5794.831028,6252.325031,6745.93756,7278.520125,7853.149356,8473.144782,9142.088,9863.843372,10642.58035,11482.79754,12389.34874,13367.47092
Namibia,Peak,672.0808558,718.0808558,766.0808558,816.0808558,869.0808558,925.0808558,984.0808558,1027.080856,1070.080856,1110.080856,1157.080856,1203.080856,1266.796815,1333.887214,1404.530765,1478.915645,1557.239997,1639.712459,1726.552718,1817.992094,1914.274159,2015.655387,2122.405832,2234.809852,2353.166862,2477.792139,2609.017652
Mozambique,Peak,1136.59284,1259.59284,1388.59284,1524.59284,1666.59284,1816.59284,1974.59284,2082.59284,2170.59284,2263.59284,2355.59284,2449.59284,2618.064103,2798.122013,2990.563443,3196.240073,3416.062157,3651.002551,3902.101019,4170.468838,4457.29371,4763.845023,5091.479467,5441.647039,5815.897459,6215.887031,6643.385969
Mozal,Peak,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
Malawi,Peak,386.74,508.74,644.74,794.74,960.74,1144.74,1348.74,1566.74,1785.74,2018.74,2274.74,2545.74,2990.514156,3512.996189,4126.762683,4847.762231,5694.729854,6689.673825,7858.447553,9231.421376,10844.27173,12738.90818,14964.56246,17579.06773,20650.36135,24258.25023,28496.48461
Lesotho,Peak,204,216,229,242,257,272,288,295,303,310,318,327,340.8451768,355.2765583,370.3189643,385.9982656,402.3414284,419.3765605,437.13296,455.6411653,474.9330078,495.0416667,516.001726,537.849234,560.6217653,584.3584854,609.100218
Eswatini,Peak,260,268,277,286,295,304,313,323,333,343,353,364,375.3168327,386.9855079,399.0169646,411.4224817,424.2136888,437.402577,451.0015105,465.0232374,479.4809027,494.3880597,509.7586832,525.6071824,541.9484146,558.797699,576.170831
DRC_South,Peak,2010,2182,2368,2567,2782,3014,3263,3516,3762,4000,4214,4436,4762.173529,5112.330189,5488.23343,5891.776366,6324.991309,6790.060005,7289.32462,7825.299537,8400.684019,9018.375802,9681.485689,10393.35322,11157.56347,11977.96515,12858.68994
DRC,Peak,929.5326948,966.7574505,1005.427748,1045.644858,1087.470653,1130.969479,1176.208258,1223.256588,1272.186852,1323.074326,1375.997299,1431.037191,1536.259565,1649.218808,1770.483803,1900.665262,2040.4188,2190.448241,2351.509159,2524.412684,2710.02959,2909.294674,3123.211471,3352.857302,3599.388703,3864.04725,4148.165809
