zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,"33,873 ","34,554 ","35,245 ","35,952 ","36,669 ","37,372 ","38,079 ","38,753 ","39,474 ","40,200 ","40,933 ","41,687 ","42,476 ","43,281 ","44,101 ","44,936 ","45,787 ","46,655 ","47,538 ","48,439 ","49,356 ","50,291 ","51,244 ","52,214 ","53,203 ","54,211 ","55,238 "
Lesotho,Peak,204,214.2,224.4,234.6,244.8,251.94,259.08,265.2,273.36,280.5,287.64,295.8,305.5033944,315.525098,325.8755526,336.5655425,347.6062058,359.0090459,370.7859437,382.9491697,395.5113969,408.4857143,421.8856399,435.7251353,450.0186202,464.7809872,480.0276175
Eswatini,Peak,260,270,280,290,300,309,318,327,336,346,356,366,377.3052233,388.959649,400.9740635,413.3595863,426.1276804,439.2901629,452.8592159,466.8473978,481.2676549,496.1333333,511.4581916,527.2564132,543.5426194,560.3318837,577.6397445
Mozambique,Peak,1136.59284,1179.082292,1221.571744,1264.061196,1317.173011,1370.510616,1425.719193,1481.554999,1540.787573,1602.124385,1665.649609,1731.964328,1799.858757,1870.414704,1943.736503,2019.932576,2099.115598,2181.40266,2266.915443,2355.780397,2448.12893,2544.097603,2643.828326,2747.468576,2855.171609,2967.09669,3083.409326
Zimbabwe,Peak,1841,1929.086124,2017.172249,2105.258373,2210.961722,2298.736629,2389.438743,2480.896968,2578.010031,2678.447288,2782.352906,2890.769181,3010.090797,3134.337623,3263.712957,3398.428487,3538.704639,3684.770938,3836.866381,3995.239834,4160.150431,4331.868004,4510.673525,4696.85956,4890.730753,5092.604323,5302.810582
Botswana,Peak,675.05,703.9807143,732.9114286,761.8421429,790.7728571,822.7771431,856.0065524,889.5805914,925.1876227,962.0825685,1000.285788,1040.168501,1081.578366,1124.636787,1169.409396,1215.964435,1264.372863,1314.708467,1367.047967,1421.471141,1478.060941,1536.903623,1598.088874,1661.709955,1727.863837,1796.651353,1868.177351
Namibia,Peak,672.0808558,682.263899,692.4469423,702.6299856,712.8130288,721.9583503,731.3487396,739.7916544,749.0095596,758.2500242,767.4352405,776.8774367,787.0322339,797.3197674,807.7417724,818.3000066,828.9962506,839.8323084,850.8100075,861.9311994,873.1977598,884.6115887,896.1746112,907.8887774,919.756063,931.7784694,943.9580243
Zambia,Peak,2285.723187,2369.347206,2462.262783,2555.178359,2648.093936,2727.569207,2808.658129,2888.270009,2973.075413,3059.726732,3148.308108,3240.08975,3343.103895,3449.393231,3559.06189,3672.21731,3788.97035,3909.43539,4033.730448,4161.977295,4294.301572,4430.832915,4571.705082,4717.056084,4867.028318,5021.768711,5181.42886
Angola,Peak,2584.06,3016.9,3202.1,3901.3,4124.6,4284.3,4444.1,4604,4763.6,4922.9,5080.2,5238.8,5396,7991.9,8212.3,8430.7,8647,8864.7,9082.1,9299.4,9516.8,9734.2,9951.5,10168.9,10386.2,10603.6,10820.9
Tanzania,Peak,1890.203,1978.806266,2067.409531,2156.012797,2259.383273,2360.642848,2465.347949,2571.639213,2685.035813,2802.786487,2925.233999,3053.590554,3188.978243,3330.368643,3478.0279,3632.233957,3793.27708,3961.460406,4137.100511,4320.528009,4512.08817,4712.141575,4921.06479,5139.251077,5367.111136,5605.073874,5853.587217
DRC,Peak,929.5326948,966.7574505,1005.427748,1045.644858,1087.470653,1130.969479,1176.208258,1223.256588,1272.186852,1323.074326,1375.997299,1431.037191,1483.291492,1537.453857,1593.593961,1651.784019,1712.098887,1774.616151,1839.416232,1906.582487,1976.201317,2048.362277,2123.158194,2200.685282,2281.043271,2364.33553,2450.669205
Malawi,Peak,386.74,396.9173684,407.0947368,417.2721053,427.4494737,442.5062646,457.7974947,472.9760873,489.204733,505.8414252,522.9514674,540.7569625,557.7406796,575.2578095,593.3251051,611.9598458,631.1798534,651.0035095,671.4497732,692.5381989,714.2889552,736.722844,759.8613207,783.7265145,808.3412497,833.7290673,859.9142478
DRC_South,Peak,2010,2087.734807,2165.469613,2243.20442,2320.939227,2407.558011,2497.508287,2587.458564,2682.961326,2781.79558,2882.850829,2988.348066,3097.467549,3210.571528,3327.805498,3449.320263,3575.272139,3705.823145,3841.141219,3981.400431,4126.781205,4277.470557,4433.662327,4595.557438,4763.364146,4937.298313,5117.583684
Mozal,Peak,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
South_Africa,Energy,210648,215421.5416,219727.3587,224688.334,228057.8423,232433.3021,236829.3969,241020.8622,245502.9358,250021.1205,254579.7151,259266.4182,264114.34,269052.9112,274083.8268,279208.8136,284429.6305,289748.0694,295165.9557,300685.149,306307.5435,312035.069,317869.6912,323813.4128,329868.2738,336036.3522,342319.7651
Lesotho,Energy,1043,1077,1109,1143,1171,1204,1237,1270,1305,1342,1378,1415,1454.154373,1494.392183,1535.743412,1578.238867,1621.910212,1666.789983,1712.91162,1760.309485,1809.018894,1859.076137,1910.518512,1963.384345,2017.713024,2073.54503,2130.921959
Eswatini,Energy,1352,1391.629175,1428.493524,1479.182004,1516.046353,1560.283572,1607.285617,1652.444444,1700.368098,1750.134969,1799.90184,1852.433538,1906.182799,1961.491621,2018.405255,2076.970266,2137.23457,2199.247471,2263.059707,2328.723486,2396.292532,2465.822127,2537.369156,2610.992157,2686.751366,2764.708765,2844.928136
Mozambique,Energy,7201.633733,7519.650272,7828.827681,8170.62319,8470.628001,8813.632405,9168.698553,9527.783236,9908.713958,10303.18315,10711.723,11138.20383,11584.48985,12048.65766,12531.42378,13033.53339,13555.76154,14098.91436,14663.83025,15251.3812,15862.47418,16498.05245,17159.0971,17846.62852,18561.70797,19305.43925,20078.97039
Zimbabwe,Energy,11302.30181,11795.41443,12272.29419,12800.12182,13256.79015,13783.09713,14326.95395,14875.34915,15457.65001,16059.88359,16682.9153,17332.99363,18013.14789,18719.99171,19454.57238,20217.97832,21011.34065,21835.83486,22692.68259,23583.15339,24508.56666,25470.29356,26469.75903,27508.44397,28587.88736,29709.68859,30875.50978
