csv_symbol,gdx_symbol,folder,header_cols
pCarbonPrice,pCarbonPrice,constraint,
pEmissionsCountry,pEmissionsCountry,constraint,1
pEmissionsTotal,pEmissionsTotal,constraint,
pMaxFuellimit,pMaxFuelLimit,constraint,2
pAvailabilityH2,pAvailabilityH2,h2,1
pCapexTrajectoryH2,pCapexTrajectoryH2,h2,1
pExternalH2,pExternalH2,h2,2
pFuelDataH2,pFuelData,h2,
pH2DataExcel,pH2DataExcel,h2,1
pDemandData,pDemandData,load,4
pDemandForecast,pDemandForecast,load,2
pDemandProfile,pDemandProfile,load,3
pEnergyEfficiencyFactor,pEnergyEfficiencyFactor,load,1
sRelevant,sRelevant,load,
pHours,pHours,,3
pSettings,pScalars,,
pPlanningReserveMargin,pPlanningReserveMargin,reserve,
pSpinningReserveReqCountry,pSpinningReserveReqCountry,reserve,1
pSpinningReserveReqSystem,pSpinningReserveReqSystem,reserve,
pAvailability,pAvailabilityCustom,supply,1
pCSPData,pCSPData,supply,2
pCapexTrajectories,pCapexTrajectoriesCustom,supply,1
pFuelPrice,pFuelPrice,supply,2
pGenDataInput,pGenDataExcel,supply,1
pStorageDataInput,pStorDataExcel,supply,2
pVREProfile,pVREprofile,supply,4
pVREgenProfile,pVREgenProfile,supply,4
pExtTransferLimit,pExtTransferLimit,trade,4
pLossFactorInternal,pLossFactor,trade,2
pMaxAnnualExternalTradeShare,pMaxExchangeShare,trade,1
pMaxPriceImportShare,pMaxPriceImportShare,trade,1
pMinImport,pMinImport,trade,1
pNewTransmission,pNewTransmission,trade,2
pTradePrice,pTradePrice,trade,4
pTransferLimit,pTransferLimit,trade,3
zext,zext,trade,
y,y,,
zcmap,zcmapExcel,,
