paramNames,CommittedwPV,CommittednoPV,CommittedwCandidates,GenericCandidates
SETTINGS,,,,
pSettings,,,,
y,,,,
zcmap,,,,
pHours,,,,
RESOURCES,,,,
ftfindex,,,,
pFuelCarbonContent,,,,
pTechData,,,,
LOAD,,,,
pDemandData,,,,
pDemandForecast,,,,
pDemandProfile,,,,
sRelevant,,,,
pEnergyEfficiencyFactor,,,,
SUPPLY,,,,
pGenDataExcel,supply/pGenDataExcelCustomCommittedwPV.csv,supply/pGenDataExcelCustomCommittednoPV.csv,supply/pGenDataExcelCustomCommittedwCandidates.csv,supply/pGenDataExcelCustomGenericCandidates.csv
pGenDataExcelDefault,,,,
pAvailability,supply/pAvailabilityCustomCommittedwPV.csv,supply/pAvailabilityCustomCommittednoPV.csv,supply/pAvailabilityCustomCommittedwCandidates.csv,supply/pAvailabilityCustomGenericCandidates.csv
pAvailabilityDefault,,,,
pCapexTrajectories,,,,
pCapexTrajectoriesDefault,,,,
pCSPData,,,,
pFuelPrice,,,,
pVREgenProfile,,,,
pVREProfile,,,,
pStorDataExcel,,,,
RESERVE,,,,
pPlanningReserveMargin,,,,
pSpinningReserveReqCountry,,,,
pSpinningReserveReqSystem,,,,
CONSTRAINT,,,,
pEmissionsTotal,,,,
pEmissionsCountry,,,,
pMaxFuellimit,,,,
pCarbonPrice,,,,
TRADE,,,,
zext,,,,
pExtTransferLimit,,,,
pLossFactor,,,,
pMaxPriceImportShare,,,,
pMaxExchangeShare,,,,
pMinImport,,,,
pNewTransmission,,,,
pTradePrice,,,,
pTransferLimit,,,,
H2,,,,
pH2DataExcel,,,,
pAvailabilityH2,,,,
pCapexTrajectoryH2,,,,
pExternalH2,,,,
pFuelDataH2,,,,
