z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
NorthWest,Peak,13008.88124,13988.28773,14484.97864,14981.66956,15478.36047,15975.05138,16471.74229,16784.4736,17097.20492,17409.93623,17722.66755,18035.39886,19174.77514,20314.15142,21453.5277,22592.90398,23732.28025,24871.65653,26011.03281,27150.40909,28289.78537,29429.16165,30568.53793,31707.91421,32847.29048,33986.66676,35126.04304,36265.41932,37404.7956,38544.17188
NorthWest,Energy,77088.6625,82892.47724,85835.79245,88779.10766,91722.42287,94665.73808,97609.05329,99462.25176,101315.4502,103168.6487,105021.8472,106875.0456,113626.8171,120378.5886,127130.3601,133882.1316,140633.9031,147385.6745,154137.446,160889.2175,167640.989,174392.7605,181144.532,187896.3035,194648.0749,201399.8464,208151.6179,214903.3894,221655.1609,228406.9324
CenterAna,Peak,7533.750656,8100.94811,8388.593558,8676.239007,8963.884455,9251.529904,9539.175352,9720.285449,9901.395546,10082.50564,10263.61574,10444.72584,11104.56558,11764.40531,12424.24505,13084.08479,13743.92453,14403.76427,15063.604,15723.44374,16383.28348,17043.12322,17702.96296,18362.80269,19022.64243,19682.48217,20342.32191,21002.16164,21662.00138,22321.84112
CenterAna,Energy,44643.86683,48004.99315,49709.53657,51414.07999,53118.62341,54823.16683,56527.71024,57600.94129,58674.17233,59747.40337,60820.63441,61893.86545,65803.97593,69714.08641,73624.19689,77534.30737,81444.41785,85354.52833,89264.63881,93174.74929,97084.85977,100994.9703,104905.0807,108815.1912,112725.3017,116635.4122,120545.5227,124455.6331,128365.7436,132275.8541
CenterBlack,Peak,2681.721361,2883.62153,2986.012089,3088.402649,3190.793208,3293.183767,3395.574326,3460.042456,3524.510586,3588.978716,3653.446846,3717.914976,3952.792184,4187.669392,4422.5466,4657.423808,4892.301016,5127.178224,5362.055433,5596.932641,5831.809849,6066.687057,6301.564265,6536.441473,6771.318681,7006.195889,7241.073097,7475.950305,7710.827513,7945.704721
CenterBlack,Energy,15891.47515,17087.90501,17694.65598,18301.40694,18908.15791,19514.90888,20121.65985,20503.68823,20885.71662,21267.74501,21649.77339,22031.80178,23423.64859,24815.49539,26207.3422,27599.18901,28991.03582,30382.88262,31774.72943,33166.57624,34558.42305,35950.26985,37342.11666,38733.96347,40125.81028,41517.65708,42909.50389,44301.3507,45693.19751,47085.04431
Trakia,Peak,9262.995744,9960.383784,10314.05338,10667.72298,11021.39258,11375.06218,11728.73177,11951.41263,12174.09349,12396.77435,12619.4552,12842.13606,13653.43086,14464.72565,15276.02044,16087.31524,16898.61003,17709.90482,18521.19962,19332.49441,20143.78921,20955.084,21766.37879,22577.67359,23388.96838,24200.26317,25011.55797,25822.85276,26634.14756,27445.44235
Trakia,Energy,54891.11166,59023.7277,61119.52024,63215.31278,65311.10532,67406.89786,69502.6904,70822.26349,72141.83657,73461.40965,74780.98273,76100.55581,80908.16604,85715.77627,90523.38651,95330.99674,100138.607,104946.2172,109753.8274,114561.4377,119369.0479,124176.6581,128984.2684,133791.8786,138599.4888,143407.0991,148214.7093,153022.3195,157829.9297,162637.54
Georgia,Peak,2474.14,2570.0,2663.44,2762.19,2857.7,2899.99,3090.69,3109.0,3195.82,3301.19,3397.52,3493.85,3579.2,3590.61,3775.51,3818.24,3904.65,4021.79,4142.45,4266.72,4394.72,4526.56,4662.36,4802.23,4946.3,5094.69,5247.53,5404.95,5567.1,5734.11
Georgia,Energy,15264.97,15775.63,16313.92,16884.35,17487.94,18131.21,18824.63,19171.59,19718.28,20264.97,20811.66,21358.35,21905.04,22451.73,22998.42,23545.11,24091.8,24814.55,25558.99,26325.76,27115.53,27929.0,28766.87,29629.88,30518.77,31434.33,32377.36,33348.69,34349.15,35379.62
Armenia,Peak,1390.0,1444.0,1499.0,1553.0,1607.0,1661.0,1716.0,1731.0,1746.0,1761.0,1775.0,1790.0,1806.0,1822.0,1837.0,1853.0,1869.0,1891.0,1913.0,1936.0,1958.0,1980.0,2005.0,2030.0,2055.0,2080.0,2105.0,2130.0,2155.0,2180.0
Armenia,Energy,6650.0,6721.0,6792.0,6862.0,6933.0,7004.0,7075.0,7155.0,7235.0,7315.0,7394.0,7474.0,7560.0,7645.0,7731.0,7816.0,7902.0,8011.0,8121.0,8230.0,8340.0,8449.0,8573.0,8697.0,8822.0,8946.0,9070.0,9194.0,9318.0,9443.0
AzerbaijanMain,Peak,5164.31,5261.99,5361.52,5462.94,5566.27,5671.56,5778.83,5888.15,5999.51,6113.0,6228.63,6346.44,6466.48,6588.8,6713.42,6840.41,6969.8,7101.63,7235.96,7372.83,7512.29,7654.38,7799.16,7946.68,8097.0,8250.16,8406.21,8565.21,8727.23,8892.3
Nakhchivan,Peak,84.0,85.59,87.21,88.86,90.54,92.25,94.0,95.77,97.59,99.43,101.31,103.23,105.18,107.17,109.2,111.26,113.37,115.51,117.7,119.92,122.19,124.5,126.86,129.26,131.7,134.19,136.73,139.32,141.95,144.64
AzerbaijanMain,Energy,26165.62,26660.54,27164.83,27678.66,28202.19,28735.64,29279.18,29833.0,30397.3,30972.26,31558.1,32155.03,32763.25,33382.96,34014.4,34657.78,35313.35,35981.29,36661.89,37355.35,38061.92,38781.88,39515.44,40262.87,41024.44,41800.42,42591.09,43396.7,44217.55,45053.93
Nakhchivan,Energy,500.0,509.46,519.09,528.91,538.92,549.11,559.5,570.08,580.86,591.85,603.05,614.45,626.07,637.92,649.98,662.28,674.8,687.57,700.57,713.82,727.33,741.08,755.1,769.39,783.94,798.77,813.87,829.27,844.96,860.94
Romania,Peak,10843.48,10705.01,10568.3,10433.34,10300.1,10168.57,10038.71,9910.52,9783.96,9659.01,9535.66,9413.89,9293.67,9174.99,9057.82,8942.15,8827.96,8715.22,8603.92,8494.05,8385.58,8278.49,8172.77,8068.4,7965.37,7863.65,7763.23,7664.09,7566.22,7469.59
Romania,Energy,55093.56,54390.0,53695.42,53009.72,52332.77,51664.46,51004.69,50353.35,49710.32,49075.5,48448.79,47830.09,47219.28,46616.28,46020.98,45433.27,44853.08,44280.29,43714.82,43156.57,42605.45,42061.36,41524.22,40993.95,40470.44,39953.62,39443.4,38939.7,38442.43,37951.51
Bulgaria,Peak,7197.67,7189.81,7181.97,7174.13,7166.3,7158.48,7150.66,7142.86,7135.06,7127.28,7119.5,7111.73,7103.96,7096.21,7088.47,7080.73,7073.0,7065.28,7057.57,7049.87,7042.17,7034.49,7026.81,7019.14,7011.48,7003.83,6996.19,6988.55,6980.92,6973.3
Bulgaria,Energy,36569.91,36530.0,36490.13,36450.31,36410.52,36370.78,36331.09,36291.44,36251.83,36212.26,36172.74,36133.26,36093.83,36054.43,36015.08,35975.77,35936.51,35897.29,35858.11,35818.97,35779.88,35740.83,35701.82,35662.86,35623.94,35585.06,35546.22,35507.42,35468.67,35429.96
