g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2,,MaxTotalBuild,MinUtilization,RETech
Rusumo_Falls,Burundi,ReservoirHydro,Water,1,2024,2055,50,27,0,0,0,0,3.3,50000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Maramvya,Burundi,PV,Solar,3,2027,2055,25,50,0,50,0,0,0.8,15000,0,0,0,1,1,0,0,,,,,,,,,0,,50,0,1
Dama015,Burundi,ROR,Water,3,2027,2055,50,5,0,4.9,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,4.9,0.05,0
Kabu16,Burundi,ROR,Water,1,2027,2055,50,20,0,20,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,20,0.05,0
Kabu23,Burundi,ROR,Water,3,2027,2055,50,16,0,15.5,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,15.5,0.05,0
Kirasa-karonge,Burundi,ROR,Water,3,2022,2055,50,16,0,16,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,16,0,0
Mpanda_BUR,Burundi,ROR,Water,3,2027,2055,50,10,0,10.4,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,10.4,0.05,0
Mule037_(Mulembwe),Burundi,ROR,Water,3,2027,2055,50,9,0,9,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,9,0,0
Mulembwe,Burundi,ROR,Water,3,2027,2055,50,17,0,17,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,17,0,0
Mushara,Burundi,ROR,Water,3,2027,2055,50,3,0,2.5,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,2.5,0,0
Sigu011,Burundi,ROR,Water,3,2027,2055,50,12,0,12.1,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,12.1,0,0
Waga_(Kanka),Burundi,ROR,Water,3,2027,2055,50,1,0,0.8,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,0.8,0,0
Centrale_tourbe_(Kayanza),Burundi,ST,Peat,3,2027,2055,30,15,0,15,0,9.4,2,60000,2,0,0,1,1,0,0.2,,,,,,,,,0,,15,0.4,0
Jiji,Burundi,ROR,Water,3,2027,2055,50,33,0,32.5,0,0,2.8,40000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,32.5,0.05,0
Ruvyi102_(Ruvyironza),Burundi,ReservoirHydro,Water,3,2027,2055,50,2,0,1.65,0,0,3.3,50000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,1.65,0,0
Centrale_thermique_(Dechets_Municipaux),Burundi,ST,Waste,3,2028,2055,30,15,0,15,0,12.5,2,100000,2.5,0,0,1,1,0,0.2,,,,,,,,,0,,15,0.05,0
