gen,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Isimba_HPP,Q4,d1,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333
Isimba_HPP,Q4,d2,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333
Isimba_HPP,Q4,d3,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333
Isimba_HPP,Q4,d4,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333
Isimba_HPP,Q4,d5,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333,0.679333333
Kakaka_HPP,Q1,d1,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556
Kakaka_HPP,Q1,d2,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556
Kakaka_HPP,Q1,d3,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556
Kakaka_HPP,Q1,d4,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556
Kakaka_HPP,Q1,d5,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556,0.316555556
Kakaka_HPP,Q2,d1,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667
Kakaka_HPP,Q2,d2,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667
Kakaka_HPP,Q2,d3,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667
Kakaka_HPP,Q2,d4,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667
Kakaka_HPP,Q2,d5,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667,0.504166667
