country,limit
Tanzania,125
Uganda,130
Kenya,160
Ethiopia,150
Sudan,100
Rwanda,50
Burundi,20
SouthSudan,20
DRC,30
Djibouti,30
Egypt,3000
Libya,200
Sonalia,50
