g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
BESS_1_2_3,Kenya,Storage,Battery,,2,2024,2052,20,250,0,250,1000,0,0.85,,,,,290,0,0,,,,,,,,,,,,,
BESS_4,Kenya,Storage,Battery,,3,2026,2052,20,250,0,250,1000,0,0.85,,,,,290,0,0,,,,,,,,,,,,,
Generic BESS,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
NN_BAT,,,,,,,,20,,,,400000,,0.85,,,,,200.8333333,0,0,,,,,,,,,,,,,
Pumped Hydro,,,,,,,,60,,,,3000,,0.8,,,,,150,0,0,,,,,,,,,,,,,
Hydro pumped storage (11.16 MW),,,,,,,,60,,,,3000,,0.8,,,,,150,0,0,,,,,,,,,,,,,
Batt_GENC_DJI,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_DRE,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_EGY,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_ETH,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_KEN,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
EPPT_GENC_LIB,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_LIB,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_MOG,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_RWA,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_SOM,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_SOR,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_SOU,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_SUD,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
BESS_TZA_Candidate,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_UGA,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Battery_5MW_DJI,,,,,,,,20,,,,25,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Generic_GENC_BAT,,,,,,,,20,,,,400000,,0.85,,,,,200.8333333,0,0,,,,,,,,,,,,,
Generic_GENC_BESS,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Pumped_Hydro,,,,,,,,60,,,,3000,,0.8,,,,,150,0,0,,,,,,,,,,,,,
Hydro_pumped_storage_(11.16_MW),,,,,,,,60,,,,3000,,0.8,,,,,150,0,0,,,,,,,,,,,,,
BESS_generic,,,,,,,,60,,,,200000,,0.8,,,,,150,0,0,,,,,,,,,,,,,
PSH_generic,,,,,,,,20,,,,21000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
