zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Burundi,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Burundi,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Burundi,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Burundi,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Burundi,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Burundi,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Burundi,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Burundi,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Burundi,PV,Solar,0,,,,,,15000,0,0,0.8,25
Burundi,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Burundi,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Burundi,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Burundi,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Burundi,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Burundi,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Burundi,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Burundi,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Burundi,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Burundi,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Burundi,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Burundi,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Burundi,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Burundi,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Burundi,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Burundi,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Burundi,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Burundi,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Burundi,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Burundi,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Burundi,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Burundi,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
