gen	Q1	Q2	Q3	Q4
HFO_Aggregate_DJI	0.49	0.49	0.49	0.49
MaraboutG01	0.49	0.49	0.49	0.49
MaraboutG12	0.49	0.49	0.49	0.49
MaraboutG13	0.49	0.49	0.49	0.49
MaraboutG14	0.49	0.49	0.49	0.49
MaraboutG15	0.49	0.49	0.49	0.49
MaraboutG16	0.49	0.49	0.49	0.49
MaraboutG17	0.49	0.49	0.49	0.49
MaraboutG18	0.49	0.49	0.49	0.49
MaraboutG21	0.49	0.49	0.49	0.49
MaraboutG22	0.49	0.49	0.49	0.49
MaraboutG23	0.49	0.49	0.49	0.49
MaraboutG24	0.49	0.49	0.49	0.49
MaraboutG25	0.49	0.49	0.49	0.49
MaraboutG31	0.49	0.49	0.49	0.49
MaraboutG32	0.95	0.95	0.95	0.95
Wind_on	0.99	0.99	0.99	0.99
Akuo	0.99	0.99	0.99	0.99
Battery_5MW_DJI	0.8	0.8	0.8	0.8
HFO_Project_01_DJI	0.8	0.8	0.8	0.8
HFO_Project_02_DJI	0.8	0.8	0.8	0.8
HFO_Project_03_DJI	0.8	0.8	0.8	0.8
HFO_Project_04_DJI	0.8	0.8	0.8	0.8
HFO_Project_05_DJI	0.9	0.9	0.9	0.9
CCGT	0.9	0.9	0.9	0.9
PolyGCL1	0.99	0.99	0.99	0.99
Geoth	0.9	0.9	0.9	0.9
Centrale_bifuel1	0.9	0.9	0.9	0.9
Centrale_bifuel2	0.9	0.9	0.9	0.9
Centrale_bifuel3	0.9	0.9	0.9	0.9
OCGT	0.99	0.99	0.99	0.99
Solar_2	0.99	0.99	0.99	0.99
Wind_2	0.46	0.51	0.43	0.44
Lubero	0.46	0.51	0.43	0.44
LungudiII	0.46	0.51	0.43	0.44
Matebe	0.46	0.51	0.43	0.44
Ruzizi_III_DRC	0.52	0.6	0.44	0.44
VIRUNGATalyiaNord1TalyiaNord2Ivugha	0.64	0.73	0.54	0.53
Ruzizi_I_DRC	0.52	0.6	0.44	0.44
Ruzizi_II_DRCMutwanga	0.95	0.95	0.95	0.95
GENC_CCGT	0.95	0.95	0.95	0.95
GENC_CCS	0.99	0.99	0.99	0.99
GENC_CSP	0.95	0.95	0.95	0.95
Generic_GENC_GT	0.95	0.95	0.95	0.95
Generic_GENC_RICE	0.98	0.98	0.98	0.98
Generic_GENC_2024_PV	0.95	0.95	0.95	0.95
NN-DIE_ST	0.95	0.95	0.95	0.95
NN-HFO_ST	0.55	0.55	0.55	0.55
NN_HY	0.99	0.99	0.99	0.99
Generic_GENC_BAT	0.96	0.96	0.96	0.96
Generic_GENC_2024_WI	0.96	0.96	0.96	0.96
NN_OSW	0.98	0.98	0.98	0.98
ACWA-POWER_PV	0.98	0.98	0.98	0.98
AMYA-POWER_PV	0.94	0.94	0.94	0.94
El-Dabaa_NPP-1_NU	0.94	0.94	0.94	0.94
El-Dabaa_NPP-2_NU	0.94	0.94	0.94	0.94
El-Dabaa_NPP-3_NU	0.94	0.94	0.94	0.94
El-Dabaa_NPP-4_NU	0.96	0.96	0.96	0.96
ACWA-Power_WI	0.96	0.96	0.96	0.96
AMYA-POWER_WI	0.96	0.96	0.96	0.96
Engie-Orasco-Toyota_WI	0.96	0.96	0.96	0.96
Masdar_WI	0.96	0.96	0.96	0.96
Siemens-Gamesa_WI	0.95	0.95	0.95	0.95
6Oct-Ext-1_CCGT	0.95	0.95	0.95	0.95
6Oct-Ext-2_CCGT	0.95	0.95	0.95	0.95
Banha_CCGT	0.95	0.95	0.95	0.95
Beni-Suef-1_CCGT	0.95	0.95	0.95	0.95
Beni-Suef-2_CCGT	0.95	0.95	0.95	0.95
Beni-Suef-3_CCGT	0.95	0.95	0.95	0.95
Beni-Suef-4_CCGT	0.95	0.95	0.95	0.95
Burullus-1_CCGT	0.95	0.95	0.95	0.95
Burullus-2_CCGT	0.95	0.95	0.95	0.95
Burullus-3_CCGT	0.95	0.95	0.95	0.95
Burullus-4_CCGT	0.95	0.95	0.95	0.95
Cairo-North-1_CCGT	0.95	0.95	0.95	0.95
Cairo-North-2_CCGT	0.95	0.95	0.95	0.95
Cairo-South_CCGT	0.95	0.95	0.95	0.95
Daman-Hour_CCGT	0.95	0.95	0.95	0.95
Damietta-1_CCGT	0.95	0.95	0.95	0.95
Damietta-2_CCGT	0.95	0.95	0.95	0.95
El-Atf_CCGT	0.95	0.95	0.95	0.95
Giza-1_CCGT	0.95	0.95	0.95	0.95
Giza-2_CCGT	0.95	0.95	0.95	0.95
Giza-3_CCGT	0.95	0.95	0.95	0.95
Kuriemat-1_CCGT	0.95	0.95	0.95	0.95
Kuriemat-2_CCGT	0.95	0.95	0.95	0.95
Mahmoudeya_CCGT	0.95	0.95	0.95	0.95
New-Capital-1_CCGT	0.95	0.95	0.95	0.95
New-Capital-2_CCGT	0.95	0.95	0.95	0.95
New-Capital-3_CCGT	0.95	0.95	0.95	0.95
New-Capital-4_CCGT	0.95	0.95	0.95	0.95
New-Shabab-1_CCGT	0.95	0.95	0.95	0.95
New-Shabab-2_CCGT	0.95	0.95	0.95	0.95
New-Shabab-3_CCGT	0.95	0.95	0.95	0.95
Nubaria-1_CCGT	0.95	0.95	0.95	0.95
Nubaria-2_CCGT	0.95	0.95	0.95	0.95
Nubaria-3_CCGT	0.95	0.95	0.95	0.95
Sidi-Kirir_CCGT	0.95	0.95	0.95	0.95
Talkha_CCGT	0.95	0.95	0.95	0.95
Talkha-2_CCGT	0.95	0.95	0.95	0.95
West-Assiut-1_CCGT	0.95	0.95	0.95	0.95
West-Assiut-2_CCGT	0.95	0.95	0.95	0.95
West-Damietta_CCGT	0.95	0.95	0.95	0.95
West-Damietta-Ext_CCGT	0.99	0.99	0.99	0.99
Kuriemat_CSP	0.95	0.95	0.95	0.95
6Oct-1_GT	0.95	0.95	0.95	0.95
6Oct-2_GT	0.95	0.95	0.95	0.95
Abu-Qir_GT	0.95	0.95	0.95	0.95
Ataga-Ext-1_GT	0.95	0.95	0.95	0.95
Ataga-Ext-2_GT	0.95	0.95	0.95	0.95
Bany-Ghaleb_GT	0.95	0.95	0.95	0.95
Cairo-South_GT	0.95	0.95	0.95	0.95
East-Cario_GT	0.95	0.95	0.95	0.95
EL-Basateen_GT	0.95	0.95	0.95	0.95
El-Masaeed_GT	0.95	0.95	0.95	0.95
Gerga_GT	0.95	0.95	0.95	0.95
Heliopoles_GT	0.95	0.95	0.95	0.95
Hurgha-da_GT	0.95	0.95	0.95	0.95
Hurgha-da-Ext_GT	0.95	0.95	0.95	0.95
New-Assiut_GT	0.95	0.95	0.95	0.95
New-Gas-Damietta_GT	0.95	0.95	0.95	0.95
New-Mahmoudeya_GT	0.95	0.95	0.95	0.95
Port-Said_GT	0.95	0.95	0.95	0.95
Red-Assiut_GT	0.95	0.95	0.95	0.95
Samalout_GT	0.95	0.95	0.95	0.95
Shabab_GT	0.95	0.95	0.95	0.95
Sharm-El-Sheikh_GT	0.95	0.95	0.95	0.95
Sharm-El-Sheikh-Ext_GT	0.95	0.95	0.95	0.95
Shoub_GT	0.95	0.95	0.95	0.95
Wadi_GT	0.95	0.95	0.95	0.95
West-Malawy_GT	0.98	0.98	0.98	0.98
Benban_PV	0.98	0.98	0.98	0.98
Kom-Ombo_PV	0.55	0.55	0.55	0.55
Assiut_HY	0.9	0.9	0.9	0.9
Abu-Qir-New-1_ST	0.9	0.9	0.9	0.9
Abu-Qir-New-2_ST	0.9	0.9	0.9	0.9
Ain-Sokhna-1_ST	0.9	0.9	0.9	0.9
Ain-Sokhna-2_ST	0.9	0.9	0.9	0.9
Arish_ST	0.9	0.9	0.9	0.9
Cairo-West-Ext-1_ST	0.9	0.9	0.9	0.9
Cairo-West-Ext-2_ST	0.9	0.9	0.9	0.9
El-Tibeen_ST	0.9	0.9	0.9	0.9
