,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Burundi,Diesel,12.53292118,18.13425469,29.98903883,24.0688917,22.76806136,22.08451313,22.05305199,22.02204994,21.99106006,21.96007049,21.92908094,21.89809139,21.70177638,21.50534828,21.30891718,21.112486,20.91605481,20.71962363,20.52319244,20.32676126,20.13033008,19.93389889,19.73746771,19.54103652,19.34460534,19.14817416,18.95174297,18.75531179,18.55888061,18.36244942,18.16601824
Burundi,Peat,5.713805282,8.419158858,13.6504244,10.01305653,8.936540354,8.268841348,7.601149963,6.933458647,6.265767332,5.598076017,4.930384701,4.892167492,4.853950963,4.81573444,4.777517917,4.739301395,4.721375965,4.703450672,4.685525381,4.66760009,4.649674799,4.63498536,4.620295783,4.605606204,4.590916626,4.576227048,4.56248844,4.548749818,4.535011197,4.521272575,4.507533953
Burundi,HFO,7.573107273,13.29888339,15.72300471,14.80193356,14.03221183,13.62707393,13.60868275,13.59030156,13.57192073,13.5535399,13.53515907,13.51677825,13.4002716,13.28376251,13.16725333,13.05074415,12.93423497,12.8177258,12.70121662,12.58470744,12.46819826,12.35168908,12.23517991,12.11867073,12.00216155,11.88565237,11.76914319,11.65263402,11.53612484,11.41961566,11.30310648
Burundi,Coal,5.713805282,8.419158858,13.6504244,10.01305653,8.936540354,8.268841348,7.601149963,6.933458647,6.265767332,5.598076017,4.930384701,4.892167492,4.853950963,4.81573444,4.777517917,4.739301395,4.721375965,4.703450672,4.685525381,4.66760009,4.649674799,4.63498536,4.620295783,4.605606204,4.590916626,4.576227048,4.56248844,4.548749818,4.535011197,4.521272575,4.507533953
Djibouti,coal,5.713805282,8.419158858,13.6504244,10.01305653,8.936540354,8.268841348,7.601149963,6.933458647,6.265767332,5.598076017,4.930384701,4.892167492,4.853950963,4.81573444,4.777517917,4.739301395,4.721375965,4.703450672,4.685525381,4.66760009,4.649674799,4.63498536,4.620295783,4.605606204,4.590916626,4.576227048,4.56248844,4.548749818,4.535011197,4.521272575,4.507533953
Djibouti,Diesel,12.24455091,18.16208832,27.6906545,24.83881351,21.41748202,21.08605704,20.7551282,20.42420384,20.09327953,19.76235522,19.43143091,19.37575375,19.32012087,19.26448839,19.20885591,19.15322344,19.15321441,19.15321433,19.15321433,19.15321433,19.15321433,19.09759088,19.04195849,18.98632601,18.93069354,18.87506106,18.81386624,18.75267053,18.6914748,18.63027908,18.56908336
Djibouti,Gas,1089.1098,1089.1098,1089.1098,1089.1098,1089.1098,1089.1098,13.21333344,13.02579087,12.83824829,12.65070571,12.46316313,12.4316349,12.40010667,12.36857844,12.33705021,12.30552198,12.30552198,12.30552198,12.30552198,12.30552198,12.30552198,12.27399375,12.24246552,12.21093729,12.17940906,12.14788083,12.11319977,12.07851872,12.04383767,12.00915661,11.97447556
Djibouti,HFO,9.296249626,14.03705797,16.14380789,14.55439651,12.6488484,12.46453758,12.28023145,12.09592536,11.91161927,11.72731319,11.5430071,11.51202254,11.4810384,11.45005427,11.41907013,11.388086,11.38808591,11.38808591,11.38808591,11.38808591,11.38808591,11.35710186,11.32611772,11.29513359,11.26414945,11.23316532,11.19908277,11.16500022,11.13091768,11.09683513,11.06275258
Djibouti,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,Diesel,12.53292118,18.13425469,29.98903883,24.0688917,22.76806136,22.08451313,22.05305199,22.02204994,21.99106006,21.96007049,21.92908094,21.89809139,21.70177638,21.50534828,21.30891718,21.112486,20.91605481,20.71962363,20.52319244,20.32676126,20.13033008,19.93389889,19.73746771,19.54103652,19.34460534,19.14817416,18.95174297,18.75531179,18.55888061,18.36244942,18.16601824
DRC,HFO,7.573107273,13.29888339,15.72300471,14.80193356,14.03221183,13.62707393,13.60868275,13.59030156,13.57192073,13.5535399,13.53515907,13.51677825,13.4002716,13.28376251,13.16725333,13.05074415,12.93423497,12.8177258,12.70121662,12.58470744,12.46819826,12.35168908,12.23517991,12.11867073,12.00216155,11.88565237,11.76914319,11.65263402,11.53612484,11.41961566,11.30310648
DRC_E,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_E,Diesel,12.53292118,18.13425469,29.98903883,24.0688917,22.76806136,22.08451313,22.05305199,22.02204994,21.99106006,21.96007049,21.92908094,21.89809139,21.70177638,21.50534828,21.30891718,21.112486,20.91605481,20.71962363,20.52319244,20.32676126,20.13033008,19.93389889,19.73746771,19.54103652,19.34460534,19.14817416,18.95174297,18.75531179,18.55888061,18.36244942,18.16601824
DRC_E,HFO,7.573107273,13.29888339,15.72300471,14.80193356,14.03221183,13.62707393,13.60868275,13.59030156,13.57192073,13.5535399,13.53515907,13.51677825,13.4002716,13.28376251,13.16725333,13.05074415,12.93423497,12.8177258,12.70121662,12.58470744,12.46819826,12.35168908,12.23517991,12.11867073,12.00216155,11.88565237,11.76914319,11.65263402,11.53612484,11.41961566,11.30310648
DRC_Iso,Coal,3.324229419,3.140850566,2.961373391,2.797502926,2.63753414,2.489270386,2.363636364,2.238002341,2.112368318,1.986734296,1.861100273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_Iso,Diesel,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_Iso,HFO,11.81691302,11.81691302,11.81691302,11.81691302,11.81691302,14.8792228,14.8792228,14.8792228,14.8792228,14.8792228,14.8792228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_S,Coal,3.324229419,3.140850566,2.961373391,2.797502926,2.63753414,2.489270386,2.363636364,2.238002341,2.112368318,1.986734296,1.861100273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_S,Diesel,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_S,HFO,11.81691302,11.81691302,11.81691302,11.81691302,11.81691302,14.8792228,14.8792228,14.8792228,14.8792228,14.8792228,14.8792228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_W,Coal,3.324229419,3.140850566,2.961373391,2.797502926,2.63753414,2.489270386,2.363636364,2.238002341,2.112368318,1.986734296,1.861100273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_W,Diesel,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,32.22147169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRC_W,HFO,11.81691302,11.81691302,11.81691302,11.81691302,11.81691302,14.8792228,14.8792228,14.8792228,14.8792228,14.8792228,14.8792228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGYPT,Diesel,10.63262714,16.14995988,26.43824737,20.23165166,19.09521629,18.49713671,18.46998235,18.44284793,18.41571363,18.38857933,18.36144503,18.33431073,18.1623216,17.99032744,17.81833326,17.64633907,17.47434488,17.3023507,17.13035651,16.95836232,16.78636814,16.61437395,16.44237977,16.27038558,16.09839139,15.92639721,15.75440302,15.58240883,15.41041465,15.23842046,15.06642628
EGYPT,Gas,0,6.767334202,6.32429573,6.1,5.964876566,5.964876566,6.405161241,5.551397453,5.178219277,4.805041102,4.431862926,4.393856138,4.35584935,4.317842563,4.279835775,4.241828987,4.203822199,4.165815412,4.127808624,4.089801836,4.051795048,4.013788261,4,4,4,4,4,4,4,4,4
EGYPT,GasCCS,0,6.767334202,6.32429573,6.1,5.964876566,5.964876566,6.405161241,5.551397453,5.178219277,4.805041102,4.431862926,4.393856138,4.35584935,4.317842563,4.279835775,4.241828987,4.203822199,4.165815412,4.127808624,4.089801836,4.051795048,4.013788261,4,4,4,4,4,4,4,4,4
EGYPT,HFO,6.352825051,11.6079867,14.17383915,13.36529276,12.62114083,12.22944753,12.21167398,12.19390266,12.17613142,12.15836018,12.14058894,12.12281771,12.01017305,11.89752784,11.78488261,11.67223739,11.55959216,11.44694694,11.33430171,11.22165649,11.10901126,10.99636603,10.88372081,10.77107558,10.65843036,10.54578513,10.43313991,10.32049468,10.20784945,10.09520423,9.982559002
EGYPT,Uranium,0,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384,1.370971384
Ethiopia,Coal,5.713805282,8.419158858,13.6504244,10.01305653,8.936540354,8.268841348,7.601149963,6.933458647,6.265767332,5.598076017,4.930384701,4.892167492,4.853950963,4.81573444,4.777517917,4.739301395,4.721375965,4.703450672,4.685525381,4.66760009,4.649674799,4.63498536,4.620295783,4.605606204,4.590916626,4.576227048,4.56248844,4.548749818,4.535011197,4.521272575,4.507533953
