zone,tech,fuel,Q1,Q2,Q3,Q4
Burundi,Storage,Battery,1,1,1,1
Djibouti,Storage,Battery,1,1,1,1
Drc_E,Storage,Battery,1,1,1,1
Egypt,Storage,Battery,1,1,1,1
Ethiopia,Storage,Battery,1,1,1,1
Kenya,Storage,Battery,1,1,1,1
Libya,Storage,Battery,1,1,1,1
Mogadishu,Storage,Battery,1,1,1,1
Rwanda,Storage,Battery,1,1,1,1
SomaliaROC,Storage,Battery,1,1,1,1
Somaliland,Storage,Battery,1,1,1,1
SouthSudan,Storage,Battery,1,1,1,1
Sudan,Storage,Battery,1,1,1,1
Tanzania,Storage,Battery,1,1,1,1
Uganda,Storage,Battery,1,1,1,1
Burundi,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Djibouti,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Drc_E,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Egypt,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Ethiopia,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Kenya,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Libya,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Mogadishu,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Rwanda,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
SomaliaROC,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Somaliland,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
SouthSudan,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Sudan,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Tanzania,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Uganda,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Burundi,ST,Biomass,0.85,0.85,0.85,0.85
Djibouti,ST,Biomass,0.85,0.85,0.85,0.85
Drc_E,ST,Biomass,0.85,0.85,0.85,0.85
Egypt,ST,Biomass,0.85,0.85,0.85,0.85
