zone,tech,fuel,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
BiH,ST,Coal,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
BiH,ST,Lignite,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
BiH,OCGT,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,CCGT,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,OCGT,Diesel,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,OCGT,HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,BiomassPlant,Biomass,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,PV,Solar,1,1,1,1,1,1,1,1,1,1,1,1
BiH,CSPPlant,CSP,1,1,1,1,1,1,1,1,1,1,1,1
BiH,OnshoreWind,Wind,1,1,1,1,1,1,1,1,1,1,1,1
BiH,OffshoreWind,Wind,1,1,1,1,1,1,1,1,1,1,1,1
BiH,Storage,Battery,1,1,1,1,1,1,1,1,1,1,1,1
BiH,Storage,Water,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,ReservoirHydro,Water,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,ROR,Water,1,1,1,1,1,1,1,1,1,1,1,1
BiH,ICE,Diesel,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,ICE,HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BiH,ICE,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
