gen,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
HPP Jablanica,0.382463176,0.517073295,0.723992496,0.512824092,0.516284932,0.45358647,0.27574448,0.27614786,0.322745113,0.529567359,0.64194162,0.56797024
HPP Grabovica,0.235908913,0.320361273,0.398191233,0.290262018,0.283850113,0.238422344,0.145654235,0.15002425,0.167661067,0.298654268,0.374081642,0.328270991
HPP Salakovac,0.181035893,0.330192063,0.359997952,0.218466693,0.243901767,0.18022045,0.084189427,0.071230492,0.084813201,0.197361854,0.328337778,0.210508628
HPP Salakovac Rehab,0.181035893,0.330192063,0.359997952,0.218466693,0.243901767,0.18022045,0.084189427,0.071230492,0.084813201,0.197361854,0.328337778,0.210508628
HPP Rama,0.436761385,0.180712841,0.467560958,0.269132721,0.225141366,0.487127083,0.349659037,0.452586338,0.570661887,0.616145636,0.75038799,0.712356025
HPP Mostar,0.354348535,0.570525486,0.59050142,0.400732023,0.453224197,0.344033431,0.194787653,0.17410783,0.190928619,0.345469465,0.50243748,0.372612525
HPP Jajce 1,0.476587231,0.681522569,0.809867944,0.633486875,0.580341555,0.393674144,0.269506855,0.217416622,0.273089815,0.374733177,0.537329468,0.352841039
HPP Jajce 2,0.560345265,0.723391218,0.828189918,0.708202544,0.717654827,0.514842389,0.460005052,0.390427529,0.370634947,0.442447347,0.678976332,0.488396451
HPP Jajce 2 Rehab,0.560345265,0.723391218,0.828189918,0.708202544,0.717654827,0.514842389,0.460005052,0.390427529,0.370634947,0.442447347,0.678976332,0.488396451
HPP Pec-Mlini,0.138401592,0.459134133,0.601740064,0.218778595,0.174330461,0.152118736,0.041945762,0.01693746,0.002932734,0.001487192,0.170177968,0.076261332
HPP Visegrad,0.289998293,0.528184051,0.75697218,0.512107584,0.610786824,0.324188713,0.185628947,0.183444274,0.190132275,0.275081072,0.569223986,0.277129203
HPP Bocac,0.236112916,0.395424112,0.503451621,0.329887504,0.362931473,0.191567547,0.169,0.161572593,0.141141667,0.190169355,0.298825004,0.16293952
HPP Trebinje 1,0.229273533,0.189914265,0.381273156,0.359562768,0.11026561,0.419194347,0.418207508,0.357102622,0.305634893,0.279659593,0.244291131,0.306963497
HPP Dubrovnik,0.868800329,0.681650794,0.89168095,0.711962202,0.203948615,0.835672906,0.801363234,0.75124537,0.75700894,0.730815956,0.808836684,0.708855948
