zone,fuel,2023,2025,2030,2035,2040,2045,2050
Albania,Coal,3.583852729,3.576920015,3.482808222,3.494238453,3.498341623,3.506184163,3.506184163
BiH,Coal,3.583852729,3.576920015,3.482808222,3.494238453,3.498341623,3.506184163,3.506184163
Kosovo,Coal,3.583852729,3.576920015,3.482808222,3.494238453,3.498341623,3.506184163,3.506184163
Montenegro,Coal,3.583852729,3.576920015,3.482808222,3.494238453,3.498341623,3.506184163,3.506184163
N_Macedonia,Coal,3.583852729,3.576920015,3.482808222,3.494238453,3.498341623,3.506184163,3.506184163
Serbia,Coal,3.583852729,3.576920015,3.482808222,3.494238453,3.498341623,3.506184163,3.506184163
Albania,Gas,11.9,11.9,11.9,11.9,11.9,11.9,11.9
BiH,Gas,14.7,14.7,14.7,14.7,14.7,14.7,14.7
Kosovo,Gas,16.704448,16.704448,16.704448,16.704448,16.704448,16.704448,16.704448
Montenegro,Gas,16.704448,16.704448,16.704448,16.704448,16.704448,16.704448,16.704448
N_Macedonia,Gas,29.22,29.22,29.22,29.22,29.22,29.22,29.22
Serbia,Gas,11.86,11.86,11.86,11.86,11.86,11.86,11.86
Albania,Import,9999,9999,9999,9999,9999,9999,9999
BiH,Import,9999,9999,9999,9999,9999,9999,9999
Kosovo,Import,9999,9999,9999,9999,9999,9999,9999
Montenegro,Import,9999,9999,9999,9999,9999,9999,9999
N_Macedonia,Import,9999,9999,9999,9999,9999,9999,9999
Serbia,Import,9999,9999,9999,9999,9999,9999,9999
Albania,Biomass,6.268707995,193.3157052,23.29239805,19.29528047,12.07594739,14.50425454,17.68465825
BiH,Biomass,6.268707995,5.058424209,3.128377667,3.06248272,3.660516071,4.83115459,7.132337966
Kosovo,Biomass,6.268707995,10.11684842,7.219333079,7.666117215,5.232910534,6.285176968,16.67329404
Montenegro,Biomass,6.268707995,5.058424209,7.219333079,3.788140863,3.665322229,4.837497764,5.851731956
N_Macedonia,Biomass,6.268707995,10.11684842,7.219333079,9.647640233,12.07594739,8.053117425,7.225094086
Serbia,Biomass,6.268707995,5.058424209,7.219333079,4.180644101,3.464534698,9.529941683,16.67329404
Albania,Diesel,10.25258528,10.27282608,11.65095706,12.60147751,12.7821225,12.83639445,12.80586868
BiH,Diesel,10.25258528,10.27282608,11.65095706,12.60147751,12.7821225,12.83639445,13.38496273
Kosovo,Diesel,10.25258528,10.27282608,11.65095706,12.60147751,12.7821225,12.83639445,13.38496273
Montenegro,Diesel,10.25258528,10.27282608,11.65095706,12.60147751,12.7821225,12.83639445,13.38496273
N_Macedonia,Diesel,10.25258528,10.27282608,11.65095706,12.60147751,12.7821225,12.83639445,13.38496273
Serbia,Diesel,10.25258528,10.27282608,11.65095706,11.71578786,11.89643285,11.98181588,12.95193749
