gen,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Wind_NewH_AL,m1,d1,0.04525,0.04525,0.05068,0.06154,0.10317,0.17376,0.25521,0.31675,0.36924,0.45974,0.52852,0.58463,0.64436,0.70771,0.72762,0.80002,0.95025,1,1,1,1,1,1,1
Wind_NewH_AL,m1,d2,0.23349,0.1991,0.14118,0.09774,0.08507,0.06335,0.04344,0.04344,0.0543,0.04887,0.04887,0.06516,0.11946,0.20272,0.28417,0.33485,0.37286,0.4163,0.45431,0.44707,0.39277,0.32942,0.28055,0.22263
Wind_NewH_AL,m1,d3,0.25883,0.22082,0.1991,0.20634,0.2172,0.20634,0.19005,0.15023,0.06335,0.09774,0.10498,0.09955,0.07421,0.04344,0.02896,0.0181,0.01991,0.02896,0.03982,0.07602,0.15204,0.31856,0.55205,0.80002
Wind_NewH_AL,m1,d4,1,1,1,1,0.86699,0.76201,0.7421,0.72581,0.8145,0.99369,1,1,1,1,1,1,0.99912,0.88871,0.69866,0.48327,0.362,0.31675,0.33304,0.32761
Wind_NewH_AL,m1,d5,0.0543,0.04887,0.0362,0.03077,0.04344,0.04525,0.05611,0.06335,0.06878,0.08869,0.14118,0.19729,0.25159,0.29684,0.35295,0.39277,0.41992,0.45431,0.4887,0.51766,0.53576,0.57015,0.59368,0.59368
Wind_NewH_AL,m1,d6,0.36381,0.36019,0.36743,0.32942,0.33485,0.39458,0.41268,0.40363,0.37105,0.30227,0.21539,0.17014,0.15566,0.17919,0.22625,0.27331,0.28779,0.26788,0.21358,0.21358,0.19548,0.13213,0.06878,0.04525
Wind_NewH_AL,m1,d7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.87061,0.69504,0.52309,0.38191,0.28779
Wind_NewH_AL,m2,d1,0.543,0.56291,0.60635,0.66427,0.75477,0.84708,0.97197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wind_NewH_AL,m2,d2,0.14118,0.17195,0.20272,0.20815,0.19186,0.17195,0.15747,0.13394,0.12308,0.10498,0.09774,0.10679,0.11946,0.1267,0.12308,0.11222,0.09412,0.07602,0.05611,0.03801,0.02353,0.01991,0.0181,0.0181
Wind_NewH_AL,m2,d3,1,0.97378,0.73124,0.58101,0.50318,0.49594,0.51585,0.51223,0.47784,0.45069,0.39277,0.32399,0.31132,0.28055,0.28055,0.28779,0.29684,0.30046,0.32761,0.38372,0.38372,0.39096,0.45431,0.5068
Wind_NewH_AL,m2,d4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99188,0.91043
Wind_NewH_AL,m2,d5,0.80907,0.73124,0.71314,0.6697,0.64255,0.68237,0.7059,0.72038,0.75296,0.75477,0.72943,0.73486,0.7964,0.90138,0.99369,1,1,1,0.95568,0.85432,0.79097,0.75658,0.73305,0.72581
Wind_NewH_AL,m2,d6,0.07602,0.07059,0.06878,0.06878,0.06335,0.0543,0.04706,0.03077,0.0181,0.01629,0.01267,0.00905,0.01086,0.01267,0.02353,0.03077,0.01991,0.00724,0.00543,0.00724,0.01086,0.01629,0.02172,0.02715
Wind_NewH_AL,m2,d7,0.26788,0.28417,0.29503,0.27693,0.2534,0.23168,0.20453,0.15747,0.11946,0.09593,0.10317,0.13937,0.20815,0.26969,0.32218,0.35476,0.36019,0.33123,0.30408,0.28417,0.26969,0.26426,0.25159,0.21901
Wind_NewH_AL,m3,d1,0.72581,0.72038,0.69323,0.68599,0.67875,0.65884,0.6335,0.66427,0.65884,0.58282,0.50318,0.45431,0.3982,0.33666,0.28417,0.22806,0.18281,0.15747,0.15385,0.15928,0.14842,0.12127,0.09955,0.08145
Wind_NewH_AL,m3,d2,0.20815,0.23711,0.29322,0.362,0.42897,0.48327,0.49232,0.543,0.62807,0.66065,0.60273,0.4525,0.26426,0.09774,0.09231,0.17014,0.22987,0.28055,0.31856,0.39639,0.50318,0.53214,0.50137,0.47784
Wind_NewH_AL,m3,d3,0.16652,0.13756,0.15566,0.16652,0.19005,0.25159,0.2896,0.30589,0.34752,0.40363,0.43259,0.42354,0.37105,0.30227,0.24435,0.1991,0.18643,0.20091,0.23711,0.26607,0.26426,0.28236,0.26245,0.20272
Wind_NewH_AL,m3,d4,0.03801,0.03982,0.03801,0.03258,0.02715,0.02715,0.02353,0.02715,0.07421,0.10498,0.13575,0.16471,0.18281,0.20453,0.21177,0.19367,0.19367,0.19005,0.18643,0.19729,0.22082,0.26788,0.32037,0.36019
Wind_NewH_AL,m3,d5,0.38372,0.40363,0.42173,0.45069,0.48689,0.5249,0.52671,0.58825,0.68237,0.72219,0.7421,0.75658,0.75115,0.74029,0.724,0.71495,0.74029,0.79097,0.8326,0.85432,0.85251,0.86699,0.88147,0.84527
