zone,tech,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Angola,PV,m1,d1,0,0,0,0,0,0,0.002902,0.104677,0.448842,0.682908,0.764697,0.703043,0.539488,0.377165,0.159186,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d2,0,0,0,0,0,0,0,0.022905,0.056118,0.125883,0.162616,0.142145,0.113355,0.07929,0.029675,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d3,0,0,0,0,0,0,0.006861,0.177767,0.214827,0.267142,0.277878,0.251262,0.219304,0.127743,0.040078,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d4,0,0,0,0,0,0,0.000111,0.031168,0.085306,0.126892,0.157681,0.166823,0.146888,0.102808,0.03483,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d5,0,0,0,0,0,0,0.000835,0.041205,0.118311,0.221498,0.265861,0.241255,0.133781,0.047178,0.009037,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d6,0,0,0,0,0,0,0.003183,0.051793,0.115541,0.165578,0.262086,0.32458,0.268248,0.178451,0.054106,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d7,0,0,0,0,0,0,0.008169,0.195993,0.463475,0.646527,0.71068,0.678992,0.487034,0.259831,0.077002,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d8,0,0,0,0,0,0,0.015536,0.160963,0.234898,0.284146,0.272563,0.229756,0.137467,0.060848,0.014454,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d9,0,0,0,0,0,0,0.002572,0.082831,0.24392,0.403587,0.474598,0.392707,0.243495,0.151576,0.041008,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d10,0,0,0,0,0,0,0.000722,0.037894,0.099203,0.152364,0.199584,0.219635,0.159477,0.101448,0.031136,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d11,0,0,0,0,0,0,0.002708,0.06904,0.155703,0.253611,0.315743,0.337845,0.288018,0.190454,0.057386,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d12,0,0,0,0,0,0,0.017936,0.16379,0.353987,0.473879,0.514842,0.540166,0.444227,0.264421,0.089939,0,0,0,0,0,0,0,0,0
Angola,PV,m1,d13,0,0,0,0,0,0,0.001377,0.037831,0.076231,0.102168,0.125051,0.217329,0.389435,0.409206,0.202638,0.001107,0,0,0,0,0,0,0,0
Angola,PV,m1,d14,0,0,0,0,0,0,0.000476,0.047088,0.167721,0.40891,0.570649,0.460943,0.243258,0.174313,0.065441,0,0,0,0,0,0,0,0,0
