paramNames,baseline
modeltype,MIP
cplexfile,input/data_libya/cplex/cplex_baseline.opt
pSettings,input/data_libya/pSettings.csv
y,input/data_libya/y.csv
zcmap,input/data_libya/zcmap.csv
pHours,input/data_libya/pHours.csv
pDemandProfile,input/data_libya/load/pDemandProfile.csv
pDemandData,input/data_libya/load/pDemandData.csv
pDemandForecast,input/data_libya/load/pDemandForecast.csv
sRelevant,input/data_libya/load/sRelevant.csv
pEnergyEfficiencyFactor,input/data_libya/load/pEnergyEfficiencyFactor.csv
pGenDataInput,input/data_libya/supply/pGenDataInput.csv
pGenDataInputDefault,input/data_libya/supply/pGenDataInputDefault.csv
pAvailability,input/data_libya/supply/pAvailabilityCustom.csv
pAvailabilityDefault,input/data_libya/supply/pAvailabilityDefault.csv
pEvolutionAvailability,input/data_libya/supply/pEvolutionAvailability.csv
pCapexTrajectories,input/data_libya/supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,input/data_libya/supply/pCapexTrajectoriesDefault.csv
pCSPData,input/data_libya/supply/pCSPData.csv
pFuelPrice,input/data_libya/supply/pFuelPrice.csv
pVREgenProfile,input/data_libya/supply/pVREgenProfile.csv
pVREProfile,input/data_libya/supply/pVREProfile.csv
pStorageDataInput,input/data_libya/supply/pStorageDataInput.csv
pPlanningReserveMargin,input/data_libya/reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,input/data_libya/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_libya/reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,input/data_libya/constraint/pEmissionsTotal.csv
pEmissionsCountry,input/data_libya/constraint/pEmissionsCountry.csv
pMaxFuellimit,input/data_libya/constraint/pMaxFuellimit.csv
pCarbonPrice,input/data_libya/constraint/pCarbonPrice.csv
zext,input/data_libya/trade/zext.csv
pExtTransferLimit,input/data_libya/trade/pExtTransferLimit.csv
pLossFactorInternal,input/data_libya/trade/pLossFactorInternal.csv
pMaxAnnualExternalTradeShare,input/data_libya/trade/pMaxAnnualExternalTradeShare.csv
pMinImport,input/data_libya/trade/pMinImport.csv
pNewTransmission,input/data_libya/trade/pNewTransmission.csv
pTradePrice,input/data_libya/trade/pTradePrice.csv
pTransferLimit,input/data_libya/trade/pTransferLimit.csv
pH2DataExcel,input/data_libya/h2/pH2DataExcel.csv
pAvailabilityH2,input/data_libya/h2/pAvailabilityH2.csv
pCapexTrajectoryH2,input/data_libya/h2/pCapexTrajectoryH2.csv
pExternalH2,input/data_libya/h2/pExternalH2.csv
pFuelDataH2,input/data_libya/h2/pFuelDataH2.csv
