c,f,y,value
Kenya,Diesel,2030,0.0006647834556271
Kenya,Diesel,2036,0.000980838291511
Kenya,Gas,2030,0.012103910559212
Kenya,Gas,2036,0.0203472715558659
Kenya,Solar,2024,521.7923925538091
Kenya,Solar,2030,521.8382829073483
Kenya,Solar,2036,521.8444095548061
Kenya,Water,2024,4065.510424743009
Kenya,Water,2030,5899.504029404426
Kenya,Water,2036,8240.429429946364
Kenya,HFO,2024,0.0888452593398858
Kenya,HFO,2030,0.0191024510712117
Kenya,HFO,2036,0.0204109144502263
Kenya,Battery,2024,11.629283820252429
Kenya,Battery,2030,0.2379013664123539
Kenya,Battery,2036,5.6626906740006895
Kenya,Geothermal,2024,11206.1780546228
Kenya,Geothermal,2030,10754.068840417813
Kenya,Geothermal,2036,9649.903719029471
Kenya,Uranium,2036,0.0063370218793682
Kenya,Biomass,2024,325.9993928890326
Kenya,Biomass,2030,1703.2978210606784
Kenya,Biomass,2036,1866.2532283670728
Kenya,Coal,2030,0.0110013422485837
Kenya,Coal,2036,0.0133539105541519
Kenya,Pumped,2036,0.0141010464562363
Burundi,Diesel,2024,268.0809726992396
Burundi,Diesel,2030,0.0023832933561533
Burundi,Diesel,2036,0.0034604379123438
Burundi,Gas,2030,1965.5366206762335
Burundi,Gas,2036,2735.15633318706
Burundi,Solar,2024,16.193697616493136
Burundi,Solar,2030,16.185404094279924
Burundi,Solar,2036,16.18148324649018
Burundi,Water,2024,560.677537983775
Burundi,Water,2030,560.7934979337182
Burundi,Water,2036,560.8527020050288
Burundi,Peat,2030,0.0032891332801866
Burundi,Peat,2036,0.004729521526612
Burundi,Waste,2030,0.0088539244427307
Burundi,Waste,2036,0.0130285264856436
Burundi,HFO,2030,0.0008650737461947
Burundi,HFO,2036,0.001279401253771
Burundi,Biomass,2030,0.0064886066278826
Burundi,Biomass,2036,0.0091256769491323
Djibouti,Diesel,2024,0.0231094479183103
Djibouti,Diesel,2030,0.0056301848259113
Djibouti,Diesel,2036,0.0092892779881486
Djibouti,Gas,2030,0.0146460184407653
Djibouti,Gas,2036,89.97885080778212
Djibouti,Solar,2030,16.187412872745742
Djibouti,Solar,2036,411.67466517170215
Djibouti,HFO,2024,64.19984005884965
Djibouti,HFO,2030,16.233646094938415
Djibouti,HFO,2036,82.2592668569343
Djibouti,Battery,2030,47.841889354610046
Djibouti,Battery,2036,62.50590707835964
Djibouti,Geothermal,2024,0.0125637411494544
Djibouti,Geothermal,2030,0.0049524608117622
Djibouti,Geothermal,2036,0.0110013619565027
Djibouti,Biomass,2030,3.997686415118591
Djibouti,Biomass,2036,22.228753513238207
DRC,Diesel,2030,0.0006355219962539
DRC,Diesel,2036,0.0008988681365717
DRC,Solar,2030,0.0058158377057135
DRC,Solar,2036,0.0058509734333799
DRC,Water,2024,541.4007790823046
DRC,Water,2030,624.9206885949912
DRC,Water,2036,631.470298807296
DRC,HFO,2030,0.001065461994258
DRC,HFO,2036,0.0014799263636108
DRC,Battery,2030,0.0485636440337222
DRC,Battery,2036,0.2103867451689177
DRC,Biomass,2030,443.306448666705
DRC,Biomass,2036,443.3022160640859
Egypt,Diesel,2030,0.0006621673057757
Egypt,Diesel,2036,0.001105709257061
Egypt,Gas,2024,192087.1756530367
Egypt,Gas,2030,224123.03785711716
Egypt,Gas,2036,221780.0629503056
Egypt,Solar,2024,3486.837431241516
Egypt,Solar,2030,3486.8577550777754
Egypt,Solar,2036,3486.8816829154366
Egypt,Water,2024,13972.579093651731
Egypt,Water,2030,13972.602910166124
Egypt,Water,2036,38255.36156398025
Egypt,HFO,2024,0.0247037335850832
Egypt,HFO,2030,0.0038904570185561
Egypt,HFO,2036,0.0061268337829688
Egypt,Battery,2030,0.0230240920795815
Egypt,Battery,2036,0.0719622581937072
Egypt,Uranium,2030,19762.56671235928
Egypt,Uranium,2036,39735.37328877152
Egypt,Biomass,2030,0.0495479374198661
Egypt,Biomass,2036,2355.37194880221
Ethiopia,Diesel,2024,0.0090569698942927
Ethiopia,Diesel,2030,0.004641310820877
Ethiopia,Diesel,2036,0.0039717551119089
Ethiopia,Solar,2024,1559.8938497764725
Ethiopia,Solar,2030,0.1813544345124606
Ethiopia,Solar,2036,2075.681774688045
Ethiopia,Water,2024,19291.11865910245
Ethiopia,Water,2030,39516.34021297649
Ethiopia,Water,2036,63144.944423273024
Ethiopia,HFO,2030,0.0008226653435449
Ethiopia,HFO,2036,0.0013190079587108
Ethiopia,Battery,2030,0.0483078340437527
Ethiopia,Battery,2036,0.0574381476050685
Ethiopia,Geothermal,2024,432.6754061552324
Ethiopia,Geothermal,2030,1092.830549144722
Ethiopia,Geothermal,2036,2963.8413899450297
Ethiopia,Biomass,2024,103.87637303920144
Ethiopia,Biomass,2030,0.144879858261986
Ethiopia,Biomass,2036,1605.905941452312
Libya,Diesel,2030,0.0007511695796457
Libya,Diesel,2036,0.0011290796794899
Libya,Gas,2024,36853.08712296118
Libya,Gas,2030,53129.05862202628
Libya,Gas,2036,72030.58137283631
Libya,Solar,2024,54.52627183366619
Libya,Solar,2030,54.61628661162362
Libya,Solar,2036,54.79389236656673
Libya,HFO,2030,0.0011922795137355
Libya,HFO,2036,0.0018153373623643
Libya,Battery,2030,0.0319115901155615
Libya,Battery,2036,0.0794501824762812
Rwanda,Diesel,2024,0.0065890172482039
Rwanda,Diesel,2030,0.0020136217018069
Rwanda,Diesel,2036,0.0018606951037432
Rwanda,Gas,2024,5.004226689326313
Rwanda,Gas,2030,25.149883545570027
Rwanda,Gas,2036,4.317551526419879
Rwanda,Solar,2024,23.98296526258155
Rwanda,Solar,2030,24.069443887060448
Rwanda,Solar,2036,23.478928475719872
Rwanda,Water,2024,703.9676894184356
Rwanda,Water,2030,720.3915526237963
Rwanda,Water,2036,3027.1902929941807
Rwanda,Peat,2024,0.0348899307063423
Rwanda,Peat,2030,380.8940514223698
Rwanda,Peat,2036,191.79429067347533
Rwanda,HFO,2024,0.006080380184028
Rwanda,HFO,2030,0.0022677946938285
Rwanda,HFO,2036,0.0031063254247892
Rwanda,Battery,2030,0.0484237121316796
Rwanda,Battery,2036,0.1900489100481769
Rwanda,Biomass,2030,188.5408705557097
Rwanda,Biomass,2036,188.5370401970332
Rwanda,Methane,2024,0.0182549438678482
Rwanda,Methane,2030,0.007690395082046
Rwanda,Methane,2036,0.0057401928939356
Somalia,Diesel,2030,0.0044136884709135
Somalia,Diesel,2036,0.0168084172810348
Somalia,Gas,2030,693.4473264066866
Somalia,Gas,2036,3012.3929166482376
Somalia,Solar,2030,0.0146729116036278
Somalia,Solar,2036,455.3638419252612
Somalia,Water,2030,0.0165902808833479
Somalia,Water,2036,290.36306148701226
Somalia,HFO,2030,0.0031083285907336
Somalia,HFO,2036,89.74391532347323
Somalia,Battery,2030,107.24849723719292
Somalia,Battery,2036,150.4534147854108
SouthSudan,Diesel,2024,670.1834663751763
SouthSudan,Diesel,2030,25.463888889141195
SouthSudan,Diesel,2036,7.872782913204638
SouthSudan,Solar,2030,40.34602643632537
SouthSudan,Solar,2036,40.33373396561552
SouthSudan,Water,2030,3956.778713414266
SouthSudan,Water,2036,5685.740464694906
SouthSudan,HFO,2030,254.93723751545613
