c,f,y,value
Kenya,Diesel,2030,0.0338158927025434
Kenya,Diesel,2036,0.0146740687654155
Kenya,Gas,2030,0.0436715665516672
Kenya,Gas,2036,0.0108738820561781
Kenya,Solar,2024,0.1799497291162755
Kenya,Solar,2030,0.1640981281557498
Kenya,Solar,2036,0.1515703102592321
Kenya,Water,2024,0.5578117350422332
Kenya,Water,2030,0.6353246163875717
Kenya,Water,2036,0.7073086482190516
Kenya,HFO,2024,1.313750374699615e-05
Kenya,HFO,2030,2.8246465563876886e-06
Kenya,HFO,2036,4.080266095113172e-06
Kenya,Battery,2024,0.0053101752603892
Kenya,Battery,2030,0.000108605774888
Kenya,Battery,2036,0.0025737039609407
Kenya,Geothermal,2024,0.9419969353701984
Kenya,Geothermal,2030,0.8633762741068914
Kenya,Geothermal,2036,0.8118461371197423
Kenya,Uranium,2036,1.5126344301688222
Kenya,Biomass,2024,0.8151929565711913
Kenya,Biomass,2030,0.6762519491382235
Kenya,Biomass,2036,0.692756607115362
Kenya,Coal,2030,1.8314863182701304
Kenya,Coal,2036,0.5931303795392205
Kenya,Pumped,2036,0.4233672483792196
Burundi,Diesel,2024,0.9000838460221581
Burundi,Diesel,2030,8.000839644871932e-06
Burundi,Diesel,2036,1.1615805201402692e-05
Burundi,Gas,2030,0.7907400894542486
Burundi,Gas,2036,0.7928278034760732
Burundi,Solar,2024,0.2310744522901417
Burundi,Solar,2030,0.2308891629208105
Burundi,Solar,2036,0.2307583384701615
Burundi,Water,2024,0.5629164165644592
Burundi,Water,2030,0.5629474877064616
Burundi,Water,2036,0.5629283753114879
Burundi,Peat,2030,0.3909951140950953
Burundi,Peat,2036,0.2464887377668746
Burundi,Waste,2030,0.9181079961878272
Burundi,Waste,2036,0.6956310060065172
Burundi,HFO,2030,0.0168254219755041
Burundi,HFO,2036,0.014418454879988
Burundi,Biomass,2030,1.4875310419331598
Burundi,Biomass,2036,0.9069862073688588
Djibouti,Diesel,2024,8.401480353048855e-05
