z,f,y,value
Kenya,Diesel,2030,0.005888664811358
Kenya,Diesel,2036,0.0105445495189539
Kenya,Gas,2030,0.0538898280174826
Kenya,Gas,2036,0.2068471741709268
Kenya,Water,2024,1286.1048573971411
Kenya,Water,2030,1324.4282490490789
Kenya,Water,2036,1345.898015659932
Kenya,HFO,2024,204.7093623148845
Kenya,HFO,2030,196.61962750304752
Kenya,HFO,2036,135.0403714858542
Kenya,Battery,2024,108.6953463602669
Kenya,Battery,2030,1.1427164956425495
Kenya,Battery,2036,44.38042990121318
Kenya,Geothermal,2024,226.9060334332914
Kenya,Geothermal,2030,253.70602733143545
Kenya,Geothermal,2036,246.88490162506457
Kenya,Uranium,2036,0.0030825387254779
Kenya,Biomass,2024,4.200757170249314
Kenya,Biomass,2030,54.81680239696156
Kenya,Biomass,2036,58.37118146687331
Kenya,Coal,2030,0.0095477876603927
Kenya,Coal,2036,0.0117600331201882
Kenya,Pumped,2036,0.0092167989265324
Burundi,Diesel,2024,12.760843581688846
Burundi,Diesel,2030,27.663132832192524
Burundi,Diesel,2036,28.044419539057
Burundi,Gas,2030,47.34997880557478
Burundi,Gas,2036,48.24119203223265
Burundi,Water,2024,160.77732698250793
Burundi,Water,2030,102.8044561741225
Burundi,Water,2036,101.53983517229833
Burundi,Peat,2030,0.0078210948216208
Burundi,Peat,2036,0.0091524681221676
Burundi,Waste,2030,0.003910995553209
Burundi,Waste,2036,0.0049620296826342
Burundi,HFO,2030,0.0092476851583303
Burundi,HFO,2036,0.0129583717045289
Burundi,Biomass,2030,0.0032007339558188
Burundi,Biomass,2036,0.0038150587175456
Djibouti,Diesel,2024,29.74541037219816
Djibouti,Diesel,2030,24.459344151906784
Djibouti,Diesel,2036,26.11300902875752
Djibouti,Gas,2030,0.0072356029186115
Djibouti,Gas,2036,6.930112718819738
Djibouti,HFO,2024,87.84966999015685
Djibouti,HFO,2030,78.08074727254098
Djibouti,HFO,2036,99.58868746027436
Djibouti,Battery,2030,17.206949489909956
Djibouti,Battery,2036,46.43343287606975
Djibouti,Geothermal,2024,0.0046660987612123
Djibouti,Geothermal,2030,0.0046455286554857
Djibouti,Geothermal,2036,0.0043396692072922
Djibouti,Biomass,2030,0.2303417179687215
Djibouti,Biomass,2036,0.2693626546519915
Drc_E,Diesel,2030,0.008054533255029
Drc_E,Diesel,2036,0.0106411556546644
Drc_E,Water,2024,234.1104994180725
Drc_E,Water,2030,241.64097827793373
Drc_E,Water,2036,240.8404998764724
Drc_E,HFO,2030,0.0091613098821897
Drc_E,HFO,2036,0.0126417306489209
Drc_E,Battery,2030,0.1265689410346393
Drc_E,Battery,2036,1.2784437692563753
Drc_E,Biomass,2030,21.09509897114972
Drc_E,Biomass,2036,20.75653886974411
Egypt,Diesel,2030,0.0050758162995501
Egypt,Diesel,2036,0.0097697846066666
Egypt,Gas,2024,5954.670632911619
Egypt,Gas,2030,5902.863986947795
Egypt,Gas,2036,5551.311516439787
Egypt,Solar,2024,70.99111189121368
Egypt,Solar,2030,72.70219275642177
Egypt,Solar,2036,74.13866037097564
Egypt,Water,2024,674.0328747840766
Egypt,Water,2030,722.0237431458492
Egypt,Water,2036,856.6915040743963
Egypt,HFO,2024,394.092243032078
Egypt,HFO,2030,216.7828925653535
Egypt,HFO,2036,228.76743256298957
Egypt,Battery,2030,0.0180650981123468
Egypt,Battery,2036,0.1599479277282315
Egypt,Uranium,2030,179.2505500637175
Egypt,Uranium,2036,329.3759537690457
Egypt,Biomass,2030,0.004227626311697
Egypt,Biomass,2036,53.19065084620813
Ethiopia,Diesel,2024,68.39140638214649
Ethiopia,Diesel,2030,124.95124708390271
Ethiopia,Diesel,2036,62.69780853996098
Ethiopia,Water,2024,3796.564801699325
Ethiopia,Water,2030,3367.695745507794
Ethiopia,Water,2036,3765.985162631029
Ethiopia,HFO,2030,0.0053085883592204
Ethiopia,HFO,2036,0.0067429582184981
Ethiopia,Battery,2030,0.0197779648225458
Ethiopia,Battery,2036,0.0296594944104017
Ethiopia,Geothermal,2024,43.7492376660535
Ethiopia,Geothermal,2030,125.04063352096784
Ethiopia,Geothermal,2036,106.85031847921934
Ethiopia,Biomass,2024,4.550810485022148
Ethiopia,Biomass,2030,61.92055663288454
Ethiopia,Biomass,2036,55.42798961725648
Libya,Diesel,2030,0.0067838131983246
Libya,Diesel,2036,0.009862147737805
Libya,Gas,2024,7505.109327066786
Libya,Gas,2030,8067.438624355514
Libya,Gas,2036,8067.349897682302
Libya,HFO,2030,0.0074354847311812
Libya,HFO,2036,0.0114603889087549
Libya,Battery,2030,0.0456292906394448
Libya,Battery,2036,0.1647916471504614
Rwanda,Diesel,2024,62.56753737071412
Rwanda,Diesel,2030,61.132022054582144
Rwanda,Diesel,2036,47.88146596336387
Rwanda,Gas,2024,50.59199041251384
Rwanda,Gas,2030,49.83761942389252
Rwanda,Gas,2036,47.86377510285334
Rwanda,Water,2024,326.3196330325547
Rwanda,Water,2030,319.3613587640169
Rwanda,Water,2036,313.9764715185562
Rwanda,Peat,2024,144.6939078400947
Rwanda,Peat,2030,145.7829979056219
Rwanda,Peat,2036,167.88582135543757
Rwanda,HFO,2024,32.959933427786865
Rwanda,HFO,2030,32.082417160151884
Rwanda,HFO,2036,30.749000712278495
Rwanda,Battery,2030,0.1419239715832542
Rwanda,Battery,2036,1.2314623611845004
Rwanda,Biomass,2030,8.866364217044087
Rwanda,Biomass,2036,7.543756783369082
Rwanda,Methane,2024,0.0098107921031739
Rwanda,Methane,2030,0.0093879971214387
Rwanda,Methane,2036,0.0090399764820704
Somaliland,Diesel,2030,0.0089144392899356
Somaliland,Diesel,2036,0.0112527065334962
Somaliland,Water,2030,0.0043957870792499
Somaliland,Water,2036,5.426575946008001
Somaliland,HFO,2030,0.0102662378134724
Somaliland,HFO,2036,40.34199074768913
Somaliland,Battery,2030,191.16488582614403
Somaliland,Battery,2036,163.45595285487624
Mogadishu,Diesel,2030,0.0089228601137088
Mogadishu,Diesel,2036,0.0102843457798309
Mogadishu,HFO,2030,0.0102720354282579
Mogadishu,HFO,2036,0.0120799471860522
Mogadishu,Battery,2030,3.164357731173392
Mogadishu,Battery,2036,31.7874366420053
SomaliaROC,Diesel,2030,0.008922345391103
SomaliaROC,Diesel,2036,0.0102867328259646
SomaliaROC,Water,2030,0.0044081144226469
SomaliaROC,Water,2036,0.0111474076450189
SomaliaROC,HFO,2030,0.0102706137516373
SomaliaROC,HFO,2036,0.0120791257825765
SomaliaROC,Battery,2030,3.1659735725440328
SomaliaROC,Battery,2036,24.16025608365653
SouthSudan,Diesel,2024,105.244479754869
SouthSudan,Diesel,2030,39.53563756419233
SouthSudan,Diesel,2036,33.266432125092365
SouthSudan,Water,2030,39.399801447280026
SouthSudan,Water,2036,50.03570696672323
SouthSudan,HFO,2030,18.981650008257624
SouthSudan,HFO,2036,19.00109916734344
SouthSudan,Battery,2030,12.982887074000834
SouthSudan,Battery,2036,9.037456858867364
Sudan,Diesel,2030,0.0200430738904659
Sudan,Diesel,2036,0.0184073739190805
Sudan,Gas,2024,116.22210635145667
Sudan,Gas,2030,67.40184652363023
Sudan,Gas,2036,73.8542821097041
Sudan,Water,2024,3262.942176225743
Sudan,Water,2030,2628.429725398036
Sudan,Water,2036,2031.532463849509
Sudan,HFO,2024,554.9242100870736
Sudan,HFO,2030,569.6172064145295
Sudan,HFO,2036,274.7471016364893
Sudan,Battery,2030,1543.9189638131584
Sudan,Battery,2036,1713.13074664239
Sudan,Biomass,2030,42.132133643812914
Sudan,Biomass,2036,83.04302654287723
Sudan,Coal,2024,276.8157836592906
Sudan,Coal,2030,150.88900096827857
Sudan,Coal,2036,165.3661226928733
Sudan,LFO,2024,319.3794517240384
Sudan,LFO,2030,1190.315722638652
Sudan,LFO,2036,1959.2740838401
Tanzania,Diesel,2024,37.95649115893717
Tanzania,Diesel,2030,37.08385139910651
Tanzania,Diesel,2036,30.492979733678453
Tanzania,Gas,2024,1412.7813109800268
Tanzania,Gas,2030,775.9833732122198
Tanzania,Gas,2036,945.0904659630872
Tanzania,Water,2024,1373.4632016029177
Tanzania,Water,2030,2009.16828177666
Tanzania,Water,2036,1847.314855794496
Tanzania,HFO,2024,62.64751003951065
Tanzania,HFO,2030,47.19939941771683
Tanzania,HFO,2036,46.64789964308179
Tanzania,Battery,2030,0.0182072028161675
Tanzania,Battery,2036,0.155500728673179
Tanzania,Geothermal,2030,0.0027021616737931
Tanzania,Geothermal,2036,0.0031168779439129
Tanzania,Biomass,2024,4.263889547941581
Tanzania,Biomass,2030,22.492435483457754
Tanzania,Biomass,2036,22.239978748353145
Tanzania,Coal,2030,0.0445393702578615
Tanzania,Coal,2036,0.0606587295413467
Uganda,Diesel,2030,0.007826603516963
Uganda,Diesel,2036,0.0103647677672598
Uganda,Gas,2030,0.150148586894171
