c,f,y,value
Kenya,Diesel,2030,3.521287230732174e-08
Kenya,Diesel,2036,4.8354866823131135e-08
Kenya,Gas,2030,6.411312636213083e-07
Kenya,Gas,2036,1.0031109254331916e-06
Kenya,Solar,2024,0.0323467841315519
Kenya,Solar,2030,0.0276412186036627
Kenya,Solar,2036,0.0257266841484576
Kenya,Water,2024,0.2520277987383171
Kenya,Water,2030,0.3124904512973606
Kenya,Water,2036,0.4062492982778995
Kenya,HFO,2024,5.507666393742367e-06
Kenya,HFO,2030,1.0118365080142724e-06
Kenya,HFO,2036,1.0062484902159586e-06
Kenya,Battery,2024,0.0007209187767134
Kenya,Battery,2030,1.2601382249070231e-05
Kenya,Battery,2036,0.000279167989027
Kenya,Geothermal,2024,0.6946897418310642
Kenya,Geothermal,2030,0.5696315840239037
Kenya,Geothermal,2036,0.4757357183423549
Kenya,Uranium,2036,3.124122005473959e-07
Kenya,Biomass,2024,0.0202092482360426
Kenya,Biomass,2030,0.0902218732530972
Kenya,Biomass,2036,0.0920054071063045
Kenya,Coal,2030,5.827293933527025e-07
Kenya,Coal,2036,6.583415146030071e-07
Kenya,Pumped,2036,6.951749634566517e-07
Burundi,Diesel,2024,0.3172735296662819
Burundi,Diesel,2030,9.373680576794484e-07
Burundi,Diesel,2036,1.0447481338929853e-06
Burundi,Gas,2030,0.7730610416313921
Burundi,Gas,2036,0.8257768373215156
Burundi,Solar,2024,0.0191652229153069
Burundi,Solar,2030,0.0063658469736596
Burundi,Solar,2036,0.0048853858539368
Burundi,Water,2024,0.6635612355834224
Burundi,Water,2030,0.2205645018730808
Burundi,Water,2036,0.1693282262682513
Burundi,Peat,2030,1.2936420379543824e-06
Burundi,Peat,2036,1.4278998538043015e-06
Burundi,Waste,2030,3.4823182535607893e-06
Burundi,Waste,2036,3.933470005254943e-06
Burundi,HFO,2030,3.402403212875336e-07
Burundi,HFO,2036,3.8626674029019953e-07
Burundi,Biomass,2030,2.5520201179266565e-06
Burundi,Biomass,2036,2.7551524415760007e-06
Djibouti,Diesel,2024,0.0003597611843079
Djibouti,Diesel,2030,6.67986769157894e-05
Djibouti,Diesel,2036,1.3892217877350698e-05
Djibouti,Gas,2030,0.0001737659924457
Djibouti,Gas,2036,0.1345643656450056
Djibouti,Solar,2030,0.1920536884708766
Djibouti,Solar,2036,0.6156640107495016
Djibouti,HFO,2024,0.9994444944593968
Djibouti,HFO,2030,0.1926022171901845
Djibouti,HFO,2036,0.1230196425454818
Djibouti,Battery,2030,0.5676145648597336
Djibouti,Battery,2036,0.0934782747229493
Djibouti,Geothermal,2024,0.0001955886791949
Djibouti,Geothermal,2030,5.875789870707607e-05
Djibouti,Geothermal,2036,1.6452658370469525e-05
Djibouti,Biomass,2030,0.0474300882672927
