c,c2,y,value
Kenya,Ethiopia,2024,0.0129452097645714
Kenya,Ethiopia,2030,0.0056942463988062
Kenya,Ethiopia,2036,0.031584236617887
Kenya,Tanzania,2024,3782.863657286225
Kenya,Tanzania,2030,2900.795661177845
Kenya,Tanzania,2036,4743.121274096401
Kenya,Uganda,2024,0.1151242127918597
Kenya,Uganda,2030,109.64113049035495
Kenya,Uganda,2036,0.4611446842769314
Burundi,Rwanda,2024,0.0014484334711884
Burundi,Rwanda,2030,234.33591684498927
Burundi,Rwanda,2036,230.37199032917928
Djibouti,Ethiopia,2024,2.4829033253110047
Djibouti,Ethiopia,2030,128.55408108728045
Djibouti,Ethiopia,2036,2.683031130610603
DRC,Rwanda,2024,0.0735676950698819
DRC,Rwanda,2030,237.7633971079288
DRC,Rwanda,2036,53.934711143734894
Egypt,Libya,2024,1569.798975550853
Egypt,Libya,2030,1556.178425206749
Egypt,Libya,2036,1256.386989512344
Egypt,Sudan,2024,1940.686431563508
Egypt,Sudan,2030,1659.4881259195422
Egypt,Sudan,2036,1558.4560564796732
Ethiopia,Kenya,2024,919.7958664557144
Ethiopia,Kenya,2030,2847.036592039416
Ethiopia,Kenya,2036,10731.000084531695
Ethiopia,Djibouti,2024,710.0697332944014
Ethiopia,Djibouti,2030,1270.2728764179856
Ethiopia,Djibouti,2036,1176.995435786207
Ethiopia,Somalia,2030,691.9629198122187
Ethiopia,Somalia,2036,824.2598854504421
Ethiopia,Sudan,2024,1990.644379748264
Ethiopia,Sudan,2030,2102.403777633339
Ethiopia,Sudan,2036,1409.4830423569272
Libya,Egypt,2024,0.0854365731796636
Libya,Egypt,2030,0.779090735008953
Libya,Egypt,2036,287.56483553052084
Rwanda,Burundi,2024,236.53996913827424
Rwanda,Burundi,2030,0.015260406645406
Rwanda,Burundi,2036,0.1766129477378649
Rwanda,DRC,2024,92.02478447537467
Rwanda,DRC,2030,0.0965960661037761
Rwanda,DRC,2036,16.762263386662976
Rwanda,Tanzania,2024,198.5577521012674
Rwanda,Tanzania,2030,0.0833625558608652
Rwanda,Tanzania,2036,44.0959687053369
Rwanda,Uganda,2024,0.2082018699801958
Rwanda,Uganda,2030,0.0861203718110992
Rwanda,Uganda,2036,3.280714874366391
Somalia,Ethiopia,2030,180.30358201728035
Somalia,Ethiopia,2036,0.1869530150726944
SouthSudan,Sudan,2024,0.0017369526630839
SouthSudan,Sudan,2030,52.025494204718775
SouthSudan,Sudan,2036,77.10367541203287
Sudan,Egypt,2024,550.7701156099038
Sudan,Egypt,2030,866.2453686553391
Sudan,Egypt,2036,1032.2590175977016
Sudan,Ethiopia,2024,16.155945482430848
Sudan,Ethiopia,2030,0.0063512686121627
Sudan,Ethiopia,2036,503.08864976547335
Sudan,SouthSudan,2024,97.85826659744949
Sudan,SouthSudan,2030,53.04726234689782
Sudan,SouthSudan,2036,27.93679780286713
Tanzania,Kenya,2024,0.193286846552198
Tanzania,Kenya,2030,51.38589623860031
Tanzania,Kenya,2036,0.3027238748026917
Tanzania,Rwanda,2024,0.1093362344789267
Tanzania,Rwanda,2030,84.608640130469
Tanzania,Rwanda,2036,0.3536484562154687
Tanzania,Uganda,2024,0.0839222000941906
Tanzania,Uganda,2030,52.05448241058368
Tanzania,Uganda,2036,0.1913342544252876
Uganda,Kenya,2024,549.8476393802257
Uganda,Kenya,2030,0.7844898614815838
Uganda,Kenya,2036,13.687587124762103
Uganda,Rwanda,2024,1198.3700618475382
Uganda,Rwanda,2030,562.4856829986293
Uganda,Rwanda,2036,667.3053770593494
Uganda,Tanzania,2024,613.0507301176119
Uganda,Tanzania,2030,202.78291245080584
Uganda,Tanzania,2036,519.3555320222541
